Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,42.0,0 days 00:01:33.867000,SOFT,5.0,Williams
ALO,50.0,0 days 00:01:35.827000,SOFT,4.0,Aston Martin
ANT,37.0,0 days 00:01:31.777000,HARD,2.0,Mercedes
BEA,31.0,0 days 00:01:34.455000,HARD,2.0,Haas F1 Team
BOR,30.0,0 days 00:01:33.650000,HARD,4.0,Audi
BOT,31.0,0 days 00:01:35.893000,HARD,2.0,Cadillac
COL,25.0,0 days 00:01:34.281000,HARD,3.0,Alpine
GAS,44.0,0 days 00:01:34.179000,HARD,21.0,Alpine
HAD,40.0,0 days 00:01:32.268000,MEDIUM,2.0,Red Bull Racing
HAM,25.0,0 days 00:01:32.309000,HARD,2.0,Ferrari
HUL,36.0,0 days 00:01:33.433000,SOFT,2.0,Audi
LAW,45.0,0 days 00:01:33.648000,HARD,17.0,Racing Bulls
LEC,43.0,0 days 00:01:32.871000,HARD,18.0,Ferrari
LIN,29.0,0 days 00:01:33.632000,HARD,2.0,Racing Bulls
NOR,45.0,0 days 00:01:32.625000,MEDIUM,13.0,McLaren
OCO,43.0,0 days 00:01:34.792000,HARD,22.0,Haas F1 Team
PER,44.0,0 days 00:01:35.520000,HARD,23.0,Cadillac
PIA,42.0,0 days 00:01:32.917000,MEDIUM,9.0,McLaren
RUS,36.0,0 days 00:01:32.489000,MEDIUM,8.0,Mercedes
SAI,51.0,0 days 00:01:32.734000,SOFT,3.0,Williams
STR,41.0,0 days 00:01:37.232000,HARD,23.0,Aston Martin
VER,40.0,0 days 00:01:32.101000,MEDIUM,2.0,Red Bull Racing
