Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,11.0,0 days 00:01:17.221000,SOFT,11.0,Williams
ALO,10.0,0 days 00:01:19.635000,SOFT,10.0,Aston Martin
ANT,68.0,0 days 00:01:14.210000,MEDIUM,37.0,Mercedes
BEA,64.0,0 days 00:01:16.002000,MEDIUM,34.0,Haas F1 Team
BOR,50.0,0 days 00:01:16.221000,MEDIUM,32.0,Audi
BOT,59.0,0 days 00:01:17.725000,MEDIUM,10.0,Cadillac
COL,67.0,0 days 00:01:15.462000,HARD,37.0,Alpine
GAS,67.0,0 days 00:01:15.390000,HARD,37.0,Alpine
HAD,67.0,0 days 00:01:14.578000,SOFT,19.0,Red Bull Racing
HAM,61.0,0 days 00:01:14.573000,MEDIUM,30.0,Ferrari
HUL,57.0,0 days 00:01:16.275000,MEDIUM,37.0,Audi
LAW,59.0,0 days 00:01:15.604000,SOFT,29.0,Racing Bulls
LEC,37.0,0 days 00:01:15.297000,MEDIUM,6.0,Ferrari
NOR,36.0,0 days 00:01:15.845000,MEDIUM,24.0,McLaren
OCO,64.0,0 days 00:01:16.577000,SOFT,34.0,Haas F1 Team
PER,37.0,0 days 00:01:16.915000,SOFT,8.0,Cadillac
PIA,61.0,0 days 00:01:15.456000,SOFT,14.0,McLaren
RUS,16.0,0 days 00:01:15.477000,SOFT,19.0,Mercedes
SAI,65.0,0 days 00:01:15.852000,MEDIUM,35.0,Williams
STR,39.0,0 days 00:01:18.721000,SOFT,25.0,Aston Martin
VER,68.0,0 days 00:01:14.398000,MEDIUM,37.0,Red Bull Racing
