date,session_key,meeting_key,stop_duration,lane_duration,lap_number,driver_number,pit_duration
2026-06-26T11:30:04.769000+00:00,11308,1288,,,1,38,
2026-06-26T11:30:09.894000+00:00,11308,1288,,,1,90,
2026-06-26T11:30:11.860000+00:00,11308,1288,,,1,11,
2026-06-26T11:30:18.791000+00:00,11308,1288,,,1,46,
2026-06-26T11:30:23.206000+00:00,11308,1288,,,1,34,
2026-06-26T11:30:29.536000+00:00,11308,1288,,,1,81,
2026-06-26T11:30:38.723000+00:00,11308,1288,,,1,44,
2026-06-26T11:30:44.467000+00:00,11308,1288,,,1,27,
2026-06-26T11:30:48.391000+00:00,11308,1288,,,1,43,
2026-06-26T11:30:56.920000+00:00,11308,1288,,,1,23,
2026-06-26T11:31:09.784000+00:00,11308,1288,,,1,12,
2026-06-26T11:31:17.810000+00:00,11308,1288,,,1,87,
2026-06-26T11:31:19.872000+00:00,11308,1288,,,1,10,
2026-06-26T11:31:24.286000+00:00,11308,1288,,,1,41,
2026-06-26T11:31:27.265000+00:00,11308,1288,,,1,97,
2026-06-26T11:31:31.129000+00:00,11308,1288,,,1,14,
2026-06-26T11:31:33.001000+00:00,11308,1288,,,1,77,
2026-06-26T11:32:14.706000+00:00,11308,1288,,,1,63,
2026-06-26T11:32:19.312000+00:00,11308,1288,,,1,50,
2026-06-26T11:33:37.148000+00:00,11308,1288,,79.0,2,81,79.0
2026-06-26T11:35:53.661000+00:00,11308,1288,,27.3,4,43,27.3
2026-06-26T11:36:59.961000+00:00,11308,1288,,289.4,2,46,289.4
2026-06-26T11:37:21.353000+00:00,11308,1288,,25.0,4,63,25.0
2026-06-26T11:37:59.695000+00:00,11308,1288,,62.4,4,50,62.4
2026-06-26T11:38:18.198000+00:00,11308,1288,,206.4,4,34,206.4
2026-06-26T11:38:55.110000+00:00,11308,1288,,29.1,6,23,29.1
2026-06-26T11:39:49.880000+00:00,11308,1288,,73.2,6,12,73.2
2026-06-26T11:43:22.454000+00:00,11308,1288,,502.5,4,90,502.5
2026-06-26T11:43:27.219000+00:00,11308,1288,,145.6,8,27,145.6
2026-06-26T11:43:29.418000+00:00,11308,1288,,243.5,6,87,243.5
2026-06-26T11:43:36.319000+00:00,11308,1288,,475.6,4,10,475.6
2026-06-26T11:44:00.353000+00:00,11308,1288,,556.3,4,38,556.3
2026-06-26T11:45:58.056000+00:00,11308,1288,,43.1,10,43,43.1
2026-06-26T11:46:33.873000+00:00,11308,1288,,705.2,3,97,705.2
2026-06-26T11:47:24.350000+00:00,11308,1288,,87.6,10,12,87.6
