position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,29,False,False,False,67.796,0.0,1288,11308
2,63,30,False,False,False,67.836,0.04,1288,11308
3,81,26,False,False,False,67.913,0.117,1288,11308
4,3,17,False,False,False,68.077,0.281,1288,11308
5,44,25,False,False,False,68.461,0.665,1288,11308
6,41,18,False,False,False,68.726,0.93,1288,11308
7,1,9,False,False,False,68.873,1.077,1288,11308
8,43,27,False,False,False,68.962,1.166,1288,11308
9,38,26,False,False,False,69.054,1.258,1288,11308
10,87,26,False,False,False,69.071,1.275,1288,11308
11,27,30,False,False,False,69.165,1.369,1288,11308
12,6,11,False,False,False,69.481,1.685,1288,11308
13,77,21,False,False,False,69.521,1.725,1288,11308
14,10,28,False,False,False,69.546,1.75,1288,11308
15,90,19,False,False,False,69.637,1.841,1288,11308
16,23,31,False,False,False,69.644,1.848,1288,11308
17,97,20,False,False,False,69.646,1.85,1288,11308
18,46,29,False,False,False,69.979,2.183,1288,11308
19,50,23,False,False,False,70.493,2.697,1288,11308
20,34,22,False,False,False,71.202,3.406,1288,11308
21,11,14,False,False,False,71.283,3.487,1288,11308
22,14,21,False,False,False,71.333,3.537,1288,11308
