date,session_key,rainfall,meeting_key,track_temperature,air_temperature,pressure,humidity,wind_speed,wind_direction
2026-06-26T11:16:34.826000+00:00,11308,0,1288,49.7,29.9,943.2,29.3,0.6,113
2026-06-26T11:17:34.827000+00:00,11308,0,1288,49.4,29.8,943.1,30.0,2.0,97
2026-06-26T11:18:34.830000+00:00,11308,0,1288,49.4,29.8,943.1,30.0,2.0,97
2026-06-26T11:19:34.826000+00:00,11308,0,1288,48.2,29.9,943.2,30.0,2.6,125
2026-06-26T11:20:34.841000+00:00,11308,0,1288,49.7,30.0,943.2,30.2,0.8,359
2026-06-26T11:21:34.831000+00:00,11308,0,1288,49.7,30.0,943.2,30.2,0.8,359
2026-06-26T11:22:34.830000+00:00,11308,0,1288,49.5,30.2,943.2,29.8,0.0,0
2026-06-26T11:23:34.833000+00:00,11308,0,1288,49.5,30.2,943.2,29.8,0.0,0
2026-06-26T11:24:34.838000+00:00,11308,0,1288,50.1,30.2,943.2,29.0,2.1,81
2026-06-26T11:25:34.836000+00:00,11308,0,1288,49.8,30.1,943.1,29.3,2.8,81
2026-06-26T11:26:34.832000+00:00,11308,0,1288,49.2,29.2,943.2,29.5,0.8,102
2026-06-26T11:27:34.845000+00:00,11308,0,1288,50.0,30.1,943.1,30.1,1.0,116
2026-06-26T11:28:34.844000+00:00,11308,0,1288,50.0,29.4,943.1,30.1,1.0,116
2026-06-26T11:29:34.846000+00:00,11308,0,1288,50.0,29.4,943.1,30.1,1.0,116
2026-06-26T11:30:34.830000+00:00,11308,0,1288,50.0,29.9,943.1,30.3,0.4,139
2026-06-26T11:31:34.836000+00:00,11308,0,1288,50.0,29.9,943.1,30.3,0.4,139
2026-06-26T11:32:34.843000+00:00,11308,0,1288,50.0,30.3,943.1,30.0,1.9,295
2026-06-26T11:33:34.840000+00:00,11308,0,1288,50.0,30.3,943.1,30.0,1.9,295
2026-06-26T11:34:34.844000+00:00,11308,0,1288,48.7,30.5,943.1,28.4,0.7,186
2026-06-26T11:35:34.849000+00:00,11308,0,1288,50.4,30.4,943.1,29.0,0.6,38
2026-06-26T11:36:34.847000+00:00,11308,0,1288,50.4,30.3,943.1,29.0,0.6,38
2026-06-26T11:37:34.854000+00:00,11308,0,1288,50.4,30.3,943.1,29.0,0.6,38
2026-06-26T11:38:34.870000+00:00,11308,0,1288,50.3,31.0,943.0,29.5,0.8,21
2026-06-26T11:39:34.883000+00:00,11308,0,1288,50.3,31.0,943.0,29.5,0.8,21
2026-06-26T11:40:34.891000+00:00,11308,0,1288,49.6,30.6,943.0,29.1,1.0,340
2026-06-26T11:41:34.891000+00:00,11308,0,1288,50.0,30.6,943.0,29.8,1.6,2
2026-06-26T11:42:34.921000+00:00,11308,0,1288,50.3,30.1,943.0,29.0,0.7,45
2026-06-26T11:43:34.911000+00:00,11308,0,1288,50.3,30.1,943.0,29.0,0.7,45
2026-06-26T11:44:34.931000+00:00,11308,0,1288,49.7,30.8,942.9,28.5,3.2,312
2026-06-26T11:45:34.944000+00:00,11308,0,1288,49.7,30.9,942.9,28.5,3.2,312
2026-06-26T11:46:34.952000+00:00,11308,0,1288,49.7,30.1,942.9,28.5,3.2,312
2026-06-26T11:47:34.941000+00:00,11308,0,1288,49.7,30.5,942.9,28.5,3.2,312
2026-06-26T11:48:34.954000+00:00,11308,0,1288,49.7,30.5,942.9,28.5,3.2,312
2026-06-26T11:49:34.958000+00:00,11308,0,1288,50.4,30.1,943.0,27.8,2.3,306
2026-06-26T11:50:34.957000+00:00,11308,0,1288,50.4,30.8,943.0,27.8,2.3,306
2026-06-26T11:51:34.950000+00:00,11308,0,1288,50.4,30.8,943.0,27.8,2.3,306
2026-06-26T11:52:34.948000+00:00,11308,0,1288,50.1,29.9,943.0,27.8,0.0,0
2026-06-26T11:53:34.972000+00:00,11308,0,1288,50.1,29.9,943.0,27.8,0.0,0
2026-06-26T11:54:34.992000+00:00,11308,0,1288,50.8,30.9,943.0,27.3,0.8,324
2026-06-26T11:55:34.982000+00:00,11308,0,1288,50.9,31.1,943.0,27.8,1.2,64
2026-06-26T11:56:34.988000+00:00,11308,0,1288,50.9,29.9,943.0,27.8,1.2,64
2026-06-26T11:57:34.986000+00:00,11308,0,1288,50.9,30.7,943.0,27.8,1.2,64
2026-06-26T11:58:34.990000+00:00,11308,0,1288,50.9,30.1,943.0,27.8,1.2,64
2026-06-26T11:59:34.988000+00:00,11308,0,1288,50.9,30.1,943.0,27.8,1.2,64
2026-06-26T12:00:34.998000+00:00,11308,0,1288,50.8,31.0,943.0,28.0,1.8,317
