date,session_key,rainfall,meeting_key,track_temperature,air_temperature,pressure,humidity,wind_speed,wind_direction
2026-06-26T12:01:34.991000+00:00,11308,0,1288,50.2,30.6,943.0,28.0,2.9,300
2026-06-26T12:02:35.002000+00:00,11308,0,1288,50.2,30.6,943.0,28.0,2.9,300
2026-06-26T12:03:34.996000+00:00,11308,0,1288,49.8,30.8,943.0,29.3,2.9,303
2026-06-26T12:04:34.997000+00:00,11308,0,1288,49.8,30.2,943.0,29.3,2.9,303
2026-06-26T12:05:35.007000+00:00,11308,0,1288,49.8,30.2,943.0,29.3,2.9,303
2026-06-26T12:06:34.991000+00:00,11308,0,1288,50.7,30.2,942.9,28.8,1.0,300
2026-06-26T12:07:35.003000+00:00,11308,0,1288,50.7,30.2,942.9,28.8,1.0,300
2026-06-26T12:08:34.998000+00:00,11308,0,1288,50.4,31.0,942.9,27.7,2.0,298
2026-06-26T12:09:34.995000+00:00,11308,0,1288,50.4,31.0,942.9,27.7,2.0,298
2026-06-26T12:10:35.001000+00:00,11308,0,1288,50.2,30.4,942.9,28.1,2.1,321
2026-06-26T12:11:35.004000+00:00,11308,0,1288,50.2,30.3,942.9,28.1,2.1,321
2026-06-26T12:12:34.999000+00:00,11308,0,1288,50.2,31.1,942.9,28.1,2.1,321
2026-06-26T12:13:34.997000+00:00,11308,0,1288,51.1,31.8,942.8,27.8,0.5,269
2026-06-26T12:14:35.012000+00:00,11308,0,1288,51.1,31.8,942.8,27.8,0.5,269
2026-06-26T12:15:35+00:00,11308,0,1288,50.8,30.2,942.8,27.1,0.8,219
2026-06-26T12:16:35.013000+00:00,11308,0,1288,50.8,30.2,942.8,27.1,0.8,219
2026-06-26T12:17:35.009000+00:00,11308,0,1288,51.4,31.6,942.8,26.1,1.3,82
2026-06-26T12:18:35.011000+00:00,11308,0,1288,50.3,30.7,942.8,26.0,1.3,127
2026-06-26T12:19:35.020000+00:00,11308,0,1288,51.3,31.4,942.7,26.2,1.2,16
2026-06-26T12:20:35.003000+00:00,11308,0,1288,51.0,31.3,942.8,26.4,1.2,7
2026-06-26T12:21:35.021000+00:00,11308,0,1288,51.0,31.4,942.7,27.2,0.6,36
2026-06-26T12:22:35.013000+00:00,11308,0,1288,50.1,31.4,942.7,27.0,1.2,133
2026-06-26T12:23:35.018000+00:00,11308,0,1288,51.0,31.5,942.7,25.7,0.6,10
2026-06-26T12:24:35.006000+00:00,11308,0,1288,51.0,31.3,942.7,25.7,0.6,10
2026-06-26T12:25:35.035000+00:00,11308,0,1288,51.2,31.4,942.7,26.4,0.8,267
2026-06-26T12:26:35.034000+00:00,11308,0,1288,51.4,31.3,942.8,26.6,1.4,312
2026-06-26T12:27:35.050000+00:00,11308,0,1288,51.4,31.2,942.8,26.6,1.4,312
2026-06-26T12:28:35.049000+00:00,11308,0,1288,51.3,31.6,942.7,27.3,0.6,326
2026-06-26T12:29:35.054000+00:00,11308,0,1288,51.4,31.5,942.7,27.0,1.1,329
2026-06-26T12:30:35.070000+00:00,11308,0,1288,50.1,31.5,942.6,25.6,1.4,297
2026-06-26T12:31:35.070000+00:00,11308,0,1288,50.4,31.4,942.6,26.2,0.9,283
2026-06-26T12:32:35.067000+00:00,11308,0,1288,51.2,31.3,942.6,26.0,0.3,118
