position,driver_number,lap_duration,meeting_key,session_key
1,12,88.778,1281,11249
2,63,89.076,1281,11249
3,81,89.132,1281,11249
4,16,89.405,1281,11249
5,1,89.409,1281,11249
6,44,89.567,1281,11249
7,10,89.691,1281,11249
8,6,89.978,1281,11249
9,5,90.274,1281,11249
10,41,90.319,1281,11249
11,3,90.262,1281,11249
12,31,90.309,1281,11249
13,27,90.387,1281,11249
14,30,90.495,1281,11249
15,43,90.627,1281,11249
16,55,91.033,1281,11249
17,23,91.088,1281,11249
18,87,91.09,1281,11249
19,11,92.206,1281,11249
20,77,92.33,1281,11249
21,14,92.646,1281,11249
22,18,92.92,1281,11249
