position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,15,False,False,False,"[90.035, 89.048, 88.778]","[0.12, 0.0, 0.0]",1281,11249
2,63,21,False,False,False,"[89.967, 89.686, 89.076]","[0.052, 0.638, 0.298]",1281,11249
3,81,20,False,False,False,"[90.2, 89.451, 89.132]","[0.285, 0.403, 0.354]",1281,11249
4,16,18,False,False,False,"[89.915, 89.303, 89.405]","[0.0, 0.255, 0.627]",1281,11249
5,1,20,False,False,False,"[90.401, 89.795, 89.409]","[0.486, 0.747, 0.631]",1281,11249
6,44,20,False,False,False,"[90.309, 89.589, 89.567]","[0.394, 0.541, 0.789]",1281,11249
7,10,18,False,False,False,"[90.584, 89.874, 89.691]","[0.669, 0.826, 0.913]",1281,11249
8,6,17,False,False,False,"[90.662, 90.104, 89.978]","[0.747, 1.056, 1.2]",1281,11249
9,5,20,False,False,False,"[90.359, 89.99, 90.274]","[0.444, 0.942, 1.496]",1281,11249
10,41,21,False,False,False,"[90.781, 90.109, 90.319]","[0.866, 1.061, 1.541]",1281,11249
11,3,12,False,False,False,"[90.519, 90.262, None]","[0.604, 1.214, None]",1281,11249
12,31,15,False,False,False,"[90.915, 90.309, None]","[1.0, 1.261, None]",1281,11249
13,27,14,False,False,False,"[90.358, 90.387, None]","[0.443, 1.339, None]",1281,11249
14,30,15,False,False,False,"[90.657, 90.495, None]","[0.742, 1.447, None]",1281,11249
15,43,12,False,False,False,"[90.931, 90.627, None]","[1.016, 1.579, None]",1281,11249
16,55,15,False,False,False,"[90.927, 91.033, None]","[1.012, 1.985, None]",1281,11249
17,23,9,False,False,False,"[91.088, None, None]","[1.173, None, None]",1281,11249
18,87,9,False,False,False,"[91.09, None, None]","[1.175, None, None]",1281,11249
19,11,6,False,False,False,"[92.206, None, None]","[2.291, None, None]",1281,11249
20,77,9,False,False,False,"[92.33, None, None]","[2.415, None, None]",1281,11249
21,14,9,False,False,False,"[92.646, None, None]","[2.731, None, None]",1281,11249
22,18,9,False,False,False,"[92.92, None, None]","[3.005, None, None]",1281,11249
