meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1281,11249,2026-03-28T05:49:45+00:00,,,Other,,,,,RISK OF RAIN FOR F1 QUALIFYING IS 0%
1281,11249,2026-03-28T06:00:00.155000+00:00,,,SessionStatus,,,,1.0,SESSION STARTED
1281,11249,2026-03-28T06:00:00+00:00,,,Flag,GREEN,Track,,1.0,GREEN LIGHT - PIT EXIT OPEN
1281,11249,2026-03-28T06:18:00.160000+00:00,,,SessionStatus,,,,1.0,SESSION FINISHED
1281,11249,2026-03-28T06:18:00+00:00,,,Flag,CHEQUERED,Track,,1.0,CHEQUERED FLAG
1281,11249,2026-03-28T06:18:12+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 23 (ALB)
1281,11249,2026-03-28T06:19:23+00:00,,,Other,,,,,TURN 14 INCIDENT INVOLVING CARS 55 (SAI) AND 6 (HAD) NOTED - IMPEDING
1281,11249,2026-03-28T06:20:53+00:00,,,Other,,,,,FIA STEWARDS: TURN 14 INCIDENT INVOLVING CARS 55 (SAI) AND 6 (HAD) REVIEWED NO FURTHER INVESTIGATION - IMPEDING
1281,11249,2026-03-28T06:21:37+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 41 (LIN) AND 5 (BOR) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1281,11249,2026-03-28T06:21:57+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 41 (LIN) AND 5 (BOR) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1281,11249,2026-03-28T06:25:00.157000+00:00,,,SessionStatus,,,,2.0,SESSION STARTED
1281,11249,2026-03-28T06:25:00+00:00,,,Flag,GREEN,Track,,2.0,GREEN LIGHT - PIT EXIT OPEN
1281,11249,2026-03-28T06:40:00.148000+00:00,,,SessionStatus,,,,2.0,SESSION FINISHED
1281,11249,2026-03-28T06:40:00+00:00,,,Flag,CHEQUERED,Track,,2.0,CHEQUERED FLAG
1281,11249,2026-03-28T06:40:06+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 55 (SAI)
1281,11249,2026-03-28T06:42:51+00:00,,,Other,,,,,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 44 (HAM) NOTED - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1281,11249,2026-03-28T06:42:59+00:00,,,Other,,,,,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 44 (HAM) WILL BE INVESTIGATED AFTER THE SESSION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1281,11249,2026-03-28T06:47:00.156000+00:00,,,SessionStatus,,,,3.0,SESSION STARTED
1281,11249,2026-03-28T06:47:00+00:00,,,Flag,GREEN,Track,,3.0,GREEN LIGHT - PIT EXIT OPEN
1281,11249,2026-03-28T06:51:12+00:00,,,Other,,,,,CAR 41 (LIN) TIME 1:31.537 DELETED - TRACK LIMITS AT TURN 13 LAP 18 15:50:40
1281,11249,2026-03-28T06:58:52+00:00,44.0,,Flag,BLACK AND WHITE,Driver,,3.0,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - DRIVING UNNECESSARILY SLOWLY IN PIT EXIT ROAD
1281,11249,2026-03-28T07:00:00.159000+00:00,,,SessionStatus,,,,3.0,SESSION FINISHED
1281,11249,2026-03-28T07:00:00+00:00,,,Flag,CHEQUERED,Track,,3.0,CHEQUERED FLAG
1281,11249,2026-03-28T07:00:16+00:00,,,Other,,,,,FIRST CAR TO TAKE THE FLAG - CAR 44 (HAM)
1281,11249,2026-03-28T07:03:23+00:00,,,Other,,,,,FIA STEWARDS: Q1 INCIDENT INVOLVING CARS 41 (LIN) AND 5 (BOR) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
1281,11249,2026-03-28T07:03:32+00:00,,,Other,,,,,FIA STEWARDS: Q2 INCIDENT INVOLVING CAR 44 (HAM) NO FURTHER ACTION - FAILING TO FOLLOW RACE DIRECTORS INSTRUCTIONS - MAXIMUM DELTA TIME
