date,session_key,wind_speed,meeting_key,rainfall,air_temperature,pressure,track_temperature,wind_direction,humidity
2026-03-28T05:48:59.111000+00:00,11249,2.9,1281,0,16.7,1008.8,32.4,126,57.2
2026-03-28T05:49:59.109000+00:00,11249,1.9,1281,0,16.6,1008.8,32.2,114,55.3
2026-03-28T05:50:59.111000+00:00,11249,2.4,1281,0,16.6,1008.8,32.2,117,56.4
2026-03-28T05:51:59.114000+00:00,11249,1.7,1281,0,16.5,1008.8,32.0,122,57.1
2026-03-28T05:52:59.113000+00:00,11249,1.7,1281,0,16.5,1008.7,32.3,132,55.4
2026-03-28T05:53:59.113000+00:00,11249,2.2,1281,0,16.5,1008.7,32.6,121,56.4
2026-03-28T05:54:59.113000+00:00,11249,2.0,1281,0,16.5,1008.7,32.7,144,57.0
2026-03-28T05:55:59.114000+00:00,11249,2.2,1281,0,16.5,1008.8,32.3,122,56.7
2026-03-28T05:56:59.115000+00:00,11249,2.7,1281,0,16.5,1008.7,32.4,151,56.9
2026-03-28T05:57:59.123000+00:00,11249,3.3,1281,0,16.5,1008.8,32.0,164,57.0
2026-03-28T05:58:59.143000+00:00,11249,2.3,1281,0,16.4,1008.7,32.1,151,59.2
2026-03-28T05:59:59.144000+00:00,11249,3.5,1281,0,16.4,1008.6,31.9,152,59.9
2026-03-28T06:00:59.160000+00:00,11249,2.3,1281,0,16.4,1008.7,31.6,120,58.5
2026-03-28T06:01:59.164000+00:00,11249,2.3,1281,0,16.4,1008.8,31.5,130,60.1
2026-03-28T06:02:59.163000+00:00,11249,3.8,1281,0,16.4,1008.8,31.3,125,57.8
2026-03-28T06:03:59.169000+00:00,11249,1.8,1281,0,16.4,1008.8,31.4,115,55.8
2026-03-28T06:04:59.167000+00:00,11249,1.3,1281,0,16.4,1008.8,31.0,150,56.4
2026-03-28T06:05:59.165000+00:00,11249,1.0,1281,0,16.5,1008.8,31.4,113,55.9
2026-03-28T06:06:59.171000+00:00,11249,1.2,1281,0,16.5,1008.8,31.4,94,54.4
2026-03-28T06:07:59.167000+00:00,11249,2.2,1281,0,16.5,1008.8,31.3,158,54.7
2026-03-28T06:08:59.168000+00:00,11249,0.8,1281,0,16.5,1008.7,31.5,117,53.3
2026-03-28T06:09:59.166000+00:00,11249,0.9,1281,0,16.6,1008.7,31.5,125,53.3
2026-03-28T06:10:59.185000+00:00,11249,1.2,1281,0,16.6,1008.7,31.5,183,51.3
2026-03-28T06:11:59.185000+00:00,11249,2.3,1281,0,16.7,1008.7,31.1,151,50.2
2026-03-28T06:12:59.202000+00:00,11249,1.8,1281,0,16.7,1008.6,30.8,137,48.8
2026-03-28T06:13:59.217000+00:00,11249,1.8,1281,0,16.7,1008.6,30.8,137,48.8
2026-03-28T06:14:59.221000+00:00,11249,2.3,1281,0,16.6,1008.6,30.2,118,48.8
2026-03-28T06:15:59.218000+00:00,11249,2.6,1281,0,16.5,1008.7,30.1,125,50.1
2026-03-28T06:16:59.236000+00:00,11249,2.2,1281,0,16.5,1008.6,30.2,137,50.2
2026-03-28T06:17:59.237000+00:00,11249,1.0,1281,0,16.6,1008.7,30.1,166,46.9
2026-03-28T06:18:59.252000+00:00,11249,2.8,1281,0,16.5,1008.7,29.9,114,47.4
2026-03-28T06:19:59.250000+00:00,11249,1.5,1281,0,16.5,1008.7,29.7,133,48.7
2026-03-28T06:20:59.254000+00:00,11249,0.9,1281,0,16.6,1008.8,29.8,85,47.5
2026-03-28T06:21:59.280000+00:00,11249,2.0,1281,0,16.6,1008.8,29.6,159,47.2
2026-03-28T06:22:59.258000+00:00,11249,1.9,1281,0,16.5,1008.7,29.7,144,47.2
2026-03-28T06:23:59.259000+00:00,11249,1.4,1281,0,16.4,1008.7,29.7,157,48.6
2026-03-28T06:24:59.257000+00:00,11249,2.1,1281,0,16.4,1008.7,29.8,138,49.6
2026-03-28T06:25:59.258000+00:00,11249,1.4,1281,0,16.4,1008.6,29.6,149,47.9
2026-03-28T06:26:59.255000+00:00,11249,0.9,1281,0,16.4,1008.7,29.5,126,48.1
2026-03-28T06:27:59.259000+00:00,11249,1.9,1281,0,16.4,1008.6,29.7,148,49.5
2026-03-28T06:28:59.259000+00:00,11249,0.6,1281,0,16.4,1008.7,29.4,135,48.7
2026-03-28T06:29:59.273000+00:00,11249,1.2,1281,0,16.6,1008.7,29.5,164,47.9
2026-03-28T06:30:59.273000+00:00,11249,2.3,1281,0,16.7,1008.7,29.3,137,46.6
2026-03-28T06:31:59.263000+00:00,11249,1.4,1281,0,16.7,1008.8,29.1,146,44.2
2026-03-28T06:32:59.262000+00:00,11249,2.1,1281,0,16.7,1008.7,29.0,145,45.5
2026-03-28T06:33:59.264000+00:00,11249,1.6,1281,0,16.6,1008.7,29.0,123,47.0
2026-03-28T06:34:59.264000+00:00,11249,2.3,1281,0,16.5,1008.7,28.6,108,46.5
2026-03-28T06:35:59.262000+00:00,11249,2.7,1281,0,16.5,1008.8,28.7,113,47.4
2026-03-28T06:36:59.264000+00:00,11249,1.0,1281,0,16.5,1008.7,29.4,158,46.7
2026-03-28T06:37:59.266000+00:00,11249,2.2,1281,0,16.6,1008.7,28.9,129,46.5
2026-03-28T06:38:59.268000+00:00,11249,1.5,1281,0,16.7,1008.6,28.9,146,46.1
2026-03-28T06:39:59.266000+00:00,11249,0.6,1281,0,16.7,1008.7,28.6,357,47.9
2026-03-28T06:40:59.268000+00:00,11249,0.4,1281,0,16.8,1008.7,28.5,31,47.8
2026-03-28T06:41:59.269000+00:00,11249,2.9,1281,0,16.9,1008.7,28.1,162,45.8
