meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1281,11249,1,55,1,3,SOFT,0
1281,11249,1,23,1,3,SOFT,0
1281,11249,1,18,1,3,SOFT,0
1281,11249,1,14,1,3,SOFT,0
1281,11249,1,77,1,3,SOFT,0
1281,11249,1,3,1,3,SOFT,0
1281,11249,1,6,1,3,SOFT,0
1281,11249,1,63,1,3,SOFT,0
1281,11249,1,31,1,6,SOFT,0
1281,11249,1,87,1,6,SOFT,0
1281,11249,1,11,1,3,SOFT,0
1281,11249,2,55,4,6,SOFT,0
1281,11249,1,41,1,6,SOFT,0
1281,11249,2,23,4,6,SOFT,0
1281,11249,1,30,1,6,SOFT,0
1281,11249,2,18,4,6,SOFT,0
1281,11249,2,14,4,6,SOFT,0
1281,11249,1,27,1,5,SOFT,0
1281,11249,1,5,1,5,SOFT,0
1281,11249,1,1,1,5,SOFT,0
1281,11249,1,10,1,3,SOFT,0
1281,11249,1,43,1,3,SOFT,0
1281,11249,2,77,4,6,SOFT,0
1281,11249,1,81,1,5,SOFT,0
1281,11249,2,87,7,9,SOFT,0
1281,11249,2,11,4,6,SOFT,0
1281,11249,3,23,7,9,SOFT,0
1281,11249,3,18,7,9,SOFT,0
1281,11249,3,14,7,9,SOFT,0
1281,11249,3,77,7,9,SOFT,0
1281,11249,1,12,1,3,SOFT,0
1281,11249,2,63,4,6,SOFT,0
1281,11249,1,44,1,6,SOFT,0
1281,11249,1,16,1,6,SOFT,0
1281,11249,2,3,4,6,SOFT,3
1281,11249,2,6,4,6,SOFT,3
1281,11249,2,41,7,9,SOFT,0
1281,11249,2,27,6,8,SOFT,0
1281,11249,2,30,7,9,SOFT,0
1281,11249,2,5,6,8,SOFT,0
1281,11249,3,55,7,9,SOFT,0
1281,11249,2,43,4,6,SOFT,0
1281,11249,2,10,4,6,SOFT,0
1281,11249,2,31,7,9,SOFT,0
1281,11249,2,81,6,8,SOFT,5
1281,11249,2,1,6,8,SOFT,5
1281,11249,3,63,7,9,SOFT,6
1281,11249,2,44,7,9,SOFT,6
1281,11249,2,16,7,9,SOFT,6
1281,11249,3,3,7,9,SOFT,0
1281,11249,3,6,7,9,SOFT,0
1281,11249,3,1,9,11,SOFT,0
1281,11249,3,81,9,11,SOFT,0
1281,11249,3,31,10,12,SOFT,0
1281,11249,3,10,7,9,SOFT,0
1281,11249,3,27,9,11,SOFT,0
1281,11249,3,43,7,9,SOFT,0
1281,11249,3,5,9,11,SOFT,0
1281,11249,3,41,10,12,SOFT,0
1281,11249,4,55,10,12,SOFT,3
1281,11249,3,30,10,12,SOFT,0
1281,11249,2,12,4,6,SOFT,3
1281,11249,4,3,10,12,SOFT,0
1281,11249,4,31,13,15,SOFT,0
1281,11249,4,27,12,14,SOFT,0
1281,11249,4,43,10,12,SOFT,0
1281,11249,5,55,13,15,SOFT,0
1281,11249,4,30,13,15,SOFT,0
1281,11249,3,12,7,9,SOFT,0
1281,11249,4,63,10,15,SOFT,0
1281,11249,4,5,12,14,SOFT,0
1281,11249,4,10,10,12,SOFT,0
1281,11249,4,41,13,15,SOFT,0
1281,11249,4,1,12,14,SOFT,0
1281,11249,4,81,12,14,SOFT,3
1281,11249,3,44,10,14,SOFT,0
1281,11249,3,16,10,12,SOFT,0
1281,11249,4,6,10,12,SOFT,0
1281,11249,4,12,10,12,SOFT,0
1281,11249,5,63,16,18,SOFT,0
1281,11249,5,1,15,17,SOFT,0
1281,11249,5,81,15,17,SOFT,0
1281,11249,5,6,13,15,SOFT,0
1281,11249,4,44,15,17,SOFT,0
1281,11249,5,5,15,17,SOFT,3
1281,11249,5,41,16,18,SOFT,3
1281,11249,5,10,13,15,SOFT,3
1281,11249,4,16,13,15,SOFT,0
1281,11249,6,6,16,17,SOFT,0
1281,11249,5,12,13,15,SOFT,0
1281,11249,6,63,19,21,SOFT,0
1281,11249,6,1,18,20,SOFT,0
1281,11249,6,81,18,20,SOFT,0
1281,11249,5,44,18,20,SOFT,0
1281,11249,6,5,18,20,SOFT,0
1281,11249,6,41,19,21,SOFT,0
1281,11249,6,10,16,18,SOFT,0
1281,11249,5,16,16,18,SOFT,0
