date,session_key,pressure,wind_speed,meeting_key,air_temperature,humidity,rainfall,wind_direction,track_temperature
2026-05-01T16:00:37.464000+00:00,11270,1013.0,0.5,1284,29.9,49.1,0,310,52.8
2026-05-01T16:00:37.464000+00:00,11270,1013.0,0.5,1284,29.9,49.1,0,310,52.8
2026-05-01T16:01:37.457000+00:00,11270,1013.1,1.0,1284,29.9,49.6,0,112,53.9
2026-05-01T16:02:37.478000+00:00,11270,1013.0,0.7,1284,30.0,49.2,0,83,54.3
2026-05-01T16:03:37.470000+00:00,11270,1013.1,0.0,1284,30.2,49.8,0,0,53.2
2026-05-01T16:04:37.459000+00:00,11270,1013.0,1.1,1284,30.3,49.3,0,273,53.0
2026-05-01T16:05:37.469000+00:00,11270,1013.0,4.2,1284,30.3,48.2,0,295,51.3
2026-05-01T16:06:37.459000+00:00,11270,1013.0,3.4,1284,30.3,48.1,0,295,51.7
2026-05-01T16:07:37.474000+00:00,11270,1013.0,2.1,1284,30.3,48.5,0,309,52.7
2026-05-01T16:08:37.474000+00:00,11270,1013.0,2.6,1284,30.3,49.7,0,293,52.3
2026-05-01T16:09:37.476000+00:00,11270,1013.2,4.3,1284,30.4,49.1,0,298,52.3
2026-05-01T16:10:37.473000+00:00,11270,1013.0,3.1,1284,30.5,48.2,0,299,52.0
2026-05-01T16:11:37.475000+00:00,11270,1013.1,4.0,1284,30.4,48.4,0,299,52.3
2026-05-01T16:12:37.475000+00:00,11270,1013.1,3.5,1284,30.3,48.3,0,288,52.1
2026-05-01T16:13:37.489000+00:00,11270,1013.2,2.6,1284,30.3,48.7,0,290,51.0
2026-05-01T16:14:37.474000+00:00,11270,1013.1,2.3,1284,30.3,49.0,0,307,48.8
2026-05-01T16:15:37.488000+00:00,11270,1013.1,3.0,1284,30.3,49.0,0,300,48.2
2026-05-01T16:16:37.473000+00:00,11270,1013.1,3.5,1284,30.2,48.2,0,296,46.8
2026-05-01T16:17:37.485000+00:00,11270,1013.0,3.1,1284,30.1,49.2,0,296,46.3
2026-05-01T16:18:37.482000+00:00,11270,1012.9,2.8,1284,30.1,49.0,0,302,46.1
2026-05-01T16:19:37.479000+00:00,11270,1013.0,3.3,1284,30.1,49.6,0,293,48.8
2026-05-01T16:20:37.478000+00:00,11270,1013.0,2.0,1284,30.2,48.5,0,298,50.0
2026-05-01T16:21:37.473000+00:00,11270,1012.9,2.6,1284,30.4,47.8,0,305,50.5
2026-05-01T16:22:37.487000+00:00,11270,1013.0,3.6,1284,30.6,47.7,0,293,51.2
2026-05-01T16:23:37.485000+00:00,11270,1012.9,0.6,1284,30.7,48.0,0,263,52.0
2026-05-01T16:24:37.491000+00:00,11270,1012.9,1.7,1284,30.7,48.7,0,317,52.5
2026-05-01T16:25:37.485000+00:00,11270,1012.8,3.4,1284,30.8,48.1,0,288,52.6
2026-05-01T16:26:37.474000+00:00,11270,1012.8,4.1,1284,30.8,46.5,0,290,52.3
2026-05-01T16:27:37.490000+00:00,11270,1012.9,4.5,1284,30.9,46.0,0,286,52.2
2026-05-01T16:28:37.489000+00:00,11270,1012.8,3.5,1284,30.9,47.1,0,296,51.9
2026-05-01T16:29:37.491000+00:00,11270,1012.9,3.5,1284,30.8,47.6,0,292,51.5
2026-05-01T16:30:37.492000+00:00,11270,1012.9,2.5,1284,30.8,48.3,0,282,50.1
2026-05-01T16:31:37.491000+00:00,11270,1013.0,1.9,1284,30.7,48.0,0,299,52.0
2026-05-01T16:32:37.493000+00:00,11270,1012.8,1.9,1284,30.5,48.4,0,290,52.5
2026-05-01T16:33:37.478000+00:00,11270,1012.8,1.9,1284,30.4,48.2,0,282,51.4
2026-05-01T16:34:37.492000+00:00,11270,1012.9,1.0,1284,30.2,47.7,0,258,49.0
2026-05-01T16:35:37.492000+00:00,11270,1012.8,0.8,1284,30.1,48.2,0,247,49.0
2026-05-01T16:36:37.491000+00:00,11270,1012.8,1.6,1284,30.1,48.5,0,317,48.9
2026-05-01T16:37:37.491000+00:00,11270,1012.7,1.9,1284,30.1,47.5,0,308,52.2
2026-05-01T16:38:37.492000+00:00,11270,1012.7,1.7,1284,30.2,47.0,0,327,52.4
2026-05-01T16:39:37.497000+00:00,11270,1012.7,1.4,1284,30.2,47.6,0,291,51.9
2026-05-01T16:40:37.500000+00:00,11270,1012.6,2.3,1284,30.4,46.7,0,326,53.4
2026-05-01T16:41:37.496000+00:00,11270,1012.7,4.5,1284,30.6,46.5,0,286,50.4
2026-05-01T16:42:37.489000+00:00,11270,1012.8,3.6,1284,30.6,46.3,0,289,49.9
2026-05-01T16:43:37.488000+00:00,11270,1012.7,3.0,1284,30.7,46.0,0,290,51.9
2026-05-01T16:44:37.487000+00:00,11270,1012.6,3.1,1284,30.8,45.2,0,288,49.5
2026-05-01T16:45:37.500000+00:00,11270,1012.6,2.4,1284,30.9,45.6,0,279,48.1
2026-05-01T16:46:37.499000+00:00,11270,1012.6,2.3,1284,31.0,46.4,0,312,50.4
2026-05-01T16:47:37.495000+00:00,11270,1012.6,2.1,1284,31.0,45.8,0,295,51.5
2026-05-01T16:48:37.502000+00:00,11270,1012.5,2.0,1284,31.1,46.5,0,331,52.1
2026-05-01T16:49:37.492000+00:00,11270,1012.5,2.2,1284,31.3,45.7,0,296,50.7
2026-05-01T16:50:37.497000+00:00,11270,1012.5,2.9,1284,31.3,45.1,0,313,50.6
2026-05-01T16:51:37.504000+00:00,11270,1012.5,2.4,1284,31.2,44.6,0,286,49.8
2026-05-01T16:52:37.492000+00:00,11270,1012.4,3.3,1284,31.2,43.9,0,287,51.7
2026-05-01T16:53:37.509000+00:00,11270,1012.5,1.8,1284,31.2,42.9,0,309,52.2
2026-05-01T16:54:37.501000+00:00,11270,1012.5,3.9,1284,31.3,42.5,0,293,51.9
2026-05-01T16:55:37.542000+00:00,11270,1012.5,4.4,1284,31.4,43.3,0,295,52.7
2026-05-01T16:56:37.549000+00:00,11270,1012.6,4.7,1284,31.4,42.9,0,292,52.5
2026-05-01T16:57:37.560000+00:00,11270,1012.6,2.0,1284,31.5,42.6,0,286,52.6
2026-05-01T16:58:37.545000+00:00,11270,1012.6,3.0,1284,31.5,43.6,0,298,53.5
2026-05-01T16:59:37.559000+00:00,11270,1012.6,3.5,1284,31.5,43.2,0,317,53.8
2026-05-01T17:00:37.575000+00:00,11270,1012.6,3.3,1284,31.4,43.9,0,301,52.9
2026-05-01T17:01:37.592000+00:00,11270,1012.6,1.5,1284,31.5,43.7,0,296,53.7
2026-05-01T17:02:37.594000+00:00,11270,1012.5,2.7,1284,31.4,43.2,0,295,53.6
2026-05-01T17:03:37.600000+00:00,11270,1012.5,2.5,1284,31.5,43.4,0,308,54.2
2026-05-01T17:04:37.613000+00:00,11270,1012.4,2.3,1284,31.3,43.6,0,287,53.8
2026-05-01T17:05:37.616000+00:00,11270,1012.4,1.6,1284,31.3,43.7,0,308,54.9
2026-05-01T17:06:37.643000+00:00,11270,1012.4,0.6,1284,31.3,43.4,0,325,55.0
2026-05-01T17:07:37.634000+00:00,11270,1012.2,0.4,1284,31.4,43.6,0,186,54.8
2026-05-01T17:08:37.642000+00:00,11270,1012.2,0.4,1284,31.5,43.2,0,102,55.8
2026-05-01T17:09:37.642000+00:00,11270,1012.2,2.0,1284,31.8,42.9,0,267,55.6
2026-05-01T17:10:37.659000+00:00,11270,1012.3,3.0,1284,31.8,41.9,0,300,55.5
2026-05-01T17:11:37.659000+00:00,11270,1012.2,2.7,1284,31.8,42.0,0,290,54.7
2026-05-01T17:12:37.673000+00:00,11270,1012.3,3.3,1284,31.7,41.4,0,293,55.0
2026-05-01T17:13:37.665000+00:00,11270,1012.2,4.2,1284,31.6,42.0,0,288,54.7
2026-05-01T17:14:37.666000+00:00,11270,1012.3,3.1,1284,31.5,41.8,0,279,54.5
2026-05-01T17:15:37.677000+00:00,11270,1012.3,2.9,1284,31.3,42.3,0,293,54.9
2026-05-01T17:16:37.698000+00:00,11270,1012.3,4.2,1284,31.2,43.2,0,288,55.2
2026-05-01T17:17:37.703000+00:00,11270,1012.3,2.6,1284,31.3,42.0,0,304,54.8
2026-05-01T17:18:37.727000+00:00,11270,1012.3,3.3,1284,31.3,42.1,0,298,55.1
2026-05-01T17:19:37.736000+00:00,11270,1012.3,3.3,1284,31.5,42.1,0,298,55.1
2026-05-01T17:20:37.743000+00:00,11270,1012.3,3.3,1284,31.5,42.1,0,298,55.1
2026-05-01T17:21:37.743000+00:00,11270,1012.3,2.0,1284,31.3,43.7,0,298,55.8
2026-05-01T17:22:37.745000+00:00,11270,1012.2,2.6,1284,31.6,42.9,0,283,55.5
2026-05-01T17:23:37.737000+00:00,11270,1012.2,1.7,1284,31.5,43.3,0,263,55.6
2026-05-01T17:24:37.741000+00:00,11270,1012.2,3.1,1284,31.5,43.1,0,288,56.3
2026-05-01T17:25:37.761000+00:00,11270,1012.2,3.1,1284,31.8,43.1,0,288,56.3
2026-05-01T17:26:37.758000+00:00,11270,1012.1,2.9,1284,31.8,40.7,0,290,57.2
2026-05-01T17:27:37.754000+00:00,11270,1012.2,2.9,1284,31.7,40.3,0,300,56.7
2026-05-01T17:28:37.769000+00:00,11270,1012.1,2.3,1284,31.6,40.5,0,284,56.3
2026-05-01T17:29:37.794000+00:00,11270,1012.2,1.0,1284,31.6,40.4,0,289,56.7
2026-05-01T17:30:37.793000+00:00,11270,1012.1,2.4,1284,31.6,40.1,0,296,56.9
2026-05-01T17:31:37.795000+00:00,11270,1012.1,2.3,1284,31.7,40.2,0,292,56.7
2026-05-01T17:32:37.794000+00:00,11270,1012.2,2.1,1284,31.7,40.0,0,280,56.9
2026-05-01T17:33:37.803000+00:00,11270,1012.2,2.1,1284,31.7,40.0,0,280,56.9
2026-05-01T17:34:37.795000+00:00,11270,1012.1,2.9,1284,31.5,40.2,0,291,57.4
2026-05-01T17:35:37.804000+00:00,11270,1012.0,3.1,1284,31.7,39.8,0,291,57.4
2026-05-01T17:36:37.820000+00:00,11270,1012.1,2.5,1284,32.0,37.8,0,320,57.8
2026-05-01T17:37:37.844000+00:00,11270,1012.0,1.8,1284,32.0,36.9,0,294,57.8
2026-05-01T17:38:37.840000+00:00,11270,1012.0,3.1,1284,32.1,37.4,0,291,58.0
2026-05-01T17:39:37.853000+00:00,11270,1012.1,2.4,1284,32.1,36.7,0,301,57.7
