position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,16,41,False,False,False,89.31,0.0,1284,11270
2,3,41,False,False,False,89.607,0.297,1284,11270
3,81,35,False,False,False,89.758,0.448,1284,11270
4,44,35,False,False,False,89.777,0.467,1284,11270
5,12,24,False,False,False,90.079,0.769,1284,11270
6,63,34,False,False,False,90.1,0.79,1284,11270
7,1,35,False,False,False,90.208,0.898,1284,11270
8,10,34,False,False,False,90.587,1.277,1284,11270
9,6,40,False,False,False,90.873,1.563,1284,11270
10,55,37,False,False,False,90.93,1.62,1284,11270
11,43,33,False,False,False,91.015,1.705,1284,11270
12,23,39,False,False,False,91.024,1.714,1284,11270
13,87,35,False,False,False,91.091,1.781,1284,11270
14,5,28,False,False,False,91.111,1.801,1284,11270
15,27,33,False,False,False,91.595,2.285,1284,11270
16,31,36,False,False,False,91.635,2.325,1284,11270
17,30,41,False,False,False,91.648,2.338,1284,11270
18,11,25,False,False,False,92.047,2.737,1284,11270
19,14,29,False,False,False,92.593,3.283,1284,11270
20,77,33,False,False,False,92.762,3.452,1284,11270
21,41,41,False,False,False,92.862,3.552,1284,11270
22,18,28,False,False,False,92.959,3.649,1284,11270
