position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,44,32,False,False,False,89.26,0.0,1289,11316
2,12,29,False,False,False,89.473,0.213,1289,11316
3,16,31,False,False,False,89.859,0.599,1289,11316
4,63,31,False,False,False,89.938,0.678,1289,11316
5,81,25,False,False,False,90.147,0.887,1289,11316
6,3,27,False,False,False,90.24,0.98,1289,11316
7,1,27,False,False,False,90.288,1.028,1289,11316
8,6,28,False,False,False,90.338,1.078,1289,11316
9,27,29,False,False,False,90.743,1.483,1289,11316
10,30,28,False,False,False,90.85,1.59,1289,11316
11,43,28,False,False,False,90.966,1.706,1289,11316
12,5,28,False,False,False,91.035,1.775,1289,11316
13,41,32,False,False,False,91.339,2.079,1289,11316
14,87,27,False,False,False,91.373,2.113,1289,11316
15,55,33,False,False,False,91.684,2.424,1289,11316
16,31,27,False,False,False,91.684,2.424,1289,11316
17,23,30,False,False,False,91.697,2.437,1289,11316
18,77,22,False,False,False,92.15,2.89,1289,11316
19,11,23,False,False,False,92.241,2.981,1289,11316
20,14,25,False,False,False,92.957,3.697,1289,11316
21,10,25,False,False,False,93.019,3.759,1289,11316
22,18,26,False,False,False,93.13,3.87,1289,11316
