date,session_key,wind_speed,meeting_key,wind_direction,humidity,pressure,track_temperature,air_temperature,rainfall
2026-07-03T11:15:48.341000+00:00,11316,1.1,1289,245,51.1,1011.8,38.7,21.2,0
2026-07-03T11:16:48.335000+00:00,11316,0.8,1289,249,50.0,1011.8,39.1,20.6,0
2026-07-03T11:17:48.332000+00:00,11316,0.8,1289,249,50.0,1011.8,39.1,21.2,0
2026-07-03T11:18:48.328000+00:00,11316,0.8,1289,249,50.0,1011.8,39.1,21.1,0
2026-07-03T11:19:48.335000+00:00,11316,1.5,1289,295,50.0,1011.9,38.4,20.8,0
2026-07-03T11:20:48.325000+00:00,11316,1.1,1289,265,49.5,1011.9,39.6,20.8,0
2026-07-03T11:21:48.329000+00:00,11316,1.1,1289,265,49.5,1011.9,39.6,20.8,0
2026-07-03T11:22:48.331000+00:00,11316,0.6,1289,205,50.3,1011.8,39.9,20.9,0
2026-07-03T11:23:48.337000+00:00,11316,0.6,1289,205,50.3,1011.8,39.9,21.6,0
2026-07-03T11:24:48.343000+00:00,11316,0.6,1289,205,50.3,1011.8,39.9,21.0,0
2026-07-03T11:25:48.334000+00:00,11316,0.6,1289,205,50.3,1011.8,39.9,21.6,0
2026-07-03T11:26:48.346000+00:00,11316,0.6,1289,205,50.3,1011.8,39.9,21.3,0
2026-07-03T11:27:48.341000+00:00,11316,0.6,1289,205,50.3,1011.8,39.9,21.9,0
2026-07-03T11:28:48.334000+00:00,11316,2.7,1289,237,50.1,1011.6,39.1,21.1,0
2026-07-03T11:29:48.349000+00:00,11316,2.7,1289,237,50.1,1011.6,39.1,21.1,0
2026-07-03T11:30:48.355000+00:00,11316,2.6,1289,256,48.9,1011.5,38.0,21.2,0
2026-07-03T11:31:48.390000+00:00,11316,2.6,1289,256,48.9,1011.5,38.0,21.4,0
2026-07-03T11:32:48.402000+00:00,11316,2.6,1289,256,48.9,1011.5,38.0,21.4,0
2026-07-03T11:33:48.390000+00:00,11316,2.6,1289,256,48.9,1011.5,38.0,21.4,0
2026-07-03T11:34:48.393000+00:00,11316,2.6,1289,256,48.9,1011.5,38.0,21.6,0
2026-07-03T11:35:48.396000+00:00,11316,2.0,1289,211,48.4,1011.6,39.1,21.6,0
