Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,9.0,0 days 00:01:30.650000,MEDIUM,2.0,Williams
ALO,4.0,0 days 00:01:32.910000,MEDIUM,4.0,Aston Martin
ANT,14.0,0 days 00:01:28.387000,SOFT,2.0,Mercedes
BEA,5.0,0 days 00:01:31.083000,MEDIUM,5.0,Haas F1 Team
BOR,8.0,0 days 00:01:29.679000,MEDIUM,2.0,Audi
BOT,5.0,0 days 00:01:32.020000,MEDIUM,5.0,Cadillac
COL,8.0,0 days 00:01:29.983000,MEDIUM,2.0,Alpine
GAS,8.0,0 days 00:01:29.482000,MEDIUM,2.0,Alpine
HAD,13.0,0 days 00:01:28.835000,SOFT,2.0,Red Bull Racing
HAM,13.0,0 days 00:01:28.376000,SOFT,2.0,Ferrari
HUL,11.0,0 days 00:01:29.707000,MEDIUM,5.0,Audi
LAW,11.0,0 days 00:01:28.927000,SOFT,2.0,Racing Bulls
LEC,13.0,0 days 00:01:28.703000,SOFT,2.0,Ferrari
LIN,8.0,0 days 00:01:29.330000,MEDIUM,2.0,Racing Bulls
NOR,14.0,0 days 00:01:28.740000,SOFT,2.0,McLaren
OCO,2.0,0 days 00:01:31.714000,MEDIUM,2.0,Haas F1 Team
PER,5.0,0 days 00:01:31.776000,MEDIUM,5.0,Cadillac
PIA,11.0,0 days 00:01:28.772000,SOFT,2.0,McLaren
RUS,14.0,0 days 00:01:28.733000,SOFT,2.0,Mercedes
SAI,9.0,0 days 00:01:30.197000,MEDIUM,2.0,Williams
STR,4.0,0 days 00:01:32.988000,MEDIUM,4.0,Aston Martin
VER,11.0,0 days 00:01:28.697000,SOFT,2.0,Red Bull Racing
