season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026,10,Belgian Grand Prix,R,ALB,Williams,regulations_2026_reset,1.25,41,112.09366666666666,111.894,113.29108333333333,-0.04131428571428566,344.0,17.531707317073174,29.821951219512197,51.34146341463415,False,1.9951219512195124,297.609756097561,3.092333333333343,17.0,0.22141666666666993
2026,10,Belgian Grand Prix,R,ALO,Aston Martin,regulations_2026_reset,1.25,39,113.79466666666667,112.948,117.15343333333334,-0.041724137931034265,327.0,17.587179487179487,29.7948717948718,51.284615384615385,False,2.158974358974359,293.20512820512823,4.793333333333351,19.0,-0.5133333333333212
2026,10,Belgian Grand Prix,R,ANT,Mercedes,regulations_2026_reset,1.25,41,109.34083333333332,109.098,111.38648717948719,-0.04407894736842135,328.0,17.570731707317073,29.621951219512194,51.34146341463415,False,2.2341463414634144,294.4390243902439,0.339500000000001,2.0,0.0
2026,10,Belgian Grand Prix,R,BEA,Haas F1 Team,regulations_2026_reset,1.25,41,111.42133333333334,111.109,113.58131428571429,-0.03811764705882372,340.0,17.531707317073174,29.817073170731714,51.34146341463415,False,1.9951219512195124,297.5121951219512,2.420000000000016,14.0,-0.2818333333333385
2026,10,Belgian Grand Prix,R,BOR,Audi,regulations_2026_reset,1.25,41,110.59083333333335,110.334,112.7116388888889,-0.07420000000000024,335.0,17.53170731707317,29.807317073170736,51.356097560975606,False,1.982926829268293,298.6341463414634,1.5895000000000294,8.0,-0.21983333333332666
2026,10,Belgian Grand Prix,R,BOT,Cadillac,regulations_2026_reset,1.25,41,112.51033333333335,112.011,115.6995,-0.10354545454545416,329.0,17.548780487804876,29.92926829268293,51.309756097560985,False,1.8926829268292682,298.3658536585366,3.5090000000000288,18.0,-0.748833333333323
2026,10,Belgian Grand Prix,R,COL,Alpine,regulations_2026_reset,1.25,41,111.29583333333333,111.162,112.9365,-0.05537142857142864,335.0,17.546341463414635,29.831707317073175,51.363414634146345,False,2.0048780487804883,297.9756097560976,2.2945000000000135,13.0,0.01624999999999943
2026,10,Belgian Grand Prix,R,GAS,Alpine,regulations_2026_reset,1.25,41,111.26333333333332,111.101,112.90422222222222,-0.06577142857142876,337.0,17.546341463414635,29.831707317073175,51.363414634146345,False,2.0048780487804883,297.9756097560976,2.2620000000000005,12.0,-0.016250000000013642
2026,10,Belgian Grand Prix,R,HAD,Red Bull Racing,regulations_2026_reset,1.25,42,109.59933333333333,109.298,111.67151428571428,-0.06641176470588223,344.0,17.538095238095238,29.93333333333334,51.2952380952381,False,2.035714285714286,298.6904761904762,0.5980000000000132,5.0,-0.05191666666667061
2026,10,Belgian Grand Prix,R,HAM,Ferrari,regulations_2026_reset,1.25,41,109.55916666666667,109.454,111.5122777777778,-0.038200000000000095,339.0,17.546341463414635,29.839024390243903,51.42926829268293,False,2.1439024390243904,298.1463414634146,0.557833333333349,4.0,0.01833333333334508
