season,round,event_name,session_code,driver,team,stint,compound,lap_count,mean_lap_time_s,degradation_per_lap_s,degradation_index,start_tyre_life,end_tyre_life
2026,11,Hungarian Grand Prix,FP3,ALB,Williams,2.0,SOFT,2,107.4455,10.0,0.0,4,5
2026,11,Hungarian Grand Prix,FP3,ALB,Williams,3.0,SOFT,2,122.066,-10.0,0.0,6,7
2026,11,Hungarian Grand Prix,FP3,ALB,Williams,4.0,SOFT,2,106.281,10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,ALB,Williams,5.0,SOFT,2,113.87700000000001,-10.0,0.0,5,6
2026,11,Hungarian Grand Prix,FP3,ALO,Aston Martin,1.0,MEDIUM,2,90.4025,-10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,ALO,Aston Martin,2.0,MEDIUM,4,92.1375,3.3333333333333335,0.0,6,9
2026,11,Hungarian Grand Prix,FP3,ALO,Aston Martin,3.0,SOFT,3,97.397,2.840999999999994,0.5,2,4
2026,11,Hungarian Grand Prix,FP3,ALO,Aston Martin,4.0,SOFT,3,94.09166666666665,0.0,0.5,6,8
2026,11,Hungarian Grand Prix,FP3,ANT,Mercedes,1.0,SOFT,3,98.80566666666668,0.0,0.5,2,4
2026,11,Hungarian Grand Prix,FP3,ANT,Mercedes,2.0,SOFT,2,88.33,10.0,0.0,6,7
2026,11,Hungarian Grand Prix,FP3,ANT,Mercedes,3.0,SOFT,2,92.80600000000001,10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,ANT,Mercedes,4.0,SOFT,2,87.42750000000001,10.0,0.0,5,6
2026,11,Hungarian Grand Prix,FP3,ANT,Mercedes,5.0,SOFT,2,134.3,-0.8259999999999934,0.0,9,10
2026,11,Hungarian Grand Prix,FP3,BEA,Haas F1 Team,1.0,SOFT,5,109.6804,0.0,0.0,2,6
2026,11,Hungarian Grand Prix,FP3,BEA,Haas F1 Team,2.0,SOFT,2,114.495,10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,BEA,Haas F1 Team,3.0,SOFT,4,108.72575,1.0609999999999975,0.39999999999999997,5,8
2026,11,Hungarian Grand Prix,FP3,BOR,Audi,1.0,MEDIUM,2,101.516,10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,BOR,Audi,3.0,MEDIUM,3,100.04899999999999,0.0,0.5,6,8
2026,11,Hungarian Grand Prix,FP3,BOR,Audi,4.0,MEDIUM,5,101.9992,-0.7272500000000015,-0.3,9,13
2026,11,Hungarian Grand Prix,FP3,BOR,Audi,5.0,SOFT,2,101.3735,10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,BOR,Audi,6.0,SOFT,3,101.82933333333334,0.0,-0.5,4,6
2026,11,Hungarian Grand Prix,FP3,BOR,Audi,7.0,SOFT,2,112.979,3.2460000000000093,0.0,8,9
2026,11,Hungarian Grand Prix,FP3,BOT,Cadillac,1.0,SOFT,2,102.79050000000001,10.0,0.0,2,3
2026,11,Hungarian Grand Prix,FP3,BOT,Cadillac,2.0,SOFT,1,119.747,0.0,0.0,5,5
2026,11,Hungarian Grand Prix,FP3,BOT,Cadillac,3.0,SOFT,2,102.72749999999999,10.0,0.0,2,3
