meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1285,11291,81,1,2026-05-24T20:09:47.754000+00:00,31.036,26.881,48.015,218.0,287.0,False,105.932,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2064, 2064, 2064]",319.0
1285,11291,1,2,2026-05-24T20:11:14.482000+00:00,23.565,26.304,47.905,226.0,267.0,False,97.774,"[2049, 2049, 2048, 2048, 2051, 2048]","[2048, 2048, 2048, 2051, 2048, 2048]","[2049, 2048, 2049, 2048, 2049, 2064, 2064, 2064]",296.0
1285,11291,12,2,2026-05-24T20:11:15.514000+00:00,23.454,25.6,32.393,242.0,282.0,False,81.447,"[None, 2049, 2051, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2048, 2048]","[2048, 2049, 2049, 2048, 2048, 2049, 2048]",300.0
1285,11291,63,2,2026-05-24T20:11:16.170000+00:00,23.553,25.496,31.876,239.0,286.0,False,80.925,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2048, 2049, 2049, 2048, 2048, 2048]",318.0
1285,11291,44,2,2026-05-24T20:11:16.748000+00:00,23.569,25.55,31.551,233.0,280.0,False,80.67,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2048, 2048, 2049, 2048]",328.0
1285,11291,3,2,2026-05-24T20:11:17.967000+00:00,23.286,25.745,31.245,235.0,277.0,False,80.276,"[2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048]","[2051, 2049, 2048, 2048, 2048, 2051, 2049]",314.0
1285,11291,16,2,2026-05-24T20:11:18.607000+00:00,23.603,25.524,31.224,232.0,283.0,False,80.351,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2051, 2051, 2049, 2049, 2049, 2051]",322.0
1285,11291,6,2,2026-05-24T20:11:19.670000+00:00,23.667,25.815,31.194,237.0,280.0,False,80.676,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2048, 2049, 2049, 2049, 2049]",316.0
1285,11291,43,2,2026-05-24T20:11:20.795000+00:00,23.826,25.97,32.429,242.0,280.0,False,82.225,"[None, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2048, 2049, 2049]",310.0
1285,11291,30,2,2026-05-24T20:11:21.295000+00:00,24.189,26.265,32.228,233.0,277.0,False,82.682,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2048, 2049, 2049]",316.0
1285,11291,27,2,2026-05-24T20:11:22.045000+00:00,25.038,27.491,50.538,216.0,272.0,False,103.067,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2049, 2048, 2048]","[2049, 2048, 2048, 2048, 2049, 2064, 2064, 2064]",311.0
1285,11291,87,2,2026-05-24T20:11:23.436000+00:00,24.542,26.874,32.441,223.0,273.0,False,83.857,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",328.0
1285,11291,10,2,2026-05-24T20:11:23.529000+00:00,26.933,26.924,32.365,229.0,283.0,False,86.222,"[None, 2049, 2048, 2048, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2048, 2048, 2048, 2048, 2049, 2049, 2049]",315.0
1285,11291,5,2,2026-05-24T20:11:23.623000+00:00,25.844,27.267,54.243,227.0,273.0,False,107.354,"[None, 2049, 2048, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2048, 2048, 2064, 2064, 2064]",284.0
1285,11291,14,2,2026-05-24T20:11:24.248000+00:00,24.705,26.647,32.356,229.0,270.0,False,83.708,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2048, 2049, 2048, 2049, 2049, 2049]",325.0
1285,11291,31,2,2026-05-24T20:11:24.936000+00:00,25.899,27.088,32.709,215.0,279.0,False,85.696,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2048, 2049, 2048, 2048]",308.0
1285,11291,55,2,2026-05-24T20:11:26.264000+00:00,25.377,27.774,49.308,197.0,274.0,False,102.459,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2048, 2049, 2048, 2049, 2064, 2064, 2064]",312.0
1285,11291,11,2,2026-05-24T20:11:26.482000+00:00,25.507,28.039,51.473,203.0,268.0,False,105.019,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2049, 2048, 2048, 2049, 2064, 2064, 2064]",314.0
1285,11291,77,2,2026-05-24T20:11:26.811000+00:00,25.636,28.413,33.628,206.0,274.0,False,87.677,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2048, 2049, 2049, 2048]","[2049, 2048, 2048, 2048, 2049, 2048, 2048, 2048]",314.0
1285,11291,23,2,2026-05-24T20:11:27.186000+00:00,25.435,27.841,32.238,220.0,278.0,False,85.514,"[None, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2048]","[2049, 2049, 2049, 2049, 2049, 2051, 2048, 2048]",324.0
1285,11291,18,2,2026-05-24T20:11:30.020000+00:00,24.736,27.472,32.87,,270.0,False,85.078,"[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2049, 2049, 2049]",315.0
