meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1285,11291,2026-05-24T20:25:50+00:00,,13,Flag,YELLOW,Sector,12.0,,YELLOW IN TRACK SECTOR 12
1285,11291,2026-05-24T20:25:53+00:00,,13,Flag,DOUBLE YELLOW,Sector,11.0,,DOUBLE YELLOW IN TRACK SECTOR 11
1285,11291,2026-05-24T20:25:54+00:00,,13,Flag,YELLOW,Sector,11.0,,YELLOW IN TRACK SECTOR 11
1285,11291,2026-05-24T20:25:58+00:00,,13,Flag,CLEAR,Sector,12.0,,CLEAR IN TRACK SECTOR 12
1285,11291,2026-05-24T20:26:23+00:00,,13,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12
1285,11291,2026-05-24T20:26:27+00:00,77.0,13,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:26:26
1285,11291,2026-05-24T20:26:28+00:00,,13,Flag,CLEAR,Sector,12.0,,CLEAR IN TRACK SECTOR 12
1285,11291,2026-05-24T20:27:15+00:00,,14,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 12
1285,11291,2026-05-24T20:27:24+00:00,81.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:27:23
1285,11291,2026-05-24T20:27:39+00:00,81.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:27:38
1285,11291,2026-05-24T20:27:44+00:00,77.0,14,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:27:43
1285,11291,2026-05-24T20:27:45+00:00,,14,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1285,11291,2026-05-24T20:27:55+00:00,,14,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1285,11291,2026-05-24T20:27:59+00:00,77.0,15,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 16:27:59
1285,11291,2026-05-24T20:28:37+00:00,,15,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1285,11291,2026-05-24T20:28:42+00:00,,15,Other,,,,,TRACK SURFACE SLIPPERY IN TRACK SECTOR 11
1285,11291,2026-05-24T20:28:49+00:00,,15,Flag,CLEAR,Sector,11.0,,CLEAR IN TRACK SECTOR 11
1285,11291,2026-05-24T20:29:05+00:00,,15,Other,,,,,CAR 63 (RUS) TIME 1:16.804 DELETED - TRACK LIMITS AT TURN 10 LAP 12 16:24:58
1285,11291,2026-05-24T20:29:40+00:00,,16,Flag,CLEAR,Sector,12.0,,CLEAR IN TRACK SECTOR 12
1285,11291,2026-05-24T20:29:48+00:00,81.0,16,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 81 (PIA) TIMED AT 16:29:48
1285,11291,2026-05-24T20:29:58+00:00,,16,Other,,,,,TURN 10 INCIDENT INVOLVING CARS 81 (PIA) AND 23 (ALB) NOTED - CAUSING A COLLISION (16:25:37)
