date,session_key,pressure,humidity,wind_direction,air_temperature,meeting_key,track_temperature,wind_speed,rainfall
2026-05-24T20:08:46.854000+00:00,11291,1024.6,77.4,191,12.3,1285,17.1,1.9,0
2026-05-24T20:09:46.847000+00:00,11291,1024.6,77.0,191,12.5,1285,16.9,2.0,0
2026-05-24T20:10:46.852000+00:00,11291,1024.6,77.0,191,12.2,1285,16.9,2.0,0
2026-05-24T20:11:46.858000+00:00,11291,1024.6,77.0,191,12.2,1285,16.9,2.0,0
2026-05-24T20:12:46.874000+00:00,11291,1024.6,77.0,191,12.1,1285,16.9,2.0,0
2026-05-24T20:13:46.893000+00:00,11291,1024.5,76.6,325,12.5,1285,17.3,1.6,0
2026-05-24T20:14:46.887000+00:00,11291,1024.5,76.6,325,12.4,1285,17.3,1.6,0
2026-05-24T20:15:46.890000+00:00,11291,1024.4,76.3,202,12.3,1285,17.1,3.1,0
2026-05-24T20:16:46.916000+00:00,11291,1024.4,76.3,202,12.2,1285,17.1,3.1,0
2026-05-24T20:17:46.920000+00:00,11291,1024.4,76.3,202,12.2,1285,17.1,3.1,0
2026-05-24T20:18:46.923000+00:00,11291,1024.3,76.0,283,12.5,1285,17.8,1.5,0
2026-05-24T20:19:46.938000+00:00,11291,1024.3,76.0,283,12.6,1285,17.8,1.5,0
2026-05-24T20:20:46.931000+00:00,11291,1024.3,76.0,283,12.3,1285,17.8,1.5,0
2026-05-24T20:21:46.924000+00:00,11291,1024.3,76.0,283,12.4,1285,17.8,1.5,0
2026-05-24T20:22:46.937000+00:00,11291,1024.3,76.0,283,12.4,1285,17.8,1.5,0
2026-05-24T20:23:46.934000+00:00,11291,1024.3,76.0,283,12.5,1285,17.8,1.5,0
2026-05-24T20:24:46.940000+00:00,11291,1024.0,74.4,246,13.1,1285,18.1,1.5,0
2026-05-24T20:25:46.931000+00:00,11291,1023.9,73.4,298,12.7,1285,18.4,1.7,0
2026-05-24T20:26:46.926000+00:00,11291,1023.9,73.4,298,12.6,1285,18.4,1.7,0
2026-05-24T20:27:46.939000+00:00,11291,1023.9,73.1,280,12.9,1285,18.4,1.4,0
