position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,23,False,False,False,79.053,0.0,1279,11229
2,44,22,False,False,False,79.669,0.616,1279,11229
3,16,20,False,False,False,79.827,0.774,1279,11229
4,81,17,False,False,False,80.087,1.034,1279,11229
5,6,15,False,False,False,80.137,1.084,1279,11229
6,3,15,False,False,False,80.197,1.144,1279,11229
7,12,18,False,False,False,80.324,1.271,1279,11229
8,1,22,False,False,False,80.443,1.39,1279,11229
9,5,19,False,False,False,80.459,1.406,1279,11229
10,87,18,False,False,False,80.778,1.725,1279,11229
11,41,15,False,False,False,80.838,1.785,1279,11229
12,30,13,False,False,False,80.89,1.837,1279,11229
13,31,19,False,False,False,80.983,1.93,1279,11229
14,27,22,False,False,False,81.067,2.014,1279,11229
15,10,26,False,False,False,81.071,2.018,1279,11229
16,43,22,False,False,False,81.413,2.36,1279,11229
17,23,17,False,False,False,81.664,2.611,1279,11229
18,14,20,False,False,False,82.72,3.667,1279,11229
19,77,12,False,False,False,83.514,4.461,1279,11229
20,11,21,False,False,False,84.397,5.344,1279,11229
21,55,1,False,False,False,,,1279,11229
