season,meeting_key,meeting_name,session_key,session_name,endpoint,status,row_count,raw_path,staged_path
2026,1279,,11227,Practice 1,drivers,fetched,22.0,2026/1279/11227_FP1/drivers.json,2026/1279/11227_FP1/drivers.csv
2026,1279,,11227,Practice 1,session_result,fetched,21.0,2026/1279/11227_FP1/session_result.json,2026/1279/11227_FP1/session_result.csv
2026,1279,,11227,Practice 1,starting_grid,"failed: Client error '404 Not Found' for url 'https://api.openf1.org/v1/starting_grid?session_key=11227'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,2026/1279/11227_FP1/starting_grid.json,2026/1279/11227_FP1/starting_grid.csv
2026,1279,,11227,Practice 1,weather,fetched,82.0,2026/1279/11227_FP1/weather.json,2026/1279/11227_FP1/weather.csv
2026,1279,,11227,Practice 1,laps,fetched,487.0,2026/1279/11227_FP1/laps.json,2026/1279/11227_FP1/laps.csv
2026,1279,,11227,Practice 1,stints,fetched,83.0,2026/1279/11227_FP1/stints.json,2026/1279/11227_FP1/stints.csv
2026,1279,,11227,Practice 1,pit,fetched,84.0,2026/1279/11227_FP1/pit.json,2026/1279/11227_FP1/pit.csv
2026,1279,,11227,Practice 1,race_control,fetched,45.0,2026/1279/11227_FP1/race_control.json,2026/1279/11227_FP1/race_control.csv
2026,1279,,11228,Practice 2,drivers,fetched,22.0,2026/1279/11228_FP2/drivers.json,2026/1279/11228_FP2/drivers.csv
2026,1279,,11228,Practice 2,session_result,fetched,22.0,2026/1279/11228_FP2/session_result.json,2026/1279/11228_FP2/session_result.csv
2026,1279,,11228,Practice 2,starting_grid,"failed: Client error '404 Not Found' for url 'https://api.openf1.org/v1/starting_grid?session_key=11228'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,2026/1279/11228_FP2/starting_grid.json,2026/1279/11228_FP2/starting_grid.csv
2026,1279,,11228,Practice 2,weather,fetched,79.0,2026/1279/11228_FP2/weather.json,2026/1279/11228_FP2/weather.csv
2026,1279,,11228,Practice 2,laps,fetched,544.0,2026/1279/11228_FP2/laps.json,2026/1279/11228_FP2/laps.csv
2026,1279,,11228,Practice 2,stints,fetched,86.0,2026/1279/11228_FP2/stints.json,2026/1279/11228_FP2/stints.csv
2026,1279,,11228,Practice 2,pit,fetched,86.0,2026/1279/11228_FP2/pit.json,2026/1279/11228_FP2/pit.csv
2026,1279,,11228,Practice 2,race_control,fetched,45.0,2026/1279/11228_FP2/race_control.json,2026/1279/11228_FP2/race_control.csv
2026,1279,,11229,Practice 3,drivers,fetched,22.0,2026/1279/11229_FP3/drivers.json,2026/1279/11229_FP3/drivers.csv
2026,1279,,11229,Practice 3,session_result,fetched,21.0,2026/1279/11229_FP3/session_result.json,2026/1279/11229_FP3/session_result.csv
2026,1279,,11229,Practice 3,starting_grid,"failed: Client error '404 Not Found' for url 'https://api.openf1.org/v1/starting_grid?session_key=11229'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/404",,2026/1279/11229_FP3/starting_grid.json,2026/1279/11229_FP3/starting_grid.csv
2026,1279,,11229,Practice 3,weather,fetched,90.0,2026/1279/11229_FP3/weather.json,2026/1279/11229_FP3/weather.csv
2026,1279,,11229,Practice 3,laps,fetched,377.0,2026/1279/11229_FP3/laps.json,2026/1279/11229_FP3/laps.csv
2026,1279,,11229,Practice 3,stints,fetched,78.0,2026/1279/11229_FP3/stints.json,2026/1279/11229_FP3/stints.csv
