position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,63,58,25.0,False,False,False,4986.801,0,1279,11234
2.0,12,58,18.0,False,False,False,4989.775,2.974,1279,11234
3.0,16,58,15.0,False,False,False,5002.32,15.519,1279,11234
4.0,44,58,12.0,False,False,False,5002.945,16.144,1279,11234
5.0,1,58,10.0,False,False,False,5038.542,51.741,1279,11234
6.0,3,58,8.0,False,False,False,5041.418,54.617,1279,11234
7.0,87,57,6.0,False,False,False,,+1 LAP,1279,11234
8.0,41,57,4.0,False,False,False,,+1 LAP,1279,11234
9.0,5,57,2.0,False,False,False,,+1 LAP,1279,11234
10.0,10,57,1.0,False,False,False,,+1 LAP,1279,11234
11.0,31,57,0.0,False,False,False,,+1 LAP,1279,11234
12.0,23,57,0.0,False,False,False,,+1 LAP,1279,11234
13.0,30,57,0.0,False,False,False,,+1 LAP,1279,11234
14.0,43,56,0.0,False,False,False,,+2 LAPS,1279,11234
15.0,55,56,0.0,False,False,False,,+2 LAPS,1279,11234
16.0,11,55,0.0,False,False,False,,+3 LAPS,1279,11234
,18,43,0.0,False,False,False,,+15 LAPS,1279,11234
,14,21,0.0,True,False,False,,,1279,11234
,77,15,0.0,True,False,False,,,1279,11234
,6,10,0.0,True,False,False,,,1279,11234
,81,0,0.0,False,True,False,,,1279,11234
,27,0,0.0,False,True,False,,,1279,11234
