Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALO,5.0,0 days 00:01:15.760000,MEDIUM,5.0,Aston Martin
ANT,15.0,0 days 00:01:13.033000,SOFT,4.0,Mercedes
BEA,16.0,0 days 00:01:15.197000,MEDIUM,7.0,Haas F1 Team
BOR,13.0,0 days 00:01:14.627000,MEDIUM,6.0,Audi
BOT,5.0,0 days 00:01:16.866000,MEDIUM,5.0,Cadillac
COL,15.0,0 days 00:01:14.702000,MEDIUM,7.0,Alpine
GAS,3.0,0 days 00:01:16.642000,MEDIUM,3.0,Alpine
HAD,14.0,0 days 00:01:13.605000,SOFT,3.0,Red Bull Racing
HAM,22.0,0 days 00:01:13.326000,SOFT,5.0,Ferrari
HUL,13.0,0 days 00:01:14.595000,MEDIUM,6.0,Audi
LEC,18.0,0 days 00:01:13.410000,SOFT,5.0,Ferrari
LIN,18.0,0 days 00:01:13.737000,SOFT,4.0,Racing Bulls
NOR,14.0,0 days 00:01:13.280000,SOFT,4.0,McLaren
OCO,16.0,0 days 00:01:14.928000,MEDIUM,7.0,Haas F1 Team
PER,6.0,0 days 00:01:16.002000,MEDIUM,6.0,Cadillac
PIA,14.0,0 days 00:01:13.299000,SOFT,4.0,McLaren
RUS,18.0,0 days 00:01:12.965000,SOFT,5.0,Mercedes
SAI,23.0,0 days 00:01:14.536000,SOFT,5.0,Williams
STR,5.0,0 days 00:01:16.354000,MEDIUM,5.0,Aston Martin
VER,14.0,0 days 00:01:13.504000,SOFT,4.0,Red Bull Racing
