season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026,5,Canadian Grand Prix,SQ,ALO,Aston Martin,regulations_2026_reset,1.05,6,91.0715,75.76,87.201,22.88199999999999,308.0,19.683333333333334,42.13333333333333,24.016666666666666,False,2.5,180.33333333333334,17.463166666666666,19.0,-0.3052500000000009
2026,5,Canadian Grand Prix,SQ,ANT,Mercedes,regulations_2026_reset,1.05,12,78.3335,73.033,92.65,,320.0,19.875,41.475,24.191666666666666,False,1.375,149.5,4.7251666666666665,12.0,2.0276666666666614
2026,5,Canadian Grand Prix,SQ,BEA,Haas F1 Team,regulations_2026_reset,1.05,13,79.41200000000002,75.197,89.39183333333334,-0.13499999999999943,321.0,19.876923076923074,41.861538461538466,24.192307692307693,False,1.7076923076923076,175.23076923076923,5.803666666666686,15.0,0.7840833333333421
2026,5,Canadian Grand Prix,SQ,BOR,Audi,regulations_2026_reset,1.05,11,78.57333333333332,74.627,84.481,-0.5870000000000033,324.0,19.845454545454547,41.82727272727273,24.59090909090909,False,1.6818181818181814,161.9090909090909,4.964999999999989,14.0,0.10599999999999454
2026,5,Canadian Grand Prix,SQ,BOT,Cadillac,regulations_2026_reset,1.05,6,88.95800000000001,76.866,86.8565,19.980999999999995,311.0,19.633333333333336,42.11666666666667,24.100000000000005,False,2.566666666666667,179.83333333333334,15.349666666666678,18.0,2.1070000000000135
2026,5,Canadian Grand Prix,SQ,COL,Alpine,regulations_2026_reset,1.05,12,77.84433333333332,74.702,84.04459999999999,-0.19549999999999912,316.0,19.883333333333333,41.875,24.291666666666668,False,1.6333333333333335,170.91666666666666,4.23599999999999,11.0,-4.723166666666671
2026,5,Canadian Grand Prix,SQ,GAS,Alpine,regulations_2026_reset,1.05,6,87.29066666666667,76.642,82.7955,12.235,313.0,19.733333333333334,42.11666666666667,23.983333333333334,False,2.2166666666666663,177.66666666666666,13.682333333333332,17.0,4.723166666666671
2026,5,Canadian Grand Prix,SQ,HAD,Red Bull Racing,regulations_2026_reset,1.05,14,74.4495,73.605,87.7955,-27.522999999999996,318.0,19.892857142857142,41.48571428571428,24.49285714285714,False,1.3785714285714283,158.42857142857142,0.8411666666666662,4.0,-0.7060000000000031
2026,5,Canadian Grand Prix,SQ,HAM,Ferrari,regulations_2026_reset,1.05,18,73.60833333333333,73.326,80.68014285714287,-0.09933333333333394,330.0,19.87222222222222,41.56111111111111,24.577777777777776,False,1.4333333333333333,161.88888888888889,0.0,1.0,-1.3137499999999989
2026,5,Canadian Grand Prix,SQ,HUL,Audi,regulations_2026_reset,1.05,11,78.36133333333332,74.595,81.98933333333333,-0.5390000000000015,323.0,19.863636363636363,41.86363636363637,24.5,False,1.7727272727272727,167.0909090909091,4.752999999999986,13.0,-0.10600000000000875
2026,5,Canadian Grand Prix,SQ,LEC,Ferrari,regulations_2026_reset,1.05,16,76.23583333333333,73.41,83.59100000000001,-7.306000000000002,322.0,19.8875,41.59375,24.59375,False,1.51875,154.625,2.6274999999999977,8.0,1.3137499999999989
2026,5,Canadian Grand Prix,SQ,LIN,Racing Bulls,regulations_2026_reset,1.05,16,74.33366666666666,73.737,87.765,0.8340000000000032,330.0,19.89375,41.55,24.175000000000004,False,1.53125,177.875,0.7253333333333245,3.0,0.0
2026,5,Canadian Grand Prix,SQ,NOR,McLaren,regulations_2026_reset,1.05,12,77.33716666666668,73.28,88.8415,29.153000000000006,317.0,19.833333333333336,41.56666666666667,24.141666666666666,False,1.7249999999999999,178.5,3.728833333333341,9.0,0.6382499999999993
2026,5,Canadian Grand Prix,SQ,OCO,Haas F1 Team,regulations_2026_reset,1.05,14,77.84383333333334,74.928,85.44066666666667,-0.16640000000000157,318.0,19.87142857142857,41.87857142857143,24.349999999999998,False,1.6714285714285715,160.78571428571428,4.235500000000002,10.0,-0.7840833333333421
2026,5,Canadian Grand Prix,SQ,PER,Cadillac,regulations_2026_reset,1.05,6,84.744,76.002,87.017,-22.03,312.0,19.683333333333334,42.1,24.166666666666668,False,2.5500000000000003,182.0,11.135666666666665,16.0,-2.1069999999999993
2026,5,Canadian Grand Prix,SQ,PIA,McLaren,regulations_2026_reset,1.05,12,76.06066666666668,73.299,74.665,,314.0,19.858333333333334,41.541666666666664,24.391666666666666,False,1.4416666666666667,159.91666666666666,2.4523333333333426,7.0,-0.6382499999999993
2026,5,Canadian Grand Prix,SQ,RUS,Mercedes,regulations_2026_reset,1.05,16,74.27816666666666,72.965,89.6396,2.082250000000002,321.0,19.925000000000004,41.43125,24.55,False,1.31875,164.4375,0.6698333333333295,2.0,-2.0276666666666756
2026,5,Canadian Grand Prix,SQ,SAI,Williams,regulations_2026_reset,1.05,19,74.88916666666667,74.536,83.59757142857143,-3.8200000000000003,326.0,19.915789473684214,41.56842105263158,24.33684210526316,False,1.4578947368421051,168.73684210526315,1.2808333333333337,5.0,0.0
2026,5,Canadian Grand Prix,SQ,STR,Aston Martin,regulations_2026_reset,1.05,6,91.682,76.354,87.0835,21.459000000000003,309.0,19.683333333333334,42.13333333333333,24.016666666666666,False,2.5,180.33333333333334,18.073666666666668,20.0,0.3052500000000009
2026,5,Canadian Grand Prix,SQ,VER,Red Bull Racing,regulations_2026_reset,1.05,12,75.8615,73.504,101.216,,319.0,19.89166666666667,41.475,24.149999999999995,False,1.5166666666666666,181.08333333333334,2.2531666666666723,6.0,0.7060000000000031
