date,session_key,pit_duration,lane_duration,meeting_key,lap_number,driver_number,stop_duration
2026-05-02T20:00:03.622000+00:00,11276,,,1284,1,77,
2026-05-02T20:00:08.115000+00:00,11276,,,1284,1,11,
2026-05-02T20:00:16.723000+00:00,11276,,,1284,1,87,
2026-05-02T20:00:23.107000+00:00,11276,,,1284,1,41,
2026-05-02T20:00:26.599000+00:00,11276,,,1284,1,18,
2026-05-02T20:00:32.947000+00:00,11276,,,1284,1,31,
2026-05-02T20:00:41.868000+00:00,11276,,,1284,1,14,
2026-05-02T20:00:47.054000+00:00,11276,,,1284,1,30,
2026-05-02T20:00:53.254000+00:00,11276,,,1284,1,23,
2026-05-02T20:01:00.515000+00:00,11276,,,1284,1,55,
2026-05-02T20:01:11.359000+00:00,11276,,,1284,1,27,
2026-05-02T20:01:16.515000+00:00,11276,,,1284,1,6,
2026-05-02T20:01:24.068000+00:00,11276,,,1284,1,3,
2026-05-02T20:01:31.922000+00:00,11276,,,1284,1,16,
2026-05-02T20:01:46.043000+00:00,11276,,,1284,1,44,
2026-05-02T20:02:01.512000+00:00,11276,,,1284,1,1,
2026-05-02T20:02:08.558000+00:00,11276,,,1284,1,10,
2026-05-02T20:02:12.980000+00:00,11276,,,1284,1,43,
2026-05-02T20:04:12.422000+00:00,11276,,,1284,1,81,
2026-05-02T20:04:19.572000+00:00,11276,,,1284,1,12,
2026-05-02T20:04:28.693000+00:00,11276,,,1284,1,63,
2026-05-02T20:06:02.214000+00:00,11276,31.0,31.0,1284,4,41,
2026-05-02T20:06:12.089000+00:00,11276,117.7,117.7,1284,3,30,
2026-05-02T20:06:46.025000+00:00,11276,29.8,29.8,1284,4,23,
2026-05-02T20:07:02.059000+00:00,11276,66.5,66.5,1284,4,31,
2026-05-02T20:07:04.512000+00:00,11276,32.3,32.3,1284,4,55,
2026-05-02T20:07:10.778000+00:00,11276,102.0,102.0,1284,4,87,
2026-05-02T20:07:22.747000+00:00,11276,100.6,100.6,1284,4,18,
2026-05-02T20:07:27.684000+00:00,11276,75.3,75.3,1284,4,27,
2026-05-02T20:07:28.762000+00:00,11276,96.6,96.6,1284,4,14,
2026-05-02T20:07:33.262000+00:00,11276,130.4,130.4,1284,4,11,
2026-05-02T20:07:43.887000+00:00,11276,151.9,151.9,1284,4,77,
2026-05-02T20:08:20.731000+00:00,11276,154.0,154.0,1284,3,10,
2026-05-02T20:08:22.954000+00:00,11276,153.0,153.0,1284,3,43,
2026-05-02T20:08:42.512000+00:00,11276,128.1,128.1,1284,4,6,
2026-05-02T20:08:52.860000+00:00,11276,114.4,114.4,1284,4,16,
2026-05-02T20:09:14.822000+00:00,11276,121.4,121.4,1284,4,44,
2026-05-02T20:11:46.089000+00:00,11276,260.1,260.1,1284,4,1,
2026-05-02T20:11:56.720000+00:00,11276,145.6,145.6,1284,4,81,
2026-05-02T20:12:17.990000+00:00,11276,146.5,146.5,1284,4,63,
2026-05-02T20:12:31.423000+00:00,11276,172.2,172.2,1284,4,12,
2026-05-02T20:14:17.751000+00:00,11276,148.0,148.0,1284,7,23,
2026-05-02T20:14:21.706000+00:00,11276,176.3,176.3,1284,6,30,
2026-05-02T20:14:26.123000+00:00,11276,121.5,121.5,1284,7,55,
2026-05-02T20:14:30.655000+00:00,11276,,,1284,1,5,
2026-05-02T20:14:42.372000+00:00,11276,144.0,144.0,1284,7,31,
2026-05-02T20:14:46.443000+00:00,11276,134.9,134.9,1284,7,18,
2026-05-02T20:14:59.441000+00:00,11276,232.5,232.5,1284,7,41,
2026-05-02T20:15:05.284000+00:00,11276,137.8,137.8,1284,7,14,
2026-05-02T20:15:18.597000+00:00,11276,157.6,157.6,1284,7,27,
2026-05-02T20:15:22.615000+00:00,11276,141.6,141.6,1284,7,11,
2026-05-02T20:15:25.816000+00:00,11276,142.2,142.2,1284,7,77,
2026-05-02T20:29:03.166000+00:00,11276,581.0,581.0,1284,10,6,
2026-05-02T20:29:11.291000+00:00,11276,1355.5,1355.5,1284,4,3,
2026-05-02T20:29:23.447000+00:00,11276,614.8,614.8,1284,9,27,
2026-05-02T20:29:31.916000+00:00,11276,559.8,559.8,1284,10,55,
2026-05-02T20:29:35.650000+00:00,11276,588.8,588.8,1284,10,23,
2026-05-02T20:29:45.603000+00:00,11276,577.4,577.4,1284,10,16,
2026-05-02T20:29:53.072000+00:00,11276,557.3,557.3,1284,10,44,
2026-05-02T20:29:57.820000+00:00,11276,587.4,587.4,1284,10,31,
2026-05-02T20:30:02.622000+00:00,11276,1046.2,1046.2,1284,7,87,
2026-05-02T20:30:14.196000+00:00,11276,766.5,766.5,1284,7,1,
2026-05-02T20:30:17.529000+00:00,11276,645.7,645.7,1284,9,10,
2026-05-02T20:30:25.022000+00:00,11276,643.9,643.9,1284,9,43,
2026-05-02T20:30:37.549000+00:00,11276,642.7,642.7,1284,9,30,
2026-05-02T20:30:45.158000+00:00,11276,587.8,587.8,1284,9,81,
2026-05-02T20:30:58.721000+00:00,11276,794.6,794.6,1284,7,12,
2026-05-02T20:31:09.174000+00:00,11276,817.5,817.5,1284,7,63,
2026-05-02T20:35:28.863000+00:00,11276,97.7,97.7,1284,9,1,
2026-05-02T20:39:19.427000+00:00,11276,179.4,179.4,1284,10,12,
2026-05-02T20:39:26.188000+00:00,11276,171.1,171.1,1284,10,63,
2026-05-02T20:39:29.220000+00:00,11276,210.2,210.2,1284,12,10,
2026-05-02T20:39:31.173000+00:00,11276,210.3,210.3,1284,12,43,
2026-05-02T20:39:34.205000+00:00,11276,289.4,289.4,1284,13,55,
2026-05-02T20:39:58.073000+00:00,11276,344.8,344.8,1284,13,6,
2026-05-02T20:40:09.326000+00:00,11276,355.2,355.2,1284,7,3,
2026-05-02T20:40:14.654000+00:00,11276,309.4,309.4,1284,13,16,
2026-05-02T20:40:27.354000+00:00,11276,354.1,354.1,1284,12,27,
2026-05-02T20:40:34.947000+00:00,11276,268.8,268.8,1284,12,30,
2026-05-02T20:40:39.689000+00:00,11276,264.2,264.2,1284,12,81,
2026-05-02T20:40:52.437000+00:00,11276,340.3,340.3,1284,13,44,
2026-05-02T20:41:00.091000+00:00,11276,333.5,333.5,1284,13,31,
2026-05-02T20:41:04.744000+00:00,11276,335.8,335.8,1284,10,87,
2026-05-02T20:41:20.471000+00:00,11276,386.3,386.3,1284,13,23,
2026-05-02T20:52:26.703000+00:00,11276,381.0,381.0,1284,15,81,
2026-05-02T20:52:30.532000+00:00,11276,371.1,371.1,1284,15,1,
2026-05-02T20:52:32.920000+00:00,11276,437.7,437.7,1284,16,6,
2026-05-02T20:52:44.342000+00:00,11276,450.9,450.9,1284,10,3,
2026-05-02T20:52:57.920000+00:00,11276,435.1,435.1,1284,16,16,
2026-05-02T20:53:12.195000+00:00,11276,418.0,418.0,1284,16,44,
2026-05-02T20:53:24.305000+00:00,11276,503.8,503.8,1284,15,10,
2026-05-02T20:53:26.769000+00:00,11276,502.6,502.6,1284,15,43,
2026-05-02T20:53:31.844000+00:00,11276,546.5,546.5,1284,13,12,
2026-05-02T20:53:44.734000+00:00,11276,551.2,551.2,1284,13,63,
2026-05-02T21:00:39.373000+00:00,11276,104.4,104.4,1284,16,63,
2026-05-02T21:00:43.139000+00:00,11276,118.2,118.2,1284,16,12,
2026-05-02T21:00:46.497000+00:00,11276,188.9,188.9,1284,18,81,
2026-05-02T21:00:49.215000+00:00,11276,178.7,178.7,1284,18,1,
2026-05-02T21:00:52.839000+00:00,11276,151.3,151.3,1284,19,16,
2026-05-02T21:01:17.882000+00:00,11276,167.9,167.9,1284,19,44,
2026-05-02T21:01:24.345000+00:00,11276,162.6,162.6,1284,18,10,
2026-05-02T21:01:30.332000+00:00,11276,167.4,167.4,1284,18,43,
2026-05-02T21:01:40.489000+00:00,11276,224.9,224.9,1284,19,6,
2026-05-02T21:02:00.990000+00:00,11276,241.6,241.6,1284,13,3,
