date,session_key,meeting_key,pressure,air_temperature,humidity,track_temperature,wind_speed,rainfall,wind_direction
2026-06-05T15:10:13.473000+00:00,11293,1286,1011.8,24.0,59.7,30.8,1.2,0,180
2026-06-05T15:11:13.472000+00:00,11293,1286,1011.7,24.0,58.7,30.7,1.3,0,210
2026-06-05T15:12:13.463000+00:00,11293,1286,1011.8,23.8,58.8,31.1,2.8,0,210
2026-06-05T15:13:13.472000+00:00,11293,1286,1011.8,23.8,58.8,31.1,2.8,0,210
2026-06-05T15:14:13.462000+00:00,11293,1286,1011.8,23.7,58.8,31.1,2.8,0,210
2026-06-05T15:15:13.475000+00:00,11293,1286,1011.7,23.6,58.7,30.8,0.9,0,161
2026-06-05T15:16:13.476000+00:00,11293,1286,1011.7,23.5,60.1,30.8,2.3,0,212
2026-06-05T15:17:13.463000+00:00,11293,1286,1011.7,23.2,60.7,30.9,1.3,0,194
2026-06-05T15:18:13.465000+00:00,11293,1286,1011.7,23.3,60.1,31.0,0.0,0,0
2026-06-05T15:19:13.478000+00:00,11293,1286,1011.7,23.3,60.1,30.8,0.9,0,192
2026-06-05T15:20:13.478000+00:00,11293,1286,1011.7,23.1,60.3,30.5,0.6,0,297
2026-06-05T15:21:13.483000+00:00,11293,1286,1011.7,22.9,60.9,30.2,0.7,0,307
2026-06-05T15:22:13.480000+00:00,11293,1286,1011.8,22.9,61.1,30.0,1.6,0,282
2026-06-05T15:23:13.487000+00:00,11293,1286,1011.8,23.2,61.1,30.0,1.6,0,282
2026-06-05T15:24:13.482000+00:00,11293,1286,1011.7,23.2,61.0,30.5,0.9,0,178
2026-06-05T15:25:13.481000+00:00,11293,1286,1011.7,23.2,60.7,30.5,1.0,0,205
2026-06-05T15:26:13.485000+00:00,11293,1286,1011.7,23.2,60.7,30.5,1.0,0,205
2026-06-05T15:27:13.487000+00:00,11293,1286,1011.7,23.2,61.1,30.8,0.4,0,232
2026-06-05T15:28:13.509000+00:00,11293,1286,1011.7,23.1,60.8,30.3,1.1,0,223
2026-06-05T15:29:13.486000+00:00,11293,1286,1011.8,22.9,61.5,30.6,0.5,0,179
2026-06-05T15:30:13.485000+00:00,11293,1286,1011.7,23.2,59.9,30.7,0.6,0,170
2026-06-05T15:31:13.491000+00:00,11293,1286,1011.7,22.8,59.9,30.7,0.6,0,170
2026-06-05T15:32:13.476000+00:00,11293,1286,1011.7,23.1,57.9,30.6,1.5,0,225
2026-06-05T15:33:13.488000+00:00,11293,1286,1011.8,23.1,57.7,30.8,1.0,0,187
2026-06-05T15:34:13.486000+00:00,11293,1286,1011.7,23.3,58.6,30.5,1.0,0,149
2026-06-05T15:35:13.524000+00:00,11293,1286,1011.7,22.6,58.6,30.5,1.0,0,149
2026-06-05T15:36:13.492000+00:00,11293,1286,1011.8,23.1,59.8,30.3,2.7,0,201
2026-06-05T15:37:13.490000+00:00,11293,1286,1011.7,23.5,59.3,29.9,1.1,0,180
2026-06-05T15:38:13.491000+00:00,11293,1286,1011.7,23.2,59.9,29.9,0.9,0,170
2026-06-05T15:39:13.490000+00:00,11293,1286,1011.7,23.0,59.9,29.9,0.9,0,170
2026-06-05T15:40:13.492000+00:00,11293,1286,1011.6,23.3,59.5,30.0,0.8,1,224
2026-06-05T15:41:13.491000+00:00,11293,1286,1011.6,23.1,59.5,30.0,0.8,1,224
2026-06-05T15:42:13.494000+00:00,11293,1286,1011.7,23.1,60.0,29.8,2.1,0,205
2026-06-05T15:43:13.491000+00:00,11293,1286,1011.8,23.1,59.7,29.1,2.3,0,240
2026-06-05T15:44:13.491000+00:00,11293,1286,1011.7,23.1,60.7,29.6,0.4,0,232
2026-06-05T15:45:13.494000+00:00,11293,1286,1011.7,23.0,60.3,29.7,2.1,0,200
2026-06-05T15:46:13.493000+00:00,11293,1286,1011.7,23.1,59.5,29.4,0.5,0,193
2026-06-05T15:47:13.493000+00:00,11293,1286,1011.7,23.1,60.1,29.4,0.6,0,251
2026-06-05T15:48:13.495000+00:00,11293,1286,1011.6,23.0,60.6,29.5,1.0,0,160
2026-06-05T15:49:13.494000+00:00,11293,1286,1011.7,23.1,60.4,29.3,0.7,1,229
2026-06-05T15:50:13.500000+00:00,11293,1286,1011.7,23.1,59.8,29.4,1.1,0,184
2026-06-05T15:51:13.504000+00:00,11293,1286,1011.8,23.3,60.0,29.1,1.0,0,242
2026-06-05T15:52:13.482000+00:00,11293,1286,1011.8,23.0,61.2,29.3,0.8,0,198
2026-06-05T15:53:13.505000+00:00,11293,1286,1011.8,23.1,61.4,29.0,0.7,0,138
2026-06-05T15:54:13.503000+00:00,11293,1286,1011.7,23.0,61.4,29.2,1.2,0,195
2026-06-05T15:55:13.511000+00:00,11293,1286,1011.7,23.0,61.6,29.2,0.6,1,146
2026-06-05T15:56:13.498000+00:00,11293,1286,1011.7,23.0,61.2,29.0,1.3,0,185
2026-06-05T15:57:13.509000+00:00,11293,1286,1011.7,23.0,60.9,28.8,0.0,1,0
2026-06-05T15:58:13.509000+00:00,11293,1286,1011.7,22.8,61.7,28.7,0.4,0,177
2026-06-05T15:59:13.503000+00:00,11293,1286,1011.8,22.5,62.7,28.8,0.3,0,186
2026-06-05T16:00:13.511000+00:00,11293,1286,1011.7,22.4,63.4,28.1,0.4,0,2
2026-06-05T16:01:13.511000+00:00,11293,1286,1011.7,22.3,65.4,28.5,1.3,0,188
2026-06-05T16:02:13.511000+00:00,11293,1286,1011.7,22.3,65.4,28.5,1.3,0,188
2026-06-05T16:03:13.503000+00:00,11293,1286,1011.7,22.5,63.5,28.5,0.9,0,209
2026-06-05T16:04:13.512000+00:00,11293,1286,1011.7,22.6,62.8,28.6,0.6,0,241
2026-06-05T16:05:13.514000+00:00,11293,1286,1011.7,22.6,62.8,28.6,0.6,0,241
2026-06-05T16:06:13.514000+00:00,11293,1286,1011.8,22.6,63.3,28.3,0.5,0,185
2026-06-05T16:07:13.515000+00:00,11293,1286,1011.7,22.5,64.6,28.8,0.5,0,161
