date,session_key,meeting_key,pressure,air_temperature,humidity,track_temperature,wind_speed,rainfall,wind_direction
2026-06-05T14:48:13.328000+00:00,11293,1286,1011.6,23.3,63.5,32.2,0.8,0,8
2026-06-05T14:49:13.328000+00:00,11293,1286,1011.5,23.5,63.5,32.1,1.2,1,10
2026-06-05T14:50:13.330000+00:00,11293,1286,1011.6,23.5,63.1,32.1,0.3,0,17
2026-06-05T14:51:13.344000+00:00,11293,1286,1011.5,23.5,63.4,31.5,0.9,0,329
2026-06-05T14:52:13.363000+00:00,11293,1286,1011.6,23.6,63.9,32.0,0.8,0,37
2026-06-05T14:53:13.364000+00:00,11293,1286,1011.6,23.5,63.5,31.0,1.1,0,328
2026-06-05T14:54:13.374000+00:00,11293,1286,1011.7,23.4,64.3,30.9,1.4,0,326
2026-06-05T14:55:13.374000+00:00,11293,1286,1011.6,23.3,65.0,31.5,0.6,0,335
2026-06-05T14:56:13.375000+00:00,11293,1286,1011.5,23.2,66.4,31.5,0.9,0,12
2026-06-05T14:57:13.379000+00:00,11293,1286,1011.7,23.3,65.9,31.4,0.7,0,9
2026-06-05T14:58:13.379000+00:00,11293,1286,1011.7,23.3,64.9,31.5,0.6,0,4
2026-06-05T14:59:13.381000+00:00,11293,1286,1011.7,23.1,65.3,31.5,0.5,0,125
2026-06-05T15:00:13.403000+00:00,11293,1286,1011.6,23.1,64.8,31.6,0.3,0,327
2026-06-05T15:01:13.415000+00:00,11293,1286,1011.7,23.1,65.1,31.5,0.8,0,159
2026-06-05T15:02:13.423000+00:00,11293,1286,1011.6,23.1,63.9,30.6,1.8,0,236
2026-06-05T15:03:13.452000+00:00,11293,1286,1011.6,23.0,64.6,30.8,0.9,0,240
2026-06-05T15:04:13.459000+00:00,11293,1286,1011.6,23.8,64.6,30.8,0.9,0,240
2026-06-05T15:05:13.458000+00:00,11293,1286,1011.7,23.3,64.0,31.5,1.9,0,200
2026-06-05T15:06:13.475000+00:00,11293,1286,1011.6,23.5,62.0,31.1,1.3,0,199
2026-06-05T15:07:13.472000+00:00,11293,1286,1011.7,23.6,61.4,30.9,1.2,1,178
2026-06-05T15:08:13.477000+00:00,11293,1286,1011.7,23.8,60.5,30.7,0.7,0,159
2026-06-05T15:09:13.460000+00:00,11293,1286,1011.7,23.9,60.1,30.7,0.9,0,177
