position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,44,36,False,False,False,73.026,0.0,1286,11293
2,16,36,False,False,False,73.137,0.111,1286,11293
3,3,35,False,False,False,73.194,0.168,1286,11293
4,63,35,False,False,False,73.405,0.379,1286,11293
5,12,35,False,False,False,73.529,0.503,1286,11293
6,6,24,False,False,False,74.087,1.061,1286,11293
7,81,31,False,False,False,74.088,1.062,1286,11293
8,27,34,False,False,False,74.094,1.068,1286,11293
9,5,35,False,False,False,74.359,1.333,1286,11293
10,87,37,False,False,False,74.456,1.43,1286,11293
11,10,37,False,False,False,74.497,1.471,1286,11293
12,55,34,False,False,False,74.512,1.486,1286,11293
13,23,39,False,False,False,74.6,1.574,1286,11293
14,41,37,False,False,False,74.748,1.722,1286,11293
15,43,31,False,False,False,74.758,1.732,1286,11293
16,30,36,False,False,False,74.785,1.759,1286,11293
17,31,35,False,False,False,74.845,1.819,1286,11293
18,11,31,False,False,False,75.116,2.09,1286,11293
19,1,8,False,False,False,75.274,2.248,1286,11293
20,14,30,False,False,False,75.294,2.268,1286,11293
21,77,28,False,False,False,75.759,2.733,1286,11293
22,18,27,False,False,False,76.174,3.148,1286,11293
