position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,29,False,False,False,92.741,0.0,1280,11235
2,12,30,False,False,False,92.861,0.12,1280,11235
3,1,29,False,False,False,93.296,0.555,1280,11235
4,81,28,False,False,False,93.472,0.731,1280,11235
5,16,28,False,False,False,93.599,0.858,1280,11235
6,44,26,False,False,False,94.129,1.388,1280,11235
7,87,28,False,False,False,94.426,1.685,1280,11235
8,3,24,False,False,False,94.541,1.8,1280,11235
9,27,27,False,False,False,94.639,1.898,1280,11235
10,10,28,False,False,False,94.676,1.935,1280,11235
11,30,29,False,False,False,94.773,2.032,1280,11235
12,5,26,False,False,False,94.828,2.087,1280,11235
13,6,26,False,False,False,94.856,2.115,1280,11235
14,31,25,False,False,False,94.877,2.136,1280,11235
15,43,26,False,False,False,94.947,2.206,1280,11235
16,23,31,False,False,False,95.48,2.739,1280,11235
17,55,18,False,False,False,95.679,2.938,1280,11235
18,14,18,False,False,False,95.856,3.115,1280,11235
19,77,25,False,False,False,96.057,3.316,1280,11235
20,18,20,False,False,False,97.224,4.483,1280,11235
21,41,6,False,False,False,97.896,5.155,1280,11235
22,11,13,False,False,False,99.2,6.459,1280,11235
