date,session_key,lap_number,driver_number,stop_duration,lane_duration,pit_duration,meeting_key
2026-03-28T02:30:26.542000+00:00,11248,1,43,,,,1281
2026-03-28T02:33:12.709000+00:00,11248,1,10,,,,1281
2026-03-28T02:33:51.698000+00:00,11248,1,11,,,,1281
2026-03-28T02:35:08.619000+00:00,11248,1,44,,,,1281
2026-03-28T02:36:01.175000+00:00,11248,1,77,,,,1281
2026-03-28T02:36:04.116000+00:00,11248,1,18,,,,1281
2026-03-28T02:37:11.250000+00:00,11248,1,87,,,,1281
2026-03-28T02:37:36.414000+00:00,11248,1,31,,,,1281
2026-03-28T02:40:02.976000+00:00,11248,1,27,,,,1281
2026-03-28T02:40:15.342000+00:00,11248,1,14,,,,1281
2026-03-28T02:40:25.422000+00:00,11248,1,55,,,,1281
2026-03-28T02:40:38.784000+00:00,11248,1,41,,,,1281
2026-03-28T02:41:36.425000+00:00,11248,1,5,,,,1281
2026-03-28T02:41:56.916000+00:00,11248,4,77,,28.4,28.4,1281
2026-03-28T02:42:29.485000+00:00,11248,1,16,,,,1281
2026-03-28T02:43:46.277000+00:00,11248,4,31,,45.6,45.6,1281
2026-03-28T02:44:29.460000+00:00,11248,1,12,,,,1281
2026-03-28T02:44:47.585000+00:00,11248,1,30,,,,1281
2026-03-28T02:45:12.654000+00:00,11248,8,43,,46.8,46.8,1281
2026-03-28T02:45:15.769000+00:00,11248,1,81,,,,1281
2026-03-28T02:46:35.809000+00:00,11248,1,63,,,,1281
2026-03-28T02:48:20.156000+00:00,11248,1,6,,,,1281
2026-03-28T02:48:27.100000+00:00,11248,1,23,,,,1281
2026-03-28T02:48:38.566000+00:00,11248,1,3,,,,1281
2026-03-28T02:50:44.584000+00:00,11248,4,12,,56.7,56.7,1281
2026-03-28T02:51:07.556000+00:00,11248,6,5,,28.6,28.6,1281
2026-03-28T02:51:34.270000+00:00,11248,6,44,,378.4,378.4,1281
2026-03-28T02:51:55.223000+00:00,11248,7,55,,26.1,26.1,1281
2026-03-28T02:52:58.584000+00:00,11248,4,63,,20.4,20.4,1281
2026-03-28T02:54:32.647000+00:00,11248,4,3,,26.4,26.4,1281
2026-03-28T02:55:48.273000+00:00,11248,10,87,,21.3,21.3,1281
2026-03-28T02:56:09.439000+00:00,11248,9,41,,22.4,22.4,1281
2026-03-28T02:56:34.940000+00:00,11248,7,77,,525.5,525.5,1281
2026-03-28T02:56:39.107000+00:00,11248,8,16,,37.5,37.5,1281
