position,driver_number,lap_duration,meeting_key,session_key
1,63,78.518,1279,11230
2,12,78.811,1279,11230
3,6,79.303,1279,11230
4,16,79.327,1279,11230
5,81,79.38,1279,11230
6,1,79.475,1279,11230
7,44,79.478,1279,11230
8,30,79.994,1279,11230
9,41,81.247,1279,11230
10,5,,1279,11230
11,27,80.303,1279,11230
12,87,80.311,1279,11230
13,31,80.491,1279,11230
14,10,80.501,1279,11230
15,23,80.941,1279,11230
16,43,81.27,1279,11230
17,14,81.969,1279,11230
18,11,82.605,1279,11230
19,77,83.244,1279,11230
20,3,,1279,11230
21,55,,1279,11230
22,18,,1279,11230
