position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,63,22,False,False,False,"[79.507, 78.934, 78.518]","[0.0, 0.0, 0.0]",1279,11230
2,12,18,False,False,False,"[80.12, 79.435, 78.811]","[0.613, 0.501, 0.293]",1279,11230
3,6,19,False,False,False,"[80.023, 79.653, 79.303]","[0.516, 0.719, 0.785]",1279,11230
4,16,24,False,False,False,"[80.226, 79.357, 79.327]","[0.719, 0.423, 0.809]",1279,11230
5,81,26,False,False,False,"[79.664, 79.525, 79.38]","[0.157, 0.591, 0.862]",1279,11230
6,1,26,False,False,False,"[80.01, 79.882, 79.475]","[0.503, 0.948, 0.957]",1279,11230
7,44,25,False,False,False,"[79.811, 79.921, 79.478]","[0.304, 0.987, 0.96]",1279,11230
8,30,24,False,False,False,"[80.491, 80.144, 79.994]","[0.984, 1.21, 1.476]",1279,11230
9,41,25,False,False,False,"[80.409, 79.971, 81.247]","[0.902, 1.037, 2.729]",1279,11230
10,5,14,False,False,False,"[80.495, 80.221, None]","[0.988, 1.287, None]",1279,11230
11,27,18,False,False,False,"[81.024, 80.303, None]","[1.517, 1.369, None]",1279,11230
12,87,18,False,False,False,"[81.247, 80.311, None]","[1.74, 1.377, None]",1279,11230
13,31,18,False,False,False,"[80.759, 80.491, None]","[1.252, 1.557, None]",1279,11230
14,10,18,False,False,False,"[81.138, 80.501, None]","[1.631, 1.567, None]",1279,11230
15,23,19,False,False,False,"[81.051, 80.941, None]","[1.544, 2.007, None]",1279,11230
16,43,18,False,False,False,"[81.2, 81.27, None]","[1.693, 2.336, None]",1279,11230
17,14,10,False,False,False,"[81.969, None, None]","[2.462, None, None]",1279,11230
18,11,7,False,False,False,"[82.605, None, None]","[3.098, None, None]",1279,11230
19,77,8,False,False,False,"[83.244, None, None]","[3.737, None, None]",1279,11230
