date,session_key,driver_number,meeting_key,pit_duration,lap_number,stop_duration,lane_duration
2026-03-07T05:00:03.148000+00:00,11230,27,1279,,1,,
2026-03-07T05:00:07.445000+00:00,11230,23,1279,,1,,
2026-03-07T05:00:11.976000+00:00,11230,31,1279,,1,,
2026-03-07T05:00:16.210000+00:00,11230,87,1279,,1,,
2026-03-07T05:00:25.789000+00:00,11230,43,1279,,1,,
2026-03-07T05:00:36.320000+00:00,11230,5,1279,,1,,
2026-03-07T05:00:43.617000+00:00,11230,10,1279,,1,,
2026-03-07T05:00:50.226000+00:00,11230,41,1279,,1,,
2026-03-07T05:00:59.195000+00:00,11230,30,1279,,1,,
2026-03-07T05:01:07.086000+00:00,11230,14,1279,,1,,
2026-03-07T05:01:18.748000+00:00,11230,11,1279,,1,,
2026-03-07T05:01:25.889000+00:00,11230,77,1279,,1,,
2026-03-07T05:01:31.875000+00:00,11230,1,1279,,1,,
2026-03-07T05:01:42.073000+00:00,11230,81,1279,,1,,
2026-03-07T05:01:59.970000+00:00,11230,44,1279,,1,,
2026-03-07T05:03:47.760000+00:00,11230,63,1279,,1,,
2026-03-07T05:03:56.609000+00:00,11230,16,1279,,1,,
2026-03-07T05:04:36.518000+00:00,11230,6,1279,,1,,
2026-03-07T05:08:24.046000+00:00,11230,77,1279,127.4,4,,127.4
2026-03-07T05:08:31.873000+00:00,11230,3,1279,,1,,
2026-03-07T05:09:00.765000+00:00,11230,63,1279,17.1,4,,17.1
2026-03-07T05:09:08.703000+00:00,11230,11,1279,174.4,4,,174.4
2026-03-07T05:09:18.578000+00:00,11230,23,1279,69.2,6,,69.2
2026-03-07T05:19:05.865000+00:00,11230,1,1279,,7,,
2026-03-07T05:19:09.633000+00:00,11230,41,1279,,7,,
2026-03-07T05:19:17.972000+00:00,11230,30,1279,596.7,6,,596.7
2026-03-07T05:19:25.187000+00:00,11230,81,1279,,7,,
2026-03-07T05:19:30.986000+00:00,11230,63,1279,647.2,5,,647.2
2026-03-07T05:19:36.221000+00:00,11230,31,1279,678.0,6,,678.0
2026-03-07T05:19:45.538000+00:00,11230,87,1279,681.9,6,,681.9
2026-03-07T05:19:54.274000+00:00,11230,23,1279,704.9,7,,704.9
2026-03-07T05:20:07.952000+00:00,11230,14,1279,659.7,6,,659.7
2026-03-07T05:20:14.391000+00:00,11230,44,1279,,7,,
2026-03-07T05:20:25.318000+00:00,11230,12,1279,,1,,
2026-03-07T05:20:33.255000+00:00,11230,16,1279,,6,,
2026-03-07T05:20:43.180000+00:00,11230,27,1279,679.5,7,,679.5
2026-03-07T05:22:34.515000+00:00,11230,10,1279,,7,,
2026-03-07T05:22:39.334000+00:00,11230,43,1279,738.1,7,,738.1
2026-03-07T05:22:45.412000+00:00,11230,6,1279,795.6,4,,795.6
2026-03-07T05:23:17.572000+00:00,11230,77,1279,1021.0,6,,1021.0
2026-03-07T05:23:22.103000+00:00,11230,11,1279,1027.8,5,,1027.8
2026-03-07T05:34:03.513000+00:00,11230,44,1279,550.2,10,,550.2
2026-03-07T05:34:07.572000+00:00,11230,16,1279,613.0,8,,613.0
2026-03-07T05:34:12.092000+00:00,11230,31,1279,391.0,11,,391.0
2026-03-07T05:34:16.557000+00:00,11230,87,1279,389.1,11,,389.1
2026-03-07T05:34:23.206000+00:00,11230,23,1279,391.2,12,,391.2
2026-03-07T05:34:30.992000+00:00,11230,1,1279,432.6,12,,432.6
2026-03-07T05:34:37.254000+00:00,11230,41,1279,446.7,12,,446.7
2026-03-07T05:34:46.953000+00:00,11230,30,1279,450.9,11,,450.9
2026-03-07T05:34:59.691000+00:00,11230,10,1279,349.5,11,,349.5
2026-03-07T05:35:09.241000+00:00,11230,43,1279,357.4,11,,357.4
2026-03-07T05:35:17.828000+00:00,11230,81,1279,578.5,11,,578.5
2026-03-07T05:35:24.629000+00:00,11230,5,1279,1512.9,7,,1512.9
2026-03-07T05:35:38.384000+00:00,11230,12,1279,444.6,6,,444.6
2026-03-07T05:35:47.797000+00:00,11230,27,1279,521.9,11,,521.9
2026-03-07T05:35:55.232000+00:00,11230,63,1279,604.8,9,,604.8
2026-03-07T05:36:44.289000+00:00,11230,6,1279,540.1,7,,540.1
2026-03-07T05:39:35.560000+00:00,11230,23,1279,21.8,15,,21.8
2026-03-07T05:42:40.221000+00:00,11230,27,1279,126.2,14,,126.2
2026-03-07T05:43:11.340000+00:00,11230,44,1279,164.4,14,,164.4
2026-03-07T05:43:15.664000+00:00,11230,12,1279,167.3,9,,167.3
2026-03-07T05:43:22.884000+00:00,11230,63,1279,158.8,12,,158.8
2026-03-07T05:43:31.931000+00:00,11230,81,1279,110.1,15,,110.1
2026-03-07T05:43:41.087000+00:00,11230,1,1279,169.0,16,,169.0
2026-03-07T05:43:45.883000+00:00,11230,31,1279,192.8,15,,192.8
2026-03-07T05:43:51.180000+00:00,11230,87,1279,194.9,15,,194.9
2026-03-07T05:44:01.619000+00:00,11230,5,1279,133.3,11,,133.3
2026-03-07T05:44:07.849000+00:00,11230,43,1279,150.8,15,,150.8
2026-03-07T05:44:14.235000+00:00,11230,30,1279,183.9,15,,183.9
2026-03-07T05:44:19.005000+00:00,11230,41,1279,195.4,16,,195.4
2026-03-07T05:44:36.946000+00:00,11230,10,1279,192.2,15,,192.2
2026-03-07T05:45:21.236000+00:00,11230,16,1279,120.5,14,,120.5
2026-03-07T05:45:31.346000+00:00,11230,23,1279,80.0,18,,80.0
2026-03-07T05:45:42.533000+00:00,11230,6,1279,251.6,10,,251.6
2026-03-07T05:59:04.185000+00:00,11230,81,1279,655.1,18,,655.1
2026-03-07T05:59:09.486000+00:00,11230,30,1279,473.5,19,,473.5
2026-03-07T05:59:14.783000+00:00,11230,41,1279,474.0,20,,474.0
2026-03-07T05:59:28.580000+00:00,11230,44,1279,600.7,18,,600.7
2026-03-07T05:59:35.143000+00:00,11230,16,1279,589.1,17,,589.1
2026-03-07T05:59:49.346000+00:00,11230,12,1279,709.3,12,,709.3
2026-03-07T05:59:55.596000+00:00,11230,63,1279,712.8,15,,712.8
2026-03-07T06:00:25.315000+00:00,11230,1,1279,723.7,19,,723.7
2026-03-07T06:01:37.065000+00:00,11230,6,1279,668.8,13,,668.8
2026-03-07T06:10:03.636000+00:00,11230,12,1279,1323.3,14,,1323.3
2026-03-07T06:10:09.714000+00:00,11230,63,1279,1326.9,17,,1326.9
2026-03-07T06:10:14.479000+00:00,11230,6,1279,1186.1,14,,1186.1
2026-03-07T06:10:20.026000+00:00,11230,81,1279,1330.9,21,,1330.9
2026-03-07T06:10:29.546000+00:00,11230,16,1279,1243.5,19,,1243.5
2026-03-07T06:10:41.002000+00:00,11230,44,1279,1273.0,20,,1273.0
2026-03-07T06:10:50.683000+00:00,11230,1,1279,1348.9,21,,1348.9
2026-03-07T06:15:37.196000+00:00,11230,12,1279,139.0,16,,139.0
2026-03-07T06:15:46.805000+00:00,11230,41,1279,1466.1,22,,1466.1
