season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026,13,Italian Grand Prix,FP1,ALO,Aston Martin,regulations_2026_reset,0.45,15,86.72833333333334,85.78,100.81589999999998,3.9044444444444446,318.0,31.020000000000003,51.220000000000006,38.473333333333336,False,0.9066666666666666,190.8,2.7908333333333246,21.0,0.1255000000000024
2026,13,Italian Grand Prix,FP1,ANT,Mercedes,regulations_2026_reset,0.45,22,85.29849999999999,83.644,93.89770588235294,4.0484374999999995,329.0,30.995454545454546,51.24545454545455,38.304545454545455,False,1.1545454545454545,182.77272727272728,1.3609999999999758,12.0,0.42549999999999955
2026,13,Italian Grand Prix,FP1,ARO,Alpine,regulations_2026_reset,0.45,15,84.72933333333334,84.177,110.7155,4.7069090909090905,341.0,31.08666666666667,51.720000000000006,37.833333333333336,False,1.2400000000000004,177.8,0.7918333333333294,5.0,-0.45633333333331905
2026,13,Italian Grand Prix,FP1,BEA,Haas F1 Team,regulations_2026_reset,0.45,21,86.02316666666667,84.646,101.57024999999999,3.2955333333333328,320.0,30.933333333333334,51.023809523809526,38.54285714285714,False,1.0380952380952384,165.33333333333334,2.085666666666654,16.0,-0.2398333333333369
2026,13,Italian Grand Prix,FP1,BOR,Audi,regulations_2026_reset,0.45,16,85.08566666666667,84.006,104.13563636363637,-0.09129999999999824,318.0,31.04375,51.30625,38.1375,False,1.0625,176.4375,1.1481666666666541,9.0,-0.27016666666668243
2026,13,Italian Grand Prix,FP1,BOT,Cadillac,regulations_2026_reset,0.45,23,86.5705,85.984,101.02217647058824,0.7251250000000002,319.0,30.847826086956523,51.03478260869565,38.786956521739135,False,1.0260869565217392,168.82608695652175,2.6329999999999814,20.0,-11.393250000000009
2026,13,Italian Grand Prix,FP1,BRO,Williams,regulations_2026_reset,0.45,20,85.278,84.74,101.78826666666667,-0.29478571428571393,330.0,30.98999999999999,51.35999999999999,37.935,False,1.0100000000000002,159.35,1.3404999999999916,11.0,-0.054083333333338146
2026,13,Italian Grand Prix,FP1,COL,Alpine,regulations_2026_reset,0.45,21,85.642,84.028,100.17113333333334,4.552571428571428,329.0,31.0,51.23809523809524,38.24761904761905,False,0.9904761904761905,166.61904761904762,1.7044999999999817,15.0,0.45633333333333326
2026,13,Italian Grand Prix,FP1,HAM,Ferrari,regulations_2026_reset,0.45,21,84.56916666666667,83.181,106.69333333333334,0.9756428571428566,336.0,30.8952380952381,51.08571428571428,38.47142857142857,False,0.9333333333333333,135.52380952380952,0.6316666666666606,4.0,-0.20574999999999477
2026,13,Italian Grand Prix,FP1,HER,Cadillac,regulations_2026_reset,0.45,2,109.357,89.922,,,307.0,30.4,48.650000000000006,40.45,False,0.7,227.0,25.419499999999985,22.0,11.393249999999995
