season,round,event_name,session_code,driver,team,regulation_era,session_weight,lap_count,representative_lap_s,best_lap_s,long_run_lap_s,long_run_degradation_s,top_speed_kph,air_temp_c,track_temp_c,humidity_pct,rainfall_flag,wind_speed_mps,wind_direction_deg,gap_to_session_best_s,pace_rank,gap_to_teammate_s
2026,9,British Grand Prix,S,ALB,Williams,regulations_2026_reset,0.9,16,94.24249999999999,93.989,94.42123076923076,-0.036583333333332746,336.0,22.0,35.5,57.55,False,1.8312499999999998,184.9375,2.284166666666664,15.0,-0.05375000000000796
2026,9,British Grand Prix,S,ALO,Aston Martin,regulations_2026_reset,0.9,16,96.68833333333333,96.301,97.06061538461539,0.12183333333333361,332.0,21.875,35.53125,57.4625,False,1.8187499999999999,182.4375,4.730000000000004,21.0,-0.005249999999989541
2026,9,British Grand Prix,S,ANT,Mercedes,regulations_2026_reset,0.9,16,91.95833333333333,91.607,92.22253846153845,-0.03066666666666625,318.0,21.924999999999997,35.5,57.55,False,1.8312499999999998,184.9375,0.0,1.0,-0.14183333333333792
2026,9,British Grand Prix,S,BEA,Haas F1 Team,regulations_2026_reset,0.9,16,94.25633333333333,93.574,94.55330769230771,-0.06508333333333383,319.0,22.0,35.5,57.55,False,1.8312499999999998,184.9375,2.298000000000002,16.0,-0.12108333333334542
2026,9,British Grand Prix,S,BOR,Audi,regulations_2026_reset,0.9,16,93.75916666666666,93.506,94.3695,-0.18086666666666626,333.0,22.0,35.5,57.55,False,1.8312499999999998,184.9375,1.8008333333333297,10.0,-0.02924999999999045
2026,9,British Grand Prix,S,BOT,Cadillac,regulations_2026_reset,0.9,16,95.59366666666666,95.371,95.98038461538462,-0.03325000000000008,308.0,21.987499999999997,35.643750000000004,57.53125,False,1.9562499999999998,200.4375,3.6353333333333353,20.0,0.22441666666667004
2026,9,British Grand Prix,S,COL,Alpine,regulations_2026_reset,0.9,16,93.98966666666666,93.52,94.44706249999999,-0.1459333333333338,329.0,22.0375,35.5,57.55,False,1.8312499999999998,184.9375,2.031333333333336,13.0,-0.06816666666665583
2026,9,British Grand Prix,S,GAS,Alpine,regulations_2026_reset,0.9,16,94.12599999999999,93.88,94.51637500000001,-0.09260000000000067,312.0,22.0375,35.5,57.55,False,1.8312499999999998,184.9375,2.167666666666662,14.0,0.06816666666667004
2026,9,British Grand Prix,S,HAD,Red Bull Racing,regulations_2026_reset,0.9,16,93.34949999999999,93.0,93.768125,-0.1621333333333335,340.0,21.96875,35.5,57.55,False,1.8312499999999998,184.9375,1.3911666666666633,8.0,0.3648333333333227
2026,9,British Grand Prix,S,HAM,Ferrari,regulations_2026_reset,0.9,16,92.15366666666667,91.908,92.50092307692309,0.011500000000000435,318.0,21.924999999999997,35.5,57.55,False,1.8312499999999998,184.9375,0.19533333333333758,2.0,-0.142083333333332
2026,9,British Grand Prix,S,HUL,Audi,regulations_2026_reset,0.9,16,93.81766666666665,93.497,94.402,-0.21046666666666644,337.0,22.0375,35.5,57.55,False,1.8312499999999998,184.9375,1.8593333333333248,12.0,0.02925000000000466
2026,9,British Grand Prix,S,LAW,Racing Bulls,regulations_2026_reset,0.9,16,93.43983333333334,93.051,93.8514375,-0.1169999999999997,335.0,21.96875,35.5,57.55,False,1.8312499999999998,184.9375,1.4815000000000111,9.0,-0.17258333333333553
2026,9,British Grand Prix,S,LEC,Ferrari,regulations_2026_reset,0.9,16,92.43783333333333,92.158,92.5863846153846,-0.03666666666666648,324.0,21.950000000000003,35.5,57.55,False,1.8312499999999998,184.9375,0.4795000000000016,5.0,0.142083333333332
2026,9,British Grand Prix,S,LIN,Racing Bulls,regulations_2026_reset,0.9,16,93.78500000000001,93.572,94.1031875,-0.06499999999999963,325.0,22.0375,35.5,57.55,False,1.8312499999999998,184.9375,1.8266666666666822,11.0,0.17258333333333553
2026,9,British Grand Prix,S,NOR,McLaren,regulations_2026_reset,0.9,16,92.3505,92.19,92.58715384615385,-0.018000000000000682,318.0,21.9375,35.5,57.55,False,1.8312499999999998,184.9375,0.3921666666666681,4.0,-0.11541666666666117
2026,9,British Grand Prix,S,OCO,Haas F1 Team,regulations_2026_reset,0.9,16,94.49850000000002,94.399,94.64015384615384,-0.014499999999999366,315.0,22.0,35.5,57.55,False,1.8312499999999998,184.9375,2.5401666666666927,18.0,0.12108333333334542
2026,9,British Grand Prix,S,PER,Cadillac,regulations_2026_reset,0.9,15,95.14483333333332,94.528,96.27533333333332,-0.08027272727272687,309.0,21.85333333333333,35.43333333333333,57.486666666666665,False,1.8066666666666664,178.06666666666666,3.1864999999999952,19.0,-0.22441666666667004
2026,9,British Grand Prix,S,PIA,McLaren,regulations_2026_reset,0.9,16,92.58133333333332,92.223,92.8916923076923,-0.04908333333333322,324.0,21.950000000000003,35.5,57.55,False,1.8312499999999998,184.9375,0.6229999999999905,6.0,0.11541666666666117
2026,9,British Grand Prix,S,RUS,Mercedes,regulations_2026_reset,0.9,16,92.242,91.977,92.50176923076924,-0.044166666666666764,333.0,21.950000000000003,35.5,57.55,False,1.8312499999999998,184.9375,0.28366666666667584,3.0,0.14183333333333792
2026,9,British Grand Prix,S,SAI,Williams,regulations_2026_reset,0.9,16,94.35000000000001,94.186,94.57084615384616,-0.032083333333332575,338.0,22.0,35.5,57.55,False,1.8312499999999998,184.9375,2.39166666666668,17.0,0.05375000000000796
2026,9,British Grand Prix,S,STR,Aston Martin,regulations_2026_reset,0.9,15,96.69883333333333,95.028,99.46325,-0.17609090909090888,320.0,21.86,35.53333333333333,57.5,False,1.7133333333333332,180.46666666666667,4.740499999999997,22.0,0.005250000000003752
2026,9,British Grand Prix,S,VER,Red Bull Racing,regulations_2026_reset,0.9,16,92.61983333333335,92.393,93.1278125,-0.08433333333333337,315.0,21.950000000000003,35.5,57.55,False,1.8312499999999998,184.9375,0.661500000000018,7.0,-0.3648333333333227
