id,season,round,race_id,constructor_id,regulation_era,two_car_long_run_pace_s,two_car_quali_pace_s,recent_pace_rank,reliability_index,weather_risk_index,source_label
2026-04|Red Bull Racing,2026,4,2026-04,Red Bull Racing,regulations_2026_reset,,,9.66465,80.0,0.0,fastf1_constructor_form_v1
2026-04|Williams,2026,4,2026-04,Williams,regulations_2026_reset,,,14.620349999999998,80.0,0.0,fastf1_constructor_form_v1
2026-05|Alpine,2026,5,2026-05,Alpine,regulations_2026_reset,,,10.9724,80.0,0.0,fastf1_constructor_form_v1
2026-05|Aston Martin,2026,5,2026-05,Aston Martin,regulations_2026_reset,,,17.96045,80.0,0.0,fastf1_constructor_form_v1
2026-05|Audi,2026,5,2026-05,Audi,regulations_2026_reset,,,11.73985,80.0,0.0,fastf1_constructor_form_v1
2026-05|Cadillac,2026,5,2026-05,Cadillac,regulations_2026_reset,,,17.8714,80.0,0.0,fastf1_constructor_form_v1
2026-05|Ferrari,2026,5,2026-05,Ferrari,regulations_2026_reset,,,4.1577,80.0,0.0,fastf1_constructor_form_v1
2026-05|Haas F1 Team,2026,5,2026-05,Haas F1 Team,regulations_2026_reset,,,11.80555,80.0,0.0,fastf1_constructor_form_v1
2026-05|McLaren,2026,5,2026-05,McLaren,regulations_2026_reset,,,3.5324999999999998,80.0,0.0,fastf1_constructor_form_v1
2026-05|Mercedes,2026,5,2026-05,Mercedes,regulations_2026_reset,,,2.61435,80.0,0.0,fastf1_constructor_form_v1
2026-05|Racing Bulls,2026,5,2026-05,Racing Bulls,regulations_2026_reset,,,14.0535,80.0,0.0,fastf1_constructor_form_v1
2026-05|Red Bull Racing,2026,5,2026-05,Red Bull Racing,regulations_2026_reset,,,10.86915,80.0,0.0,fastf1_constructor_form_v1
2026-05|Williams,2026,5,2026-05,Williams,regulations_2026_reset,,,13.29665,80.0,0.0,fastf1_constructor_form_v1
2026-06|Alpine,2026,6,2026-06,Alpine,regulations_2026_reset,,,10.40365,80.0,0.0,fastf1_constructor_form_v1
2026-06|Aston Martin,2026,6,2026-06,Aston Martin,regulations_2026_reset,,,18.5446,80.0,0.0,fastf1_constructor_form_v1
2026-06|Audi,2026,6,2026-06,Audi,regulations_2026_reset,,,12.51525,80.0,0.0,fastf1_constructor_form_v1
2026-06|Cadillac,2026,6,2026-06,Cadillac,regulations_2026_reset,,,17.78595,80.0,0.0,fastf1_constructor_form_v1
2026-06|Ferrari,2026,6,2026-06,Ferrari,regulations_2026_reset,,,4.0064,80.0,0.0,fastf1_constructor_form_v1
2026-06|Haas F1 Team,2026,6,2026-06,Haas F1 Team,regulations_2026_reset,,,12.42535,80.0,0.0,fastf1_constructor_form_v1
2026-06|McLaren,2026,6,2026-06,McLaren,regulations_2026_reset,,,5.5286,80.0,0.0,fastf1_constructor_form_v1
2026-06|Mercedes,2026,6,2026-06,Mercedes,regulations_2026_reset,,,2.8181000000000003,80.0,0.0,fastf1_constructor_form_v1
2026-06|Racing Bulls,2026,6,2026-06,Racing Bulls,regulations_2026_reset,,,12.140699999999999,80.0,0.0,fastf1_constructor_form_v1
2026-06|Red Bull Racing,2026,6,2026-06,Red Bull Racing,regulations_2026_reset,,,12.3466,80.0,0.0,fastf1_constructor_form_v1
2026-06|Williams,2026,6,2026-06,Williams,regulations_2026_reset,,,13.803799999999999,80.0,0.0,fastf1_constructor_form_v1
2026-07|Alpine,2026,7,2026-07,Alpine,regulations_2026_reset,,,9.927050000000001,80.0,0.0,fastf1_constructor_form_v1
2026-07|Aston Martin,2026,7,2026-07,Aston Martin,regulations_2026_reset,,,18.43665,80.0,0.0,fastf1_constructor_form_v1
2026-07|Audi,2026,7,2026-07,Audi,regulations_2026_reset,,,12.2856,80.0,0.0,fastf1_constructor_form_v1
2026-07|Cadillac,2026,7,2026-07,Cadillac,regulations_2026_reset,,,17.828400000000002,80.0,0.0,fastf1_constructor_form_v1
2026-07|Ferrari,2026,7,2026-07,Ferrari,regulations_2026_reset,,,4.00515,80.0,0.0,fastf1_constructor_form_v1
2026-07|Haas F1 Team,2026,7,2026-07,Haas F1 Team,regulations_2026_reset,,,13.1342,80.0,0.0,fastf1_constructor_form_v1
2026-07|McLaren,2026,7,2026-07,McLaren,regulations_2026_reset,,,6.8003,80.0,0.0,fastf1_constructor_form_v1
2026-07|Mercedes,2026,7,2026-07,Mercedes,regulations_2026_reset,,,2.65585,80.0,0.0,fastf1_constructor_form_v1
2026-07|Racing Bulls,2026,7,2026-07,Racing Bulls,regulations_2026_reset,,,11.48675,80.0,0.0,fastf1_constructor_form_v1
2026-07|Red Bull Racing,2026,7,2026-07,Red Bull Racing,regulations_2026_reset,,,8.64395,80.0,0.0,fastf1_constructor_form_v1
2026-07|Williams,2026,7,2026-07,Williams,regulations_2026_reset,,,13.85845,80.0,0.0,fastf1_constructor_form_v1
2026-08|Alpine,2026,8,2026-08,Alpine,regulations_2026_reset,,,10.291350000000001,80.0,0.0,fastf1_constructor_form_v1
2026-08|Aston Martin,2026,8,2026-08,Aston Martin,regulations_2026_reset,,,18.8871,80.0,0.0,fastf1_constructor_form_v1
2026-08|Audi,2026,8,2026-08,Audi,regulations_2026_reset,,,12.62275,80.0,0.0,fastf1_constructor_form_v1
2026-08|Cadillac,2026,8,2026-08,Cadillac,regulations_2026_reset,,,18.1222,80.0,0.0,fastf1_constructor_form_v1
2026-08|Ferrari,2026,8,2026-08,Ferrari,regulations_2026_reset,,,3.65275,80.0,0.0,fastf1_constructor_form_v1
2026-08|Haas F1 Team,2026,8,2026-08,Haas F1 Team,regulations_2026_reset,,,13.37425,80.0,0.0,fastf1_constructor_form_v1
2026-08|McLaren,2026,8,2026-08,McLaren,regulations_2026_reset,,,6.6688,80.0,0.0,fastf1_constructor_form_v1
2026-08|Mercedes,2026,8,2026-08,Mercedes,regulations_2026_reset,,,3.06785,80.0,0.0,fastf1_constructor_form_v1
2026-08|Racing Bulls,2026,8,2026-08,Racing Bulls,regulations_2026_reset,,,11.7519,80.0,0.0,fastf1_constructor_form_v1
2026-08|Red Bull Racing,2026,8,2026-08,Red Bull Racing,regulations_2026_reset,,,7.9348,80.0,0.0,fastf1_constructor_form_v1
2026-08|Williams,2026,8,2026-08,Williams,regulations_2026_reset,,,13.9993,80.0,0.0,fastf1_constructor_form_v1
2026-09|Alpine,2026,9,2026-09,Alpine,regulations_2026_reset,,,10.483450000000001,80.0,0.0,fastf1_constructor_form_v1
2026-09|Aston Martin,2026,9,2026-09,Aston Martin,regulations_2026_reset,,,18.905050000000003,80.0,0.0,fastf1_constructor_form_v1
2026-09|Audi,2026,9,2026-09,Audi,regulations_2026_reset,,,12.6024,80.0,0.0,fastf1_constructor_form_v1
2026-09|Cadillac,2026,9,2026-09,Cadillac,regulations_2026_reset,,,18.65905,80.0,0.0,fastf1_constructor_form_v1
2026-09|Ferrari,2026,9,2026-09,Ferrari,regulations_2026_reset,,,3.8668500000000003,80.0,0.0,fastf1_constructor_form_v1
2026-09|Haas F1 Team,2026,9,2026-09,Haas F1 Team,regulations_2026_reset,,,13.7121,80.0,0.0,fastf1_constructor_form_v1
2026-09|McLaren,2026,9,2026-09,McLaren,regulations_2026_reset,,,6.378299999999999,80.0,0.0,fastf1_constructor_form_v1
2026-09|Mercedes,2026,9,2026-09,Mercedes,regulations_2026_reset,,,3.05705,80.0,0.0,fastf1_constructor_form_v1
2026-09|Racing Bulls,2026,9,2026-09,Racing Bulls,regulations_2026_reset,,,11.552399999999999,80.0,0.0,fastf1_constructor_form_v1
2026-09|Red Bull Racing,2026,9,2026-09,Red Bull Racing,regulations_2026_reset,,,7.42835,80.0,0.0,fastf1_constructor_form_v1
2026-09|Williams,2026,9,2026-09,Williams,regulations_2026_reset,,,14.651900000000001,80.0,0.0,fastf1_constructor_form_v1
2026-10|Alpine,2026,10,2026-10,Alpine,regulations_2026_reset,123.0316,106.3615,10.92375,100.0,0.0,fastf1_constructor_form_v1
2026-10|Aston Martin,2026,10,2026-10,Aston Martin,regulations_2026_reset,127.98758333333333,110.0895,19.2838,93.33333333333333,0.0,fastf1_constructor_form_v1
2026-10|Audi,2026,10,2026-10,Audi,regulations_2026_reset,125.61437500000001,106.1495,12.585799999999999,100.0,0.0,fastf1_constructor_form_v1
