Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,25.0,0 days 00:01:15.357000,MEDIUM,2.0,Williams
ALO,21.0,0 days 00:01:14.511000,SOFT,2.0,Aston Martin
ANT,31.0,0 days 00:01:12.949000,SOFT,4.0,Mercedes
BEA,25.0,0 days 00:01:14.874000,SOFT,2.0,Haas F1 Team
BOR,22.0,0 days 00:01:13.992000,MEDIUM,2.0,Audi
BOT,21.0,0 days 00:01:15.580000,SOFT,2.0,Cadillac
COL,21.0,0 days 00:01:14.826000,SOFT,2.0,Alpine
GAS,21.0,0 days 00:01:13.911000,SOFT,2.0,Alpine
HAM,27.0,0 days 00:01:13.139000,SOFT,2.0,Ferrari
HUL,26.0,0 days 00:01:13.784000,MEDIUM,2.0,Audi
LAW,24.0,0 days 00:01:14.861000,SOFT,6.0,Red Bull Racing
LEC,34.0,0 days 00:01:13.238000,SOFT,7.0,Ferrari
LIN,31.0,0 days 00:01:14.285000,MEDIUM,6.0,Racing Bulls
NOR,27.0,0 days 00:01:13.070000,SOFT,6.0,McLaren
OCO,27.0,0 days 00:01:14.897000,SOFT,2.0,Haas F1 Team
PER,21.0,0 days 00:01:15.700000,SOFT,2.0,Cadillac
PIA,26.0,0 days 00:01:13.608000,SOFT,2.0,McLaren
RUS,34.0,0 days 00:01:13.074000,SOFT,6.0,Mercedes
SAI,28.0,0 days 00:01:16.345000,MEDIUM,8.0,Williams
STR,19.0,0 days 00:01:15.199000,SOFT,2.0,Aston Martin
TSU,26.0,0 days 00:01:15.110000,MEDIUM,2.0,Racing Bulls
VER,20.0,0 days 00:01:14.325000,SOFT,2.0,Red Bull Racing
