race_analysis_id,season,round,event,race_name,session_id,circuit,race_date,winner,winner_team,driver_count,classified_driver_count,stint_count,pit_stop_count,weather_available,race_control_available,analysis_quality_score,generated_at,build_version,freshness_status
2024-21-interlagos,2024,21,São Paulo Grand Prix,São Paulo Grand Prix,2024_21_R_São Paulo Grand Prix,interlagos,2024-11-03T17:00:00Z,VER,Red Bull Racing,20,20,53,34,True,False,0.995,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-22-vegas,2024,22,Las Vegas Grand Prix,Las Vegas Grand Prix,2024_22_R_Las Vegas Grand Prix,vegas,2024-11-23T06:00:00Z,RUS,Mercedes,20,20,59,39,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-23-losail,2024,23,Qatar Grand Prix,Qatar Grand Prix,2024_23_R_Qatar Grand Prix,losail,2024-12-01T16:00:00Z,VER,Red Bull Racing,20,20,80,60,True,False,0.997,2026-07-31T22:06:37Z,race-analysis-v1,ready
2024-24-yas_marina,2024,24,Abu Dhabi Grand Prix,Abu Dhabi Grand Prix,2024_24_R_Abu Dhabi Grand Prix,yas_marina,2024-12-08T13:00:00Z,NOR,McLaren,20,20,48,28,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-02-shanghai,2025,2,Chinese Grand Prix,Chinese Grand Prix,2025_02_R_Chinese Grand Prix,shanghai,2025-03-23T07:00:00Z,PIA,McLaren,20,20,45,25,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-03-suzuka,2025,3,Japanese Grand Prix,Japanese Grand Prix,2025_03_R_Japanese Grand Prix,suzuka,2025-04-06T05:00:00Z,VER,Red Bull Racing,20,20,41,21,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-04-bahrain,2025,4,Bahrain Grand Prix,Bahrain Grand Prix,2025_04_R_Bahrain Grand Prix,bahrain,2025-04-13T15:00:00Z,PIA,McLaren,20,20,62,42,True,False,0.998,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-05-jeddah,2025,5,Saudi Arabian Grand Prix,Saudi Arabian Grand Prix,2025_05_R_Saudi Arabian Grand Prix,jeddah,2025-04-20T17:00:00Z,PIA,McLaren,20,20,39,19,True,False,0.994,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-07-imola,2025,7,Emilia Romagna Grand Prix,Emilia Romagna Grand Prix,2025_07_R_Emilia Romagna Grand Prix,imola,2025-05-18T13:00:00Z,VER,Red Bull Racing,20,20,57,37,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-08-monaco,2025,8,Monaco Grand Prix,Monaco Grand Prix,2025_08_R_Monaco Grand Prix,monaco,2025-05-25T13:00:00Z,NOR,McLaren,20,20,59,39,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-09-catalunya,2025,9,Spanish Grand Prix,Spanish Grand Prix,2025_09_R_Spanish Grand Prix,catalunya,2025-06-01T13:00:00Z,PIA,McLaren,19,19,73,54,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-10-villeneuve,2025,10,Canadian Grand Prix,Canadian Grand Prix,2025_10_R_Canadian Grand Prix,villeneuve,2025-06-15T18:00:00Z,RUS,Mercedes,20,20,102,82,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-11-red_bull_ring,2025,11,Austrian Grand Prix,Austrian Grand Prix,2025_11_R_Austrian Grand Prix,red_bull_ring,2025-06-29T13:00:00Z,NOR,McLaren,20,20,52,32,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-12-silverstone,2025,12,British Grand Prix,British Grand Prix,2025_12_R_British Grand Prix,silverstone,2025-07-06T14:00:00Z,NOR,McLaren,20,20,55,35,True,False,0.984,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-14-hungaroring,2025,14,Hungarian Grand Prix,Hungarian Grand Prix,2025_14_R_Hungarian Grand Prix,hungaroring,2025-08-03T13:00:00Z,NOR,McLaren,20,20,49,29,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-15-zandvoort,2025,15,Dutch Grand Prix,Dutch Grand Prix,2025_15_R_Dutch Grand Prix,zandvoort,2025-08-31T13:00:00Z,PIA,McLaren,20,20,59,39,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-16-monza,2025,16,Italian Grand Prix,Italian Grand Prix,2025_16_R_Italian Grand Prix,monza,2025-09-07T13:00:00Z,VER,Red Bull Racing,20,20,39,19,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-17-baku,2025,17,Azerbaijan Grand Prix,Azerbaijan Grand Prix,2025_17_R_Azerbaijan Grand Prix,baku,2025-09-21T11:00:00Z,VER,Red Bull Racing,20,20,41,21,True,False,0.992,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-18-marina_bay,2025,18,Singapore Grand Prix,Singapore Grand Prix,2025_18_R_Singapore Grand Prix,marina_bay,2025-10-05T12:00:00Z,RUS,Mercedes,20,20,43,23,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-19-americas,2025,19,United States Grand Prix,United States Grand Prix,2025_19_R_United States Grand Prix,americas,2025-10-19T19:00:00Z,VER,Red Bull Racing,20,20,41,21,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
2025-20-rodriguez,2025,20,Mexico City Grand Prix,Mexico City Grand Prix,2025_20_R_Mexico City Grand Prix,rodriguez,2025-10-26T20:00:00Z,NOR,McLaren,20,20,47,27,True,False,1.0,2026-07-31T22:06:37Z,race-analysis-v1,ready
