race_analysis_id,driver,team,lap_number,race_phase,compound,stint_number,lap_time_s,normalized_pace_delta_s,field_rank_on_lap,rolling_pace_delta_s,tyre_age,fuel_corrected_delta_s,weather_adjusted_flag,pace_confidence
2024-01-bahrain,ALB,Williams,56,closing,HARD,3,96.922,0.822,13,0.503,20,2.782,False,0.72
2024-01-bahrain,ALO,Aston Martin,1,opening,SOFT,1,101.679,-2.007,6,-2.007,4,-1.972,False,0.72
2024-01-bahrain,ALO,Aston Martin,2,opening,SOFT,1,98.02,-0.308,8,-1.157,5,-0.238,False,0.72
2024-01-bahrain,ALO,Aston Martin,3,opening,SOFT,1,99.046,0.695,20,-0.54,6,0.8,False,0.72
2024-01-bahrain,ALO,Aston Martin,4,opening,SOFT,1,97.776,-0.523,8,-0.045,7,-0.383,False,0.72
2024-01-bahrain,ALO,Aston Martin,5,opening,SOFT,1,99.292,0.863,19,0.345,8,1.038,False,0.72
2024-01-bahrain,ALO,Aston Martin,6,opening,SOFT,1,98.053,-0.219,9,0.04,9,-0.009,False,0.72
2024-01-bahrain,ALO,Aston Martin,7,opening,SOFT,1,98.008,-0.501,7,0.047,10,-0.256,False,0.72
2024-01-bahrain,ALO,Aston Martin,8,opening,SOFT,1,98.103,-0.264,6,-0.328,11,0.016,False,0.72
2024-01-bahrain,ALO,Aston Martin,9,opening,SOFT,1,98.896,0.248,13,-0.173,12,0.563,False,0.72
2024-01-bahrain,ALO,Aston Martin,10,opening,SOFT,1,99.325,0.578,16,0.187,13,0.928,False,0.72
2024-01-bahrain,ALO,Aston Martin,11,opening,SOFT,1,98.554,-0.051,10,0.258,14,0.334,False,0.72
2024-01-bahrain,ALO,Aston Martin,12,middle,SOFT,1,98.543,-0.288,9,0.08,15,0.132,False,0.72
2024-01-bahrain,ALO,Aston Martin,13,middle,SOFT,1,98.587,-0.118,10,-0.152,16,0.337,False,0.72
2024-01-bahrain,ALO,Aston Martin,14,middle,SOFT,1,98.612,1.005,14,0.2,17,1.495,False,0.72
2024-01-bahrain,ALO,Aston Martin,15,middle,SOFT,1,101.101,3.605,17,1.497,18,4.13,False,0.72
2024-01-bahrain,ALO,Aston Martin,16,middle,HARD,2,118.814,21.295,19,8.635,1,21.855,False,0.72
2024-01-bahrain,ALO,Aston Martin,17,middle,HARD,2,96.97,-0.467,6,8.144,2,0.128,False,0.72
2024-01-bahrain,ALO,Aston Martin,18,middle,HARD,2,97.361,-0.206,7,6.874,3,0.424,False,0.72
2024-01-bahrain,ALO,Aston Martin,19,middle,HARD,2,97.072,-0.403,8,-0.359,4,0.262,False,0.72
2024-01-bahrain,ALO,Aston Martin,20,middle,HARD,2,97.357,-0.368,9,-0.326,5,0.332,False,0.72
2024-01-bahrain,ALO,Aston Martin,21,middle,HARD,2,97.342,-0.219,9,-0.33,6,0.516,False,0.72
2024-01-bahrain,ALO,Aston Martin,22,middle,HARD,2,97.122,-0.303,10,-0.297,7,0.467,False,0.72
2024-01-bahrain,ALO,Aston Martin,23,middle,HARD,2,97.265,-0.178,10,-0.233,8,0.627,False,0.72
2024-01-bahrain,ALO,Aston Martin,24,middle,HARD,2,97.046,-0.294,10,-0.258,9,0.546,False,0.72
2024-01-bahrain,ALO,Aston Martin,25,middle,HARD,2,97.179,-0.336,10,-0.269,10,0.539,False,0.72
2024-01-bahrain,ALO,Aston Martin,26,middle,HARD,2,97.638,-0.111,10,-0.247,11,0.799,False,0.72
2024-01-bahrain,ALO,Aston Martin,27,middle,HARD,2,96.945,-0.682,9,-0.376,12,0.263,False,0.72
2024-01-bahrain,ALO,Aston Martin,28,middle,HARD,2,97.256,-0.34,10,-0.378,13,0.64,False,0.72
2024-01-bahrain,ALO,Aston Martin,29,middle,HARD,2,97.104,-0.038,10,-0.353,14,0.977,False,0.72
2024-01-bahrain,ALO,Aston Martin,30,middle,HARD,2,96.982,-0.186,8,-0.188,15,0.864,False,0.72
2024-01-bahrain,ALO,Aston Martin,31,middle,HARD,2,96.957,-0.074,8,-0.099,16,1.011,False,0.72
2024-01-bahrain,ALO,Aston Martin,32,middle,HARD,2,97.056,0.057,11,-0.067,17,1.177,False,0.72
2024-01-bahrain,ALO,Aston Martin,33,middle,HARD,2,97.202,0.266,12,0.083,18,1.421,False,0.72
2024-01-bahrain,ALO,Aston Martin,34,middle,HARD,2,97.601,0.944,12,0.422,19,2.134,False,0.72
2024-01-bahrain,ALO,Aston Martin,35,middle,HARD,2,97.273,0.596,14,0.602,20,1.821,False,0.72
2024-01-bahrain,ALO,Aston Martin,36,middle,HARD,2,98.343,1.716,16,1.085,21,2.976,False,0.72
2024-01-bahrain,ALO,Aston Martin,37,middle,HARD,2,96.799,0.516,15,0.943,22,1.811,False,0.72
2024-01-bahrain,ALO,Aston Martin,38,middle,HARD,2,97.297,1.05,17,1.094,23,2.38,False,0.72
2024-01-bahrain,ALO,Aston Martin,39,middle,HARD,2,97.946,2.08,20,1.215,24,3.445,False,0.72
2024-01-bahrain,ALO,Aston Martin,40,middle,HARD,2,98.061,1.894,19,1.675,25,3.294,False,0.72
2024-01-bahrain,ALO,Aston Martin,41,middle,HARD,2,100.261,4.229,19,2.734,26,5.664,False,0.72
2024-01-bahrain,ALO,Aston Martin,42,middle,HARD,3,116.899,21.329,20,9.151,1,22.799,False,0.72
2024-01-bahrain,ALO,Aston Martin,43,closing,HARD,3,95.107,-0.321,6,8.412,2,1.184,False,0.72
2024-01-bahrain,ALO,Aston Martin,44,closing,HARD,3,94.981,-0.437,4,6.857,3,1.103,False,0.72
2024-01-bahrain,ALO,Aston Martin,45,closing,HARD,3,94.872,-0.448,5,-0.402,4,1.127,False,0.72
2024-01-bahrain,ALO,Aston Martin,46,closing,HARD,3,95.126,-0.313,6,-0.399,5,1.297,False,0.72
2024-01-bahrain,ALO,Aston Martin,47,closing,HARD,3,95.225,-0.42,5,-0.394,6,1.225,False,0.72
2024-01-bahrain,ALO,Aston Martin,48,closing,HARD,3,94.199,-1.689,1,-0.807,7,-0.009,False,0.72
2024-01-bahrain,ALO,Aston Martin,49,closing,HARD,3,94.571,-1.223,2,-1.111,8,0.492,False,0.72
2024-01-bahrain,ALO,Aston Martin,50,closing,HARD,3,94.677,-1.145,1,-1.352,9,0.605,False,0.72
2024-01-bahrain,ALO,Aston Martin,51,closing,HARD,3,94.916,-0.996,2,-1.121,10,0.789,False,0.72
2024-01-bahrain,ALO,Aston Martin,52,closing,HARD,3,94.862,-1.144,1,-1.095,11,0.676,False,0.72
2024-01-bahrain,ALO,Aston Martin,53,closing,HARD,3,95.249,-0.738,2,-0.959,12,1.117,False,0.72
2024-01-bahrain,ALO,Aston Martin,54,closing,HARD,3,95.745,-0.315,5,-0.732,13,1.575,False,0.72
2024-01-bahrain,ALO,Aston Martin,55,closing,HARD,3,95.066,-1.114,1,-0.722,14,0.811,False,0.72
2024-01-bahrain,ALO,Aston Martin,56,closing,HARD,3,95.014,-1.086,2,-0.838,15,0.874,False,0.72
2024-01-bahrain,ALO,Aston Martin,57,closing,HARD,3,95.276,-0.753,2,-0.984,16,1.242,False,0.72
2024-01-bahrain,BOT,Kick Sauber,1,opening,SOFT,1,108.536,4.85,18,4.85,1,4.885,False,0.72
2024-01-bahrain,BOT,Kick Sauber,2,opening,SOFT,1,98.259,-0.069,9,2.391,2,0.001,False,0.72
2024-01-bahrain,BOT,Kick Sauber,3,opening,SOFT,1,98.837,0.486,19,1.756,3,0.591,False,0.72
2024-01-bahrain,BOT,Kick Sauber,4,opening,SOFT,1,98.643,0.344,20,0.254,4,0.484,False,0.72
2024-01-bahrain,BOT,Kick Sauber,5,opening,SOFT,1,100.087,1.658,20,0.829,5,1.833,False,0.72
2024-01-bahrain,BOT,Kick Sauber,6,opening,SOFT,1,99.206,0.934,20,0.979,6,1.144,False,0.72
2024-01-bahrain,BOT,Kick Sauber,7,opening,SOFT,1,98.654,0.145,11,0.912,7,0.39,False,0.72
2024-01-bahrain,BOT,Kick Sauber,8,opening,SOFT,1,98.968,0.601,14,0.56,8,0.881,False,0.72
2024-01-bahrain,BOT,Kick Sauber,9,opening,SOFT,1,99.425,0.776,17,0.507,9,1.091,False,0.72
2024-01-bahrain,BOT,Kick Sauber,10,opening,SOFT,1,99.112,0.365,15,0.581,10,0.715,False,0.72
2024-01-bahrain,BOT,Kick Sauber,11,opening,SOFT,1,99.187,0.582,15,0.574,11,0.967,False,0.72
2024-01-bahrain,BOT,Kick Sauber,12,middle,SOFT,1,103.145,4.314,17,1.754,12,4.734,False,0.72
2024-01-bahrain,BOT,Kick Sauber,13,middle,HARD,2,121.081,22.376,19,9.091,1,22.831,False,0.72
2024-01-bahrain,BOT,Kick Sauber,14,middle,HARD,2,96.454,-1.153,2,8.512,2,-0.663,False,0.72
2024-01-bahrain,BOT,Kick Sauber,15,middle,HARD,2,97.287,-0.209,9,7.005,3,0.316,False,0.72
2024-01-bahrain,BOT,Kick Sauber,16,middle,HARD,2,97.718,0.2,13,-0.388,4,0.76,False,0.72
2024-01-bahrain,BOT,Kick Sauber,17,middle,HARD,2,97.765,0.328,12,0.106,5,0.923,False,0.72
2024-01-bahrain,BOT,Kick Sauber,18,middle,HARD,2,97.918,0.351,16,0.293,6,0.981,False,0.72
2024-01-bahrain,BOT,Kick Sauber,19,middle,HARD,2,97.662,0.187,13,0.289,7,0.852,False,0.72
2024-01-bahrain,BOT,Kick Sauber,20,middle,HARD,2,98.285,0.56,19,0.366,8,1.26,False,0.72
2024-01-bahrain,BOT,Kick Sauber,21,middle,HARD,2,97.73,0.169,11,0.305,9,0.904,False,0.72
2024-01-bahrain,BOT,Kick Sauber,22,middle,HARD,2,97.998,0.573,16,0.434,10,1.343,False,0.72
2024-01-bahrain,BOT,Kick Sauber,23,middle,HARD,2,98.18,0.737,18,0.493,11,1.542,False,0.72
2024-01-bahrain,BOT,Kick Sauber,24,middle,HARD,2,98.146,0.806,15,0.705,12,1.646,False,0.72
2024-01-bahrain,BOT,Kick Sauber,25,middle,HARD,2,98.262,0.747,17,0.763,13,1.622,False,0.72
2024-01-bahrain,BOT,Kick Sauber,26,middle,HARD,2,98.308,0.559,18,0.704,14,1.47,False,0.72
2024-01-bahrain,BOT,Kick Sauber,27,middle,HARD,2,98.426,0.799,18,0.702,15,1.744,False,0.72
2024-01-bahrain,BOT,Kick Sauber,28,middle,HARD,2,98.595,0.999,16,0.786,16,1.979,False,0.72
2024-01-bahrain,BOT,Kick Sauber,29,middle,HARD,2,98.654,1.512,18,1.103,17,2.527,False,0.72
2024-01-bahrain,BOT,Kick Sauber,30,middle,HARD,2,101.252,4.084,20,2.199,18,5.134,False,0.72
2024-01-bahrain,BOT,Kick Sauber,31,middle,HARD,3,,,,2.798,1,,False,0.35
2024-01-bahrain,BOT,Kick Sauber,32,middle,HARD,3,96.763,-0.236,7,1.924,2,0.884,False,0.72
2024-01-bahrain,BOT,Kick Sauber,33,middle,HARD,3,96.202,-0.734,4,-0.485,3,0.421,False,0.72
2024-01-bahrain,BOT,Kick Sauber,34,middle,HARD,3,98.009,1.352,14,0.127,4,2.542,False,0.72
2024-01-bahrain,BOT,Kick Sauber,35,middle,HARD,3,96.578,-0.099,10,0.173,5,1.126,False,0.72
2024-01-bahrain,BOT,Kick Sauber,36,middle,HARD,3,96.792,0.165,11,0.473,6,1.425,False,0.72
2024-01-bahrain,BOT,Kick Sauber,37,middle,HARD,3,98.008,1.724,17,0.597,7,3.019,False,0.72
2024-01-bahrain,BOT,Kick Sauber,38,middle,HARD,3,97.774,1.528,18,1.139,8,2.858,False,0.72
2024-01-bahrain,BOT,Kick Sauber,39,middle,HARD,3,97.189,1.323,18,1.525,9,2.688,False,0.72
2024-01-bahrain,BOT,Kick Sauber,40,middle,HARD,3,97.393,1.226,18,1.359,10,2.626,False,0.72
2024-01-bahrain,BOT,Kick Sauber,41,middle,HARD,3,96.437,0.405,14,0.985,11,1.84,False,0.72
2024-01-bahrain,BOT,Kick Sauber,42,middle,HARD,3,96.374,0.804,15,0.812,12,2.274,False,0.72
2024-01-bahrain,BOT,Kick Sauber,43,closing,HARD,3,96.569,1.141,17,0.783,13,2.646,False,0.72
2024-01-bahrain,BOT,Kick Sauber,44,closing,HARD,3,96.63,1.212,17,1.052,14,2.752,False,0.72
2024-01-bahrain,BOT,Kick Sauber,45,closing,HARD,3,96.663,1.343,18,1.232,15,2.918,False,0.72
2024-01-bahrain,BOT,Kick Sauber,46,closing,HARD,3,96.297,0.858,15,1.138,16,2.468,False,0.72
2024-01-bahrain,BOT,Kick Sauber,47,closing,HARD,3,96.604,0.959,18,1.053,17,2.604,False,0.72
2024-01-bahrain,BOT,Kick Sauber,48,closing,HARD,3,96.765,0.877,18,0.898,18,2.557,False,0.72
2024-01-bahrain,BOT,Kick Sauber,49,closing,HARD,3,96.91,1.116,18,0.984,19,2.831,False,0.72
2024-01-bahrain,BOT,Kick Sauber,50,closing,HARD,3,96.91,1.088,17,1.027,20,2.838,False,0.72
