session_id,segment_id,driver_a,driver_b,entry_speed_delta_kph,terminal_speed_delta_kph,acceleration_delta,drs_active_delta_pct,clipping_proxy_delta,confidence,favorable_driver
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,HAM,0.0,1.0,0.0084,0.0,-0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,HUL,-4.0,-6.5,-0.0208,0.0,-0.1333,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,LAW,-6.0,-8.5,-0.0208,0.0,-0.2666,0.55,LAW
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,LEC,-0.5,0.0,0.0042,0.0,-0.2666,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,LIN,-5.5,-10.0,-0.0375,0.0,0.0,0.55,LIN
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,NOR,-3.5,-3.5,0.0,0.0,-0.4,0.55,NOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,OCO,-3.0,-7.0,-0.0333,0.0,-0.2666,0.55,OCO
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,PER,0.5,-1.5,-0.0166,0.0,0.0,0.55,PER
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,PIA,-0.5,0.5,0.0084,0.0,-0.4,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_10,ALB,RUS,-6.5,-8.0,-0.0125,0.0,0.0,0.55,RUS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,ALO,11.0,4.0,-0.0083,0.0,0.0,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,ANT,-3.0,-2.0,0.0,0.0,0.1333,0.55,ANT
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,BEA,-5.0,-6.5,0.0,0.0,-0.1333,0.55,BEA
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,BOR,-6.0,-6.0,0.0,0.0,0.1333,0.55,BOR
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,BOT,10.0,10.0,0.0,0.0,-0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,COL,0.5,0.5,0.0,0.0,-0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,GAS,-4.0,-3.0,0.0,0.0,0.1333,0.55,GAS
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,HAD,-5.0,-6.0,0.0,0.0,0.0,0.55,HAD
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,HAM,3.0,1.5,0.0,0.0,-0.1333,0.55,ALB
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,HUL,-10.0,-11.5,0.0,0.0,0.0,0.55,HUL
2026_01_Q_Australian Grand Prix,australian-grand-prix_straight_11,ALB,LAW,-7.0,-7.5,0.0,0.0,0.0,0.55,LAW
