session_id,segment_id,driver_a,driver_b,braking_start_delta_m,braking_duration_delta_s,braking_distance_delta_m,late_brake_delta,brake_intensity_delta,confidence,favorable_driver
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,ALO,-1.007,0.561,28.936,0.0,0.1428,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,ANT,-7.898,0.761,21.003,0.0,0.098,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,BEA,-0.144,-0.079,-2.986,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,BOR,1.293,0.24,8.914,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,BOT,-7.067,0.72,36.065,0.0,0.1228,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,COL,-5.609,0.24,15.981,0.0,-0.0667,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,GAS,1.424,-0.56,-26.562,0.0,-0.058,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,HAD,-15.404,0.442,23.109,0.0,0.0555,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,HAM,-12.687,0.401,10.748,0.0,0.0208,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,LAW,-10.615,0.561,27.111,0.0,0.1159,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,LEC,-4.032,0.241,9.348,0.0,0.0208,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,LIN,-0.826,-0.319,-16.491,0.0,-0.0351,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,NOR,,1.801,97.992,0.0,0.3333,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,OCO,-9.562,0.401,21.714,0.0,0.0175,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,PER,-2.48,0.281,17.736,0.0,0.0476,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,RUS,-8.994,0.16,-2.627,0.0,-0.0556,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,SAI,-2.393,-0.279,-18.519,0.0,-0.0303,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,STR,-5.57,0.72,40.068,0.0,0.0701,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_02,ALB,VER,-11.311,0.4,14.68,0.0,0.0333,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,ALO,2.548,-0.079,-2.349,0.0,0.0214,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,ANT,4.0,0.002,-2.009,0.0,0.04,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,BEA,1.465,0.761,24.195,0.0,0.1565,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,BOR,-2.693,0.521,16.395,0.0,0.12,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,BOT,2.235,0.32,8.419,0.0,0.0929,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,COL,-4.784,0.08,4.08,0.0,0.0333,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,GAS,-1.086,-0.039,0.406,0.0,0.0519,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,HAD,4.328,0.681,20.784,0.0,0.1667,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,HAM,2.973,-0.199,-6.594,0.0,-0.0069,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,LAW,3.468,-0.038,-3.043,0.0,0.0462,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,LEC,1.317,0.161,4.306,0.0,0.04,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,LIN,4.938,-0.12,-3.401,0.0,0.0214,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,NOR,-1.469,0.521,15.495,0.0,0.1231,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,OCO,1.243,0.001,-1.56,0.0,0.0889,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,PER,-0.878,0.761,24.117,0.0,0.1667,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,RUS,-0.475,0.641,20.117,0.0,0.1167,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,SAI,4.63,0.201,7.817,0.0,0.0696,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,STR,-132.76,-2.158,-110.171,-0.5141,-0.24,0.55,STR
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_05,ALB,VER,1.269,0.641,18.84,0.0,0.131,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,ALO,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,ANT,,0.0,0.0,0.0,0.0,0.55,ALB
2026_01_R_Australian Grand Prix,australian-grand-prix_corner_06,ALB,BEA,,0.0,0.0,0.0,0.0,0.55,ALB
