date,session_key,meeting_key,lane_duration,pit_duration,driver_number,stop_duration,lap_number
2026-06-05T11:30:03.218000+00:00,11292,1286,,,11,,1
2026-06-05T11:30:09.383000+00:00,11292,1286,,,41,,1
2026-06-05T11:30:15.874000+00:00,11292,1286,,,3,,1
2026-06-05T11:30:19.346000+00:00,11292,1286,,,6,,1
2026-06-05T11:30:27.346000+00:00,11292,1286,,,43,,1
2026-06-05T11:30:29.888000+00:00,11292,1286,,,77,,1
2026-06-05T11:30:34.173000+00:00,11292,1286,,,30,,1
2026-06-05T11:30:40.710000+00:00,11292,1286,,,16,,1
2026-06-05T11:30:47.325000+00:00,11292,1286,,,87,,1
2026-06-05T11:30:52.476000+00:00,11292,1286,,,31,,1
2026-06-05T11:31:02.536000+00:00,11292,1286,,,44,,1
2026-06-05T11:31:07.279000+00:00,11292,1286,,,5,,1
2026-06-05T11:31:15.407000+00:00,11292,1286,,,1,,1
2026-06-05T11:31:21.569000+00:00,11292,1286,,,12,,1
2026-06-05T11:31:26.225000+00:00,11292,1286,,,81,,1
2026-06-05T11:31:30.513000+00:00,11292,1286,,,18,,1
2026-06-05T11:31:36.007000+00:00,11292,1286,,,23,,1
2026-06-05T11:31:43.703000+00:00,11292,1286,,,63,,1
2026-06-05T11:31:51.069000+00:00,11292,1286,,,14,,1
2026-06-05T11:31:53.519000+00:00,11292,1286,,,27,,1
2026-06-05T11:31:59.859000+00:00,11292,1286,,,10,,1
2026-06-05T11:32:17.049000+00:00,11292,1286,,,55,,1
2026-06-05T11:37:51.464000+00:00,11292,1286,45.1,45.1,16,,5
2026-06-05T11:39:17.154000+00:00,11292,1286,49.9,49.9,81,,6
2026-06-05T11:41:40.776000+00:00,11292,1286,515.6,515.6,18,,2
2026-06-05T11:42:52.570000+00:00,11292,1286,311.8,311.8,14,,5
2026-06-05T11:44:32.595000+00:00,11292,1286,197.1,197.1,5,,8
2026-06-05T11:46:04.984000+00:00,11292,1286,441.7,441.7,11,,7
2026-06-05T11:47:25.234000+00:00,11292,1286,33.8,33.8,30,,12
2026-06-05T11:48:57.103000+00:00,11292,1286,412.2,412.2,55,,8
2026-06-05T11:49:05.378000+00:00,11292,1286,31.6,31.6,44,,13
2026-06-05T11:51:11.757000+00:00,11292,1286,349.1,349.1,3,,12
2026-06-05T11:51:22.114000+00:00,11292,1286,40.8,40.8,81,,14
2026-06-05T11:53:34.882000+00:00,11292,1286,532.9,532.9,63,,10
2026-06-05T11:55:23.571000+00:00,11292,1286,362.6,362.6,12,,14
2026-06-05T11:56:52.449000+00:00,11292,1286,61.1,61.1,11,,14
2026-06-05T11:59:51.919000+00:00,11292,1286,796.2,796.2,1,,12
2026-06-05T11:59:59.140000+00:00,11292,1286,213.2,213.2,41,,19
2026-06-05T12:00:21.588000+00:00,11292,1286,448.0,448.0,81,,15
2026-06-05T12:01:30.962000+00:00,11292,1286,945.5,945.5,6,,12
2026-06-05T12:01:42.069000+00:00,11292,1286,247.6,247.6,30,,19
2026-06-05T12:04:10.706000+00:00,11292,1286,421.1,421.1,87,,19
