position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,16,31,False,False,False,73.978,0.0,1286,11292
2,44,28,False,False,False,74.204,0.226,1286,11292
3,3,26,False,False,False,74.491,0.513,1286,11292
4,12,31,False,False,False,74.537,0.559,1286,11292
5,63,29,False,False,False,74.983,1.005,1286,11292
6,1,27,False,False,False,75.291,1.313,1286,11292
7,27,27,False,False,False,75.343,1.365,1286,11292
8,81,29,False,False,False,75.565,1.587,1286,11292
9,5,31,False,False,False,75.75,1.772,1286,11292
10,10,32,False,False,False,75.828,1.85,1286,11292
11,23,33,False,False,False,75.989,2.011,1286,11292
12,55,31,False,False,False,76.041,2.063,1286,11292
13,6,14,False,False,False,76.148,2.17,1286,11292
14,11,28,False,False,False,76.17,2.192,1286,11292
15,43,32,False,False,False,76.189,2.211,1286,11292
16,87,31,False,False,False,76.292,2.314,1286,11292
17,31,31,False,False,False,76.333,2.355,1286,11292
18,41,34,False,False,False,76.389,2.411,1286,11292
19,30,31,False,False,False,76.431,2.453,1286,11292
20,14,21,False,False,False,76.678,2.7,1286,11292
21,77,27,False,False,False,77.46,3.482,1286,11292
22,18,16,False,False,False,77.556,3.578,1286,11292
