position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,22,False,False,False,72.72,0.0,1286,11294
2,16,32,False,False,False,73.047,0.327,1286,11294
3,44,30,False,False,False,73.051,0.331,1286,11294
4,63,23,False,False,False,73.483,0.763,1286,11294
5,3,23,False,False,False,73.662,0.942,1286,11294
6,81,20,False,False,False,73.698,0.978,1286,11294
7,5,27,False,False,False,73.82,1.1,1286,11294
8,6,25,False,False,False,73.877,1.157,1286,11294
9,1,24,False,False,False,74.006,1.286,1286,11294
10,27,22,False,False,False,74.05,1.33,1286,11294
11,31,24,False,False,False,74.278,1.558,1286,11294
12,55,26,False,False,False,74.336,1.616,1286,11294
13,10,22,False,False,False,74.48,1.76,1286,11294
14,87,18,False,False,False,74.487,1.767,1286,11294
15,30,27,False,False,False,74.587,1.867,1286,11294
16,23,24,False,False,False,74.801,2.081,1286,11294
17,41,24,False,False,False,74.918,2.198,1286,11294
18,11,19,False,False,False,74.945,2.225,1286,11294
19,43,21,False,False,False,75.179,2.459,1286,11294
20,77,17,False,False,False,75.451,2.731,1286,11294
21,14,26,False,False,False,75.567,2.847,1286,11294
22,18,22,False,False,False,75.921,3.201,1286,11294
