date,session_key,air_temperature,track_temperature,wind_speed,wind_direction,rainfall,pressure,meeting_key,humidity
2026-06-06T10:17:14.954000+00:00,11294,22.9,27.6,1.1,145,0,1016.9,1286,60.4
2026-06-06T10:18:14.965000+00:00,11294,22.9,27.6,1.1,145,0,1017.0,1286,58.9
2026-06-06T10:19:14.965000+00:00,11294,22.9,27.8,0.8,56,0,1016.8,1286,59.3
2026-06-06T10:20:14.997000+00:00,11294,22.9,28.0,0.5,210,0,1016.8,1286,59.4
2026-06-06T10:21:15.018000+00:00,11294,22.9,28.2,0.8,203,0,1016.8,1286,60.0
2026-06-06T10:22:15.019000+00:00,11294,22.9,28.1,1.0,342,0,1016.8,1286,59.2
2026-06-06T10:23:15.024000+00:00,11294,22.9,28.1,0.0,0,0,1016.9,1286,58.6
2026-06-06T10:24:15.023000+00:00,11294,22.9,28.2,0.7,266,0,1016.8,1286,58.5
2026-06-06T10:25:15.037000+00:00,11294,22.8,28.0,2.5,198,0,1016.9,1286,58.6
2026-06-06T10:26:15.024000+00:00,11294,22.7,28.1,0.5,234,0,1016.9,1286,59.2
2026-06-06T10:27:15.033000+00:00,11294,22.7,28.5,1.4,194,0,1016.9,1286,58.5
2026-06-06T10:28:15.055000+00:00,11294,22.6,28.6,0.4,45,0,1017.0,1286,58.8
2026-06-06T10:29:15.056000+00:00,11294,22.6,28.3,1.7,8,0,1016.9,1286,57.8
2026-06-06T10:30:15.054000+00:00,11294,22.7,28.4,0.9,221,0,1016.9,1286,57.6
2026-06-06T10:31:15.069000+00:00,11294,22.8,28.9,1.6,205,0,1016.8,1286,57.4
2026-06-06T10:32:15.056000+00:00,11294,22.9,29.0,0.5,186,0,1016.9,1286,56.3
2026-06-06T10:33:15.057000+00:00,11294,23.1,29.2,0.7,164,0,1016.9,1286,55.7
2026-06-06T10:34:15.045000+00:00,11294,23.1,29.3,1.2,181,0,1016.8,1286,55.5
2026-06-06T10:35:15.045000+00:00,11294,23.3,29.2,2.4,197,0,1016.9,1286,54.8
2026-06-06T10:36:15.061000+00:00,11294,23.2,29.1,1.0,156,0,1016.9,1286,54.3
2026-06-06T10:37:15.076000+00:00,11294,23.1,29.2,1.8,187,0,1016.9,1286,54.4
2026-06-06T10:38:15.108000+00:00,11294,23.0,29.7,0.4,233,0,1017.0,1286,55.5
2026-06-06T10:39:15.099000+00:00,11294,22.9,29.6,1.0,176,0,1017.1,1286,55.9
2026-06-06T10:40:15.131000+00:00,11294,22.9,30.0,1.6,177,0,1016.9,1286,56.0
2026-06-06T10:41:15.115000+00:00,11294,22.9,30.2,0.6,150,0,1017.0,1286,55.7
2026-06-06T10:42:15.115000+00:00,11294,22.8,30.6,1.0,167,0,1017.0,1286,55.8
2026-06-06T10:43:15.139000+00:00,11294,23.0,30.6,1.8,195,0,1017.1,1286,54.9
2026-06-06T10:44:15.151000+00:00,11294,23.1,30.5,1.9,184,0,1017.0,1286,55.0
2026-06-06T10:45:15.158000+00:00,11294,23.1,30.5,2.3,197,0,1017.1,1286,55.8
2026-06-06T10:46:15.167000+00:00,11294,23.3,31.0,1.3,148,0,1017.2,1286,56.8
2026-06-06T10:47:15.183000+00:00,11294,23.4,32.6,1.9,172,0,1017.1,1286,56.8
2026-06-06T10:48:15.185000+00:00,11294,23.5,31.6,2.5,183,0,1017.1,1286,55.9
2026-06-06T10:49:15.186000+00:00,11294,23.5,31.3,1.7,154,0,1017.2,1286,55.2
2026-06-06T10:50:15.195000+00:00,11294,23.4,31.3,1.7,181,0,1017.2,1286,55.3
2026-06-06T10:51:15.211000+00:00,11294,23.3,31.4,0.9,141,0,1017.1,1286,56.8
