date,session_key,air_temperature,track_temperature,wind_speed,wind_direction,rainfall,pressure,meeting_key,humidity
2026-06-06T10:52:15.211000+00:00,11294,23.3,31.4,0.9,141,0,1017.1,1286,56.8
2026-06-06T10:53:15.224000+00:00,11294,23.3,31.4,0.8,179,0,1017.1,1286,55.8
2026-06-06T10:54:15.209000+00:00,11294,23.4,31.4,2.0,191,0,1017.1,1286,56.1
2026-06-06T10:55:15.209000+00:00,11294,23.3,31.4,1.1,140,0,1017.1,1286,57.1
2026-06-06T10:56:15.204000+00:00,11294,23.2,31.8,2.0,201,0,1017.0,1286,57.4
2026-06-06T10:57:15.214000+00:00,11294,23.1,31.5,0.0,0,0,1017.1,1286,57.1
2026-06-06T10:58:15.210000+00:00,11294,23.1,31.7,0.9,151,0,1017.1,1286,56.7
2026-06-06T10:59:15.238000+00:00,11294,23.1,31.6,1.6,193,0,1017.1,1286,56.6
2026-06-06T11:00:15.233000+00:00,11294,23.0,31.5,1.3,199,0,1017.1,1286,56.4
2026-06-06T11:01:15.244000+00:00,11294,23.0,31.9,2.6,195,0,1017.2,1286,56.5
2026-06-06T11:02:15.264000+00:00,11294,23.0,31.5,0.7,121,0,1017.1,1286,55.7
2026-06-06T11:03:15.279000+00:00,11294,23.1,31.4,1.0,151,0,1017.2,1286,56.2
2026-06-06T11:04:15.301000+00:00,11294,23.0,31.5,0.7,186,0,1017.2,1286,56.2
2026-06-06T11:05:15.293000+00:00,11294,22.9,31.4,0.0,0,0,1017.2,1286,56.7
2026-06-06T11:06:15.292000+00:00,11294,22.8,31.1,1.0,198,0,1017.2,1286,56.5
2026-06-06T11:07:15.308000+00:00,11294,22.8,31.2,0.9,128,0,1017.3,1286,57.4
2026-06-06T11:08:15.308000+00:00,11294,22.9,30.9,2.4,203,0,1017.2,1286,57.4
2026-06-06T11:09:15.297000+00:00,11294,22.9,30.7,1.4,213,0,1017.2,1286,56.8
2026-06-06T11:10:15.345000+00:00,11294,22.8,30.5,0.3,190,0,1017.2,1286,58.5
2026-06-06T11:11:15.296000+00:00,11294,22.8,30.5,0.7,118,0,1017.3,1286,59.0
2026-06-06T11:12:15.297000+00:00,11294,22.9,30.3,1.5,199,0,1017.2,1286,58.4
2026-06-06T11:13:15.297000+00:00,11294,23.0,30.7,1.3,180,0,1017.2,1286,57.2
2026-06-06T11:14:15.297000+00:00,11294,23.1,29.9,1.0,157,0,1017.3,1286,55.8
2026-06-06T11:15:15.308000+00:00,11294,23.1,30.1,1.4,169,0,1017.2,1286,54.7
2026-06-06T11:16:15.305000+00:00,11294,23.1,30.2,1.9,160,0,1017.3,1286,55.3
2026-06-06T11:17:15.305000+00:00,11294,23.2,30.1,2.1,182,0,1017.2,1286,54.2
2026-06-06T11:18:15.298000+00:00,11294,23.2,29.8,1.2,191,0,1017.3,1286,54.2
2026-06-06T11:19:15.320000+00:00,11294,23.2,29.8,1.2,130,0,1017.2,1286,54.5
2026-06-06T11:20:15.336000+00:00,11294,23.2,29.8,0.7,206,0,1017.3,1286,54.5
2026-06-06T11:21:15.357000+00:00,11294,23.2,29.2,0.4,202,0,1017.4,1286,54.3
2026-06-06T11:22:15.354000+00:00,11294,23.0,29.3,1.3,208,0,1017.3,1286,56.2
2026-06-06T11:23:15.372000+00:00,11294,22.9,29.5,0.0,0,0,1017.3,1286,56.8
2026-06-06T11:24:15.386000+00:00,11294,22.9,28.9,2.9,199,0,1017.3,1286,56.8
2026-06-06T11:25:15.395000+00:00,11294,22.8,29.4,0.7,166,0,1017.3,1286,56.3
2026-06-06T11:26:15.395000+00:00,11294,22.8,29.0,0.5,127,0,1017.3,1286,54.3
2026-06-06T11:27:15.393000+00:00,11294,22.7,29.3,2.0,203,0,1017.3,1286,55.3
2026-06-06T11:28:15.405000+00:00,11294,22.8,29.3,0.5,132,0,1017.3,1286,54.9
2026-06-06T11:29:15.400000+00:00,11294,22.8,29.2,1.1,196,0,1017.3,1286,54.9
2026-06-06T11:30:15.397000+00:00,11294,22.9,29.1,1.1,191,0,1017.1,1286,54.6
2026-06-06T11:31:15.391000+00:00,11294,23.1,29.3,0.3,171,0,1017.2,1286,53.7
2026-06-06T11:32:15.394000+00:00,11294,23.3,29.2,1.5,169,0,1017.2,1286,53.4
2026-06-06T11:33:15.446000+00:00,11294,23.4,29.4,0.8,195,0,1017.2,1286,52.0
2026-06-06T11:34:15.403000+00:00,11294,23.5,29.6,1.2,186,0,1017.2,1286,52.2
2026-06-06T11:35:15.404000+00:00,11294,23.5,29.7,0.7,147,1,1017.1,1286,51.2
