position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,1,20,False,False,False,77.939,0.0,1291,11337
2,44,22,False,False,False,78.056,0.117,1291,11337
3,12,16,False,False,False,78.068,0.129,1291,11337
4,16,24,False,False,False,78.291,0.352,1291,11337
5,81,22,False,False,False,78.438,0.499,1291,11337
6,63,18,False,False,False,78.541,0.602,1291,11337
7,3,14,False,False,False,78.656,0.717,1291,11337
8,6,17,False,False,False,78.943,1.004,1291,11337
9,30,23,False,False,False,79.088,1.149,1291,11337
10,27,24,False,False,False,79.16,1.221,1291,11337
11,5,22,False,False,False,79.338,1.399,1291,11337
12,10,20,False,False,False,79.723,1.784,1291,11337
13,41,6,False,False,False,79.895,1.956,1291,11337
14,43,30,False,False,False,80.055,2.116,1291,11337
15,31,18,False,False,False,80.295,2.356,1291,11337
16,87,14,False,False,False,80.312,2.373,1291,11337
17,14,17,False,False,False,80.393,2.454,1291,11337
18,18,20,False,False,False,80.933,2.994,1291,11337
19,77,15,False,False,False,81.299,3.36,1291,11337
20,55,17,False,False,False,81.406,3.467,1291,11337
21,23,13,False,False,False,81.513,3.574,1291,11337
22,11,1,False,False,False,,,1291,11337
