season,round,event,session,driver,lap_number,compound,stint,segment_id,entry_speed_kph,terminal_speed_kph,acceleration_score,drs_active_pct,clipping_proxy_score,segmentation_confidence
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_straight_12,304.0,291.0,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_straight_15,272.0,272.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_straight_20,281.5,304.0,0.1875,0.0,0.0667,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_01,287.5,267.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_09,278.5,300.5,0.1833,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_10,307.0,319.0,0.1,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_11,319.5,313.5,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_12,309.0,278.0,0.0,0.0,0.0667,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_15,284.0,287.0,0.025,0.0,0.2,0.55
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_straight_20,269.0,289.0,0.1667,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_01,288.0,280.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_09,280.0,303.0,0.1917,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_10,309.5,322.5,0.1083,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_11,324.0,317.0,0.0,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_12,315.5,289.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_15,285.5,296.0,0.0875,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,GAS,13,SOFT,,australian-grand-prix_straight_20,271.5,291.5,0.1667,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_01,291.0,305.5,0.1208,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_09,282.667,302.333,0.1639,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_10,310.5,323.0,0.1042,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_11,325.0,320.0,0.0,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_12,318.0,276.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_15,288.0,289.5,0.0125,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,HAD,18,SOFT,,australian-grand-prix_straight_20,282.0,305.0,0.1917,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_01,287.0,292.0,0.0417,0.0,0.0667,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_09,283.0,301.5,0.1542,0.0,0.2,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_10,306.5,316.5,0.0833,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_11,317.0,312.5,0.0,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_12,307.5,280.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_15,283.5,287.0,0.0292,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HAM,24,SOFT,,australian-grand-prix_straight_20,274.0,303.0,0.2417,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_01,284.5,293.5,0.075,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_09,277.5,306.5,0.2417,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_10,310.5,324.0,0.1125,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_11,330.0,325.5,0.0,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_12,323.0,292.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_15,286.0,295.5,0.0792,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,HUL,15,SOFT,,australian-grand-prix_straight_20,276.0,297.0,0.175,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_01,297.0,296.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_09,280.0,302.5,0.1875,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_10,312.5,326.0,0.1125,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_11,327.0,321.5,0.0,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_12,319.0,297.0,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_15,282.5,287.5,0.0417,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,LAW,23,SOFT,,australian-grand-prix_straight_20,289.0,318.0,0.2417,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_01,289.5,291.5,0.0167,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_09,282.5,301.0,0.1542,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_10,307.0,317.5,0.0875,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_11,317.5,311.0,0.0,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_12,307.5,284.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_15,282.0,283.0,0.0083,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LEC,23,SOFT,,australian-grand-prix_straight_20,275.5,300.5,0.2083,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_01,285.5,297.5,0.1,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_09,284.0,308.0,0.2,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_10,312.0,327.5,0.1292,0.0,0.4667,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_11,328.5,323.5,0.0,0.0,0.6,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_12,319.5,290.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_15,285.5,289.0,0.0292,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,LIN,14,SOFT,,australian-grand-prix_straight_20,286.0,297.5,0.0958,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_01,290.0,282.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_09,285.5,305.5,0.1667,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_10,310.0,321.0,0.0917,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_11,322.0,316.5,0.0,0.0,0.0667,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_12,315.5,273.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_15,281.5,286.0,0.0375,0.0,0.3333,0.55
2026,1,Australian Grand Prix,Q,NOR,25,SOFT,,australian-grand-prix_straight_20,284.0,300.0,0.1333,0.0,0.8667,0.55
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_01,279.0,269.5,0.0,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_09,284.0,301.5,0.1458,0.0,0.0,0.55
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_10,309.5,324.5,0.125,0.0,0.7333,0.55
2026,1,Australian Grand Prix,Q,OCO,13,SOFT,,australian-grand-prix_straight_11,326.0,323.5,0.0,0.0,0.7333,0.55
