season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,throttle_pickup_distance_m,throttle_pickup_time_s,full_throttle_exit_distance_m,traction_exit_score
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1094.073,16.851,1148.828,0.988
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1324.283,22.251,1324.283,1.0
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3147.882,45.851,3147.882,0.7055
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3943.869,56.571,4158.889,0.6376
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4206.334,62.052,4206.334,0.813
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4464.401,66.291,4464.401,0.5123
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,4718.928,72.651,4826.124,1.0
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,350.779,5.081,390.734,0.9627
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1086.893,17.161,1274.788,0.98
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,1330.481,23.161,1330.481,1.0
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3158.195,47.722,3158.195,0.459
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3933.194,58.921,3933.194,0.7212
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4205.163,65.121,4205.163,1.0
