season,round,event,session,driver,lap_number,compound,stint,segment_id,corner_id,segmentation_confidence,braking_start_distance_m,braking_duration_s,braking_distance_m,min_speed_during_brake_kph,brake_intensity_proxy,late_brake_score
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,4004.869,1.92,97.611,131.0,0.3636,0.2464
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4509.979,2.4,100.193,103.0,0.375,0.1858
2026,1,Australian Grand Prix,Q,BOR,13,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,267.401,1.4,71.978,156.0,0.2941,0.0
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1054.726,0.559,16.902,106.0,0.0769,0.0
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_13,australian-grand-prix_corner_13,0.55,3214.506,0.56,36.644,230.0,0.1333,0.2541
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_16,australian-grand-prix_corner_16,0.55,3962.528,2.161,112.083,121.0,0.3333,0.1134
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_17,australian-grand-prix_corner_17,0.55,4296.989,0.201,11.837,212.0,0.0556,0.3783
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_18,australian-grand-prix_corner_18,0.55,4491.934,2.039,82.934,106.0,0.28,0.0907
2026,1,Australian Grand Prix,Q,BOT,7,SOFT,,australian-grand-prix_corner_19,australian-grand-prix_corner_19,0.55,,0.0,0.0,,0.0,0.0
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_02,australian-grand-prix_corner_02,0.55,271.254,1.28,69.156,168.0,0.25,0.0
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_05,australian-grand-prix_corner_05,0.55,1057.428,0.6,18.667,110.0,0.0833,0.0
2026,1,Australian Grand Prix,Q,COL,9,SOFT,,australian-grand-prix_corner_06,australian-grand-prix_corner_06,0.55,,0.0,0.0,,0.0,0.0
