position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,81,26,False,False,False,79.729,0.0,1279,11228
2,12,31,False,False,False,79.943,0.214,1279,11228
3,63,28,False,False,False,80.049,0.32,1279,11228
4,44,32,False,False,False,80.05,0.321,1279,11228
5,16,30,False,False,False,80.291,0.562,1279,11228
6,3,13,False,False,False,80.366,0.637,1279,11228
7,1,29,False,False,False,80.794,1.065,1279,11228
8,41,30,False,False,False,80.922,1.193,1279,11228
9,6,28,False,False,False,80.941,1.212,1279,11228
10,31,29,False,False,False,81.179,1.45,1279,11228
11,87,31,False,False,False,81.326,1.597,1279,11228
12,27,34,False,False,False,81.351,1.622,1279,11228
13,30,29,False,False,False,81.358,1.629,1279,11228
14,5,28,False,False,False,81.668,1.939,1279,11228
15,23,32,False,False,False,81.847,2.118,1279,11228
16,10,16,False,False,False,82.167,2.438,1279,11228
17,55,10,False,False,False,82.253,2.524,1279,11228
18,43,27,False,False,False,82.619,2.89,1279,11228
19,77,28,False,False,False,83.66,3.931,1279,11228
20,14,18,False,False,False,84.662,4.933,1279,11228
21,18,13,False,False,False,85.816,6.087,1279,11228
22,11,2,False,False,False,,,1279,11228
