position,driver_number,lap_duration,meeting_key,session_key
1,12,92.064,1280,11241
2,63,92.286,1280,11241
3,44,92.415,1280,11241
4,16,92.428,1280,11241
5,81,92.55,1280,11241
6,1,92.608,1280,11241
7,10,92.873,1280,11241
8,3,93.002,1280,11241
9,6,93.121,1280,11241
10,87,93.292,1280,11241
11,27,93.354,1280,11241
12,43,93.357,1280,11241
13,31,93.538,1280,11241
14,30,93.765,1280,11241
15,41,93.784,1280,11241
16,5,93.965,1280,11241
17,55,94.317,1280,11241
18,14,95.203,1280,11241
19,77,95.436,1280,11241
20,18,95.995,1280,11241
21,11,96.906,1280,11241
22,23,94.772,1280,11241
