position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,12,15,False,False,False,"[93.305, 92.443, 92.064]","[0.13, 0.0, 0.0]",1280,11241
2,63,13,False,False,False,"[93.262, 92.523, 92.286]","[0.087, 0.08, 0.222]",1280,11241
3,44,19,False,False,False,"[93.522, 92.567, 92.415]","[0.347, 0.124, 0.351]",1280,11241
4,16,20,False,False,False,"[93.175, 92.486, 92.428]","[0.0, 0.043, 0.364]",1280,11241
5,81,20,False,False,False,"[93.59, 93.13, 92.55]","[0.415, 0.687, 0.486]",1280,11241
6,1,20,False,False,False,"[93.535, 92.91, 92.608]","[0.36, 0.467, 0.544]",1280,11241
7,10,21,False,False,False,"[93.788, 93.003, 92.873]","[0.613, 0.56, 0.809]",1280,11241
8,3,20,False,False,False,"[93.417, 93.098, 93.002]","[0.242, 0.655, 0.938]",1280,11241
9,6,20,False,False,False,"[93.632, 93.352, 93.121]","[0.457, 0.909, 1.057]",1280,11241
10,87,19,False,False,False,"[93.687, 93.197, 93.292]","[0.512, 0.754, 1.228]",1280,11241
11,27,12,False,False,False,"[94.116, 93.354, None]","[0.941, 0.911, None]",1280,11241
12,43,15,False,False,False,"[93.634, 93.357, None]","[0.459, 0.914, None]",1280,11241
13,31,14,False,False,False,"[93.974, 93.538, None]","[0.799, 1.095, None]",1280,11241
14,30,15,False,False,False,"[94.139, 93.765, None]","[0.964, 1.322, None]",1280,11241
15,41,15,False,False,False,"[93.906, 93.784, None]","[0.731, 1.341, None]",1280,11241
16,5,14,False,False,False,"[93.549, 93.965, None]","[0.374, 1.522, None]",1280,11241
17,55,10,False,False,False,"[94.317, None, None]","[1.142, None, None]",1280,11241
18,23,10,False,False,False,"[94.772, None, None]","[1.597, None, None]",1280,11241
19,14,9,False,False,False,"[95.203, None, None]","[2.028, None, None]",1280,11241
20,77,9,False,False,False,"[95.436, None, None]","[2.261, None, None]",1280,11241
21,18,9,False,False,False,"[95.995, None, None]","[2.82, None, None]",1280,11241
22,11,6,False,False,False,"[96.906, None, None]","[3.731, None, None]",1280,11241
