date,session_key,humidity,air_temperature,track_temperature,wind_speed,wind_direction,meeting_key,rainfall,pressure
2026-03-14T06:45:27.712000+00:00,11241,36.5,17.6,32.3,3.9,65,1280,0,1023.7
2026-03-14T06:46:27.721000+00:00,11241,36.2,17.6,32.4,3.8,68,1280,0,1023.6
2026-03-14T06:47:27.728000+00:00,11241,36.0,17.6,32.3,2.7,68,1280,0,1023.7
2026-03-14T06:48:27.731000+00:00,11241,36.0,17.6,32.3,2.7,68,1280,0,1023.7
2026-03-14T06:49:27.710000+00:00,11241,35.5,17.7,32.5,3.2,30,1280,0,1023.5
2026-03-14T06:50:27.713000+00:00,11241,35.0,17.7,32.5,2.8,46,1280,0,1023.6
2026-03-14T06:51:27.732000+00:00,11241,34.5,17.7,32.4,4.0,60,1280,0,1023.6
2026-03-14T06:52:27.728000+00:00,11241,34.6,17.7,32.2,2.7,31,1280,0,1023.6
2026-03-14T06:53:27.726000+00:00,11241,34.6,17.7,31.8,5.3,43,1280,0,1023.6
2026-03-14T06:54:27.724000+00:00,11241,34.9,17.7,31.7,4.9,49,1280,0,1023.5
2026-03-14T06:55:27.723000+00:00,11241,35.7,17.6,32.0,3.1,58,1280,0,1023.6
2026-03-14T06:56:27.714000+00:00,11241,35.1,17.7,32.2,1.9,67,1280,0,1023.6
2026-03-14T06:57:27.728000+00:00,11241,34.6,17.6,32.3,1.3,60,1280,0,1023.7
2026-03-14T06:58:27.727000+00:00,11241,34.3,17.8,32.0,3.1,59,1280,0,1023.5
2026-03-14T06:59:27.746000+00:00,11241,34.3,17.8,32.0,3.1,59,1280,0,1023.5
2026-03-14T07:00:27.764000+00:00,11241,34.9,17.8,31.8,3.6,36,1280,0,1023.5
2026-03-14T07:01:27.755000+00:00,11241,35.0,17.7,32.0,3.5,52,1280,0,1023.5
2026-03-14T07:02:27.762000+00:00,11241,35.1,17.7,31.7,2.8,71,1280,0,1023.5
2026-03-14T07:03:27.768000+00:00,11241,34.7,17.7,32.1,2.6,65,1280,0,1023.5
2026-03-14T07:04:27.785000+00:00,11241,34.3,17.8,32.3,1.8,61,1280,0,1023.5
2026-03-14T07:05:27.774000+00:00,11241,34.5,17.8,32.3,2.6,64,1280,0,1023.6
2026-03-14T07:06:27.776000+00:00,11241,33.9,17.8,31.8,5.2,59,1280,0,1023.4
2026-03-14T07:07:27.772000+00:00,11241,33.3,17.9,31.6,3.3,59,1280,0,1023.4
2026-03-14T07:08:27.775000+00:00,11241,33.1,17.9,31.7,3.1,65,1280,0,1023.5
2026-03-14T07:09:27.776000+00:00,11241,33.5,17.9,31.9,1.9,67,1280,0,1023.5
2026-03-14T07:10:27.795000+00:00,11241,33.5,17.9,31.9,1.9,67,1280,0,1023.5
2026-03-14T07:11:27.825000+00:00,11241,33.6,17.8,32.1,2.1,65,1280,0,1023.5
2026-03-14T07:12:27.842000+00:00,11241,33.4,17.8,32.3,1.7,72,1280,0,1023.6
2026-03-14T07:13:27.843000+00:00,11241,33.4,17.9,32.3,2.1,88,1280,0,1023.6
2026-03-14T07:14:27.838000+00:00,11241,33.0,18.0,32.2,1.6,64,1280,0,1023.7
2026-03-14T07:15:27.832000+00:00,11241,33.5,18.0,32.2,2.6,52,1280,0,1023.5
2026-03-14T07:16:27.856000+00:00,11241,34.1,18.0,32.3,1.9,57,1280,0,1023.5
2026-03-14T07:17:27.867000+00:00,11241,33.8,18.0,32.1,1.1,69,1280,0,1023.7
2026-03-14T07:18:27.871000+00:00,11241,33.8,18.0,32.2,1.5,87,1280,0,1023.6
2026-03-14T07:19:27.879000+00:00,11241,33.3,18.1,31.9,1.0,66,1280,0,1023.5
2026-03-14T07:20:27.877000+00:00,11241,32.4,18.1,32.0,1.1,125,1280,0,1023.6
2026-03-14T07:21:27.880000+00:00,11241,32.4,18.1,32.0,1.1,125,1280,0,1023.6
2026-03-14T07:22:27.868000+00:00,11241,32.4,18.3,32.2,2.4,74,1280,0,1023.5
2026-03-14T07:23:27.876000+00:00,11241,33.4,18.1,31.5,2.3,61,1280,0,1023.6
2026-03-14T07:24:27.878000+00:00,11241,34.1,18.0,31.2,3.8,58,1280,0,1023.6
2026-03-14T07:25:27.872000+00:00,11241,34.7,17.9,30.9,3.8,41,1280,0,1023.6
2026-03-14T07:26:27.912000+00:00,11241,35.3,17.8,30.4,1.4,49,1280,0,1023.5
2026-03-14T07:27:27.917000+00:00,11241,35.2,17.8,30.5,2.3,79,1280,0,1023.6
2026-03-14T07:28:27.932000+00:00,11241,35.0,17.7,30.6,3.8,41,1280,0,1023.6
2026-03-14T07:29:27.937000+00:00,11241,35.2,17.7,30.3,4.5,44,1280,0,1023.6
2026-03-14T07:30:27.931000+00:00,11241,35.0,17.6,30.3,2.7,37,1280,0,1023.6
