date,session_key,humidity,air_temperature,track_temperature,wind_speed,wind_direction,meeting_key,rainfall,pressure
2026-03-14T07:31:27.918000+00:00,11241,35.1,17.6,30.5,3.7,47,1280,0,1023.6
2026-03-14T07:32:27.906000+00:00,11241,35.1,17.6,30.5,3.7,47,1280,0,1023.6
2026-03-14T07:33:27.937000+00:00,11241,34.8,17.7,29.9,4.3,62,1280,0,1023.5
2026-03-14T07:34:27.968000+00:00,11241,34.4,17.8,29.4,5.3,40,1280,0,1023.5
2026-03-14T07:35:27.973000+00:00,11241,34.5,17.8,29.6,2.8,30,1280,0,1023.5
2026-03-14T07:36:27.979000+00:00,11241,34.7,17.8,29.5,4.5,42,1280,0,1023.5
2026-03-14T07:37:27.999000+00:00,11241,35.3,17.7,29.8,3.9,50,1280,0,1023.5
2026-03-14T07:38:28.011000+00:00,11241,35.5,17.8,30.1,4.1,38,1280,0,1023.5
2026-03-14T07:39:28.032000+00:00,11241,34.3,17.7,29.9,2.8,65,1280,0,1023.5
2026-03-14T07:40:28.020000+00:00,11241,34.4,17.6,29.9,3.0,59,1280,0,1023.4
2026-03-14T07:41:28.033000+00:00,11241,34.4,17.6,29.6,5.4,40,1280,0,1023.5
2026-03-14T07:42:28.046000+00:00,11241,34.6,17.6,29.3,3.6,47,1280,0,1023.4
2026-03-14T07:43:28.053000+00:00,11241,34.6,17.6,29.3,3.6,47,1280,0,1023.4
2026-03-14T07:44:28.052000+00:00,11241,35.0,17.7,30.0,2.6,65,1280,0,1023.5
2026-03-14T07:45:28.091000+00:00,11241,34.9,17.7,29.9,1.2,18,1280,0,1023.6
2026-03-14T07:46:28.075000+00:00,11241,34.7,17.6,29.9,3.5,58,1280,0,1023.6
2026-03-14T07:47:28.097000+00:00,11241,34.1,17.6,29.5,4.0,47,1280,0,1023.5
2026-03-14T07:48:28.109000+00:00,11241,34.1,17.5,29.9,2.7,60,1280,0,1023.4
2026-03-14T07:49:28.086000+00:00,11241,34.3,17.6,29.8,1.5,88,1280,0,1023.5
2026-03-14T07:50:28.098000+00:00,11241,34.2,17.7,30.0,1.0,63,1280,0,1023.5
2026-03-14T07:51:28.115000+00:00,11241,34.0,17.7,29.9,0.7,39,1280,0,1023.5
2026-03-14T07:52:28.121000+00:00,11241,33.8,17.8,30.0,1.0,74,1280,0,1023.5
2026-03-14T07:53:28.135000+00:00,11241,33.3,17.9,29.9,1.6,101,1280,0,1023.5
2026-03-14T07:54:28.147000+00:00,11241,33.3,17.9,29.9,1.6,101,1280,0,1023.5
2026-03-14T07:55:28.147000+00:00,11241,33.0,17.7,30.1,2.4,60,1280,0,1023.5
2026-03-14T07:56:28.161000+00:00,11241,33.5,17.6,30.0,1.4,59,1280,0,1023.5
2026-03-14T07:57:28.176000+00:00,11241,33.9,17.6,29.4,0.9,76,1280,0,1023.5
2026-03-14T07:58:28.159000+00:00,11241,34.2,17.6,30.0,2.1,54,1280,0,1023.6
2026-03-14T07:59:28.195000+00:00,11241,34.5,17.6,29.6,2.8,54,1280,0,1023.5
2026-03-14T08:00:28.209000+00:00,11241,34.5,17.7,29.5,2.3,63,1280,0,1023.4
2026-03-14T08:01:28.208000+00:00,11241,34.5,17.6,29.5,0.8,33,1280,0,1023.5
2026-03-14T08:02:28.198000+00:00,11241,34.7,17.6,29.5,1.9,38,1280,0,1023.6
2026-03-14T08:03:28.208000+00:00,11241,34.8,17.6,29.5,1.8,39,1280,0,1023.6
