Driver,LapNumber,LapTime,Compound,TyreLife,Team
ALB,14.0,0 days 00:01:49.337000,SOFT,4.0,Williams
ANT,9.0,0 days 00:01:47.603000,SOFT,2.0,Mercedes
BEA,16.0,0 days 00:01:49.010000,SOFT,2.0,Haas F1 Team
BOR,11.0,0 days 00:01:48.406000,SOFT,2.0,Audi
BOT,12.0,0 days 00:01:49.839000,SOFT,2.0,Cadillac
COL,15.0,0 days 00:01:49.403000,SOFT,2.0,Alpine
CRA,16.0,0 days 00:01:53.199000,SOFT,4.0,Aston Martin
GAS,12.0,0 days 00:01:49.712000,SOFT,2.0,Alpine
HAD,9.0,0 days 00:01:47.322000,SOFT,2.0,Red Bull Racing
HAM,13.0,0 days 00:01:47.215000,SOFT,4.0,Ferrari
HUL,10.0,0 days 00:01:48.962000,SOFT,2.0,Audi
LAW,14.0,0 days 00:01:48.432000,SOFT,4.0,Racing Bulls
LEC,13.0,0 days 00:01:47.277000,SOFT,4.0,Ferrari
LIN,11.0,0 days 00:01:48.234000,SOFT,2.0,Racing Bulls
NOR,10.0,0 days 00:01:47.931000,SOFT,2.0,McLaren
OCO,16.0,0 days 00:01:49.449000,SOFT,2.0,Haas F1 Team
PER,12.0,0 days 00:01:50.226000,SOFT,2.0,Cadillac
PIA,13.0,0 days 00:01:47.522000,SOFT,2.0,McLaren
RUS,10.0,0 days 00:01:47.959000,SOFT,2.0,Mercedes
SAI,15.0,0 days 00:01:50.862000,SOFT,4.0,Williams
STR,12.0,0 days 00:01:52.808000,SOFT,2.0,Aston Martin
VER,9.0,0 days 00:01:47.070000,SOFT,2.0,Red Bull Racing
