meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1279,11227,1,12,1,1,MEDIUM,0
1279,11227,1,18,1,3,HARD,0
1279,11227,1,31,1,3,MEDIUM,0
1279,11227,1,55,1,1,HARD,0
1279,11227,1,5,1,1,MEDIUM,0
1279,11227,1,1,1,2,MEDIUM,0
1279,11227,1,27,1,2,MEDIUM,0
1279,11227,1,6,1,9,MEDIUM,0
1279,11227,2,12,2,9,MEDIUM,1
1279,11227,1,43,1,6,MEDIUM,0
1279,11227,1,63,1,10,MEDIUM,0
1279,11227,1,3,1,10,MEDIUM,0
1279,11227,1,81,1,3,MEDIUM,0
1279,11227,2,1,3,3,MEDIUM,2
1279,11227,1,77,1,4,MEDIUM,0
1279,11227,1,10,1,11,MEDIUM,0
1279,11227,2,5,2,8,MEDIUM,1
1279,11227,3,1,4,7,MEDIUM,3
1279,11227,2,63,11,11,MEDIUM,10
1279,11227,1,41,1,1,MEDIUM,0
1279,11227,1,30,1,13,MEDIUM,0
1279,11227,1,11,1,5,MEDIUM,0
1279,11227,2,43,7,11,MEDIUM,6
1279,11227,2,3,11,13,MEDIUM,10
1279,11227,2,6,10,12,MEDIUM,9
1279,11227,3,63,12,14,SOFT,0
1279,11227,3,12,10,10,MEDIUM,9
1279,11227,2,81,4,8,MEDIUM,3
1279,11227,2,27,3,10,MEDIUM,2
1279,11227,1,16,1,16,MEDIUM,0
1279,11227,2,10,12,13,MEDIUM,11
1279,11227,1,44,1,16,MEDIUM,0
1279,11227,2,77,5,9,MEDIUM,0
1279,11227,1,23,1,18,MEDIUM,0
1279,11227,3,3,14,16,SOFT,0
1279,11227,2,55,2,15,HARD,1
1279,11227,3,5,9,11,MEDIUM,8
1279,11227,3,6,13,15,SOFT,0
1279,11227,2,16,17,19,SOFT,0
1279,11227,2,31,4,18,MEDIUM,3
1279,11227,1,87,1,16,MEDIUM,0
1279,11227,2,11,6,8,MEDIUM,5
1279,11227,2,23,19,24,SOFT,0
1279,11227,4,12,11,14,SOFT,0
1279,11227,4,63,15,17,SOFT,0
1279,11227,3,16,20,24,SOFT,3
1279,11227,3,55,16,21,SOFT,0
1279,11227,3,11,9,12,SOFT,0
1279,11227,4,3,17,19,SOFT,3
1279,11227,3,81,9,13,MEDIUM,8
1279,11227,2,30,14,21,MEDIUM,13
1279,11227,3,43,12,18,SOFT,0
1279,11227,4,5,12,16,SOFT,0
1279,11227,2,87,17,19,MEDIUM,16
1279,11227,3,31,19,21,MEDIUM,18
1279,11227,4,11,13,14,SOFT,4
1279,11227,3,27,11,15,SOFT,0
1279,11227,4,6,16,17,SOFT,3
1279,11227,2,44,17,24,SOFT,0
1279,11227,5,5,17,17,MEDIUM,0
1279,11227,4,27,16,16,SOFT,5
1279,11227,5,27,17,17,SOFT,6
1279,11227,4,31,22,24,SOFT,0
1279,11227,3,10,14,27,SOFT,0
1279,11227,5,63,18,23,MEDIUM,0
1279,11227,5,12,15,21,MEDIUM,10
1279,11227,6,27,18,18,SOFT,7
1279,11227,3,77,10,24,SOFT,0
1279,11227,3,87,20,25,SOFT,0
1279,11227,6,5,18,23,MEDIUM,0
1279,11227,6,63,24,26,SOFT,6
1279,11227,2,41,2,22,SOFT,0
1279,11227,5,3,20,27,MEDIUM,13
1279,11227,3,30,22,28,SOFT,0
1279,11227,4,43,19,26,MEDIUM,11
1279,11227,4,55,22,30,SOFT,6
1279,11227,3,44,25,30,MEDIUM,16
1279,11227,5,6,18,24,MEDIUM,12
1279,11227,6,12,22,24,SOFT,4
1279,11227,4,81,14,21,SOFT,0
1279,11227,7,27,19,21,SOFT,0
1279,11227,5,31,25,28,SOFT,3
1279,11227,4,16,25,33,SOFT,8
