position,driver_number,number_of_laps,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1,16,33,False,False,False,80.267,0.0,1279,11227
2,44,30,False,False,False,80.736,0.469,1279,11227
3,3,27,False,False,False,80.789,0.522,1279,11227
4,6,24,False,False,False,81.087,0.82,1279,11227
5,41,22,False,False,False,81.313,1.046,1279,11227
6,81,21,False,False,False,81.342,1.075,1279,11227
7,63,26,False,False,False,81.371,1.104,1279,11227
8,12,24,False,False,False,81.376,1.109,1279,11227
9,5,23,False,False,False,81.696,1.429,1279,11227
10,27,21,False,False,False,81.969,1.702,1279,11227
11,31,28,False,False,False,82.161,1.894,1279,11227
12,55,30,False,False,False,82.323,2.056,1279,11227
13,30,28,False,False,False,82.613,2.346,1279,11227
14,87,25,False,False,False,82.682,2.415,1279,11227
15,23,24,False,False,False,83.13,2.863,1279,11227
16,43,26,False,False,False,83.325,3.058,1279,11227
17,77,24,False,False,False,84.022,3.755,1279,11227
18,10,27,False,False,False,84.035,3.768,1279,11227
19,1,7,False,False,False,84.391,4.124,1279,11227
20,11,14,False,False,False,84.62,4.353,1279,11227
21,18,3,False,False,False,110.334,30.067,1279,11227
