date,session_key,meeting_key,pit_duration,stop_duration,lane_duration,driver_number,lap_number
2026-03-06T01:30:03.217000+00:00,11227,1279,,,,27,1
2026-03-06T01:30:08.644000+00:00,11227,1279,,,,31,1
2026-03-06T01:30:16.828000+00:00,11227,1279,,,,87,1
2026-03-06T01:30:23.124000+00:00,11227,1279,,,,44,1
2026-03-06T01:30:23.822000+00:00,11227,1279,,,,12,1
2026-03-06T01:30:29.695000+00:00,11227,1279,,,,3,1
2026-03-06T01:30:33.669000+00:00,11227,1279,,,,6,1
2026-03-06T01:30:42.015000+00:00,11227,1279,,,,30,1
2026-03-06T01:30:45.204000+00:00,11227,1279,,,,16,1
2026-03-06T01:30:51.521000+00:00,11227,1279,,,,23,1
2026-03-06T01:30:54.861000+00:00,11227,1279,,,,55,1
2026-03-06T01:31:00.215000+00:00,11227,1279,,,,41,1
2026-03-06T01:31:05.800000+00:00,11227,1279,,,,81,1
2026-03-06T01:31:16.622000+00:00,11227,1279,,,,18,1
2026-03-06T01:31:29.927000+00:00,11227,1279,,,,43,1
2026-03-06T01:31:40.555000+00:00,11227,1279,,,,5,1
2026-03-06T01:31:41.158000+00:00,11227,1279,,,,63,1
2026-03-06T01:31:54.173000+00:00,11227,1279,,,,1,1
2026-03-06T01:32:21.342000+00:00,11227,1279,,,,10,1
2026-03-06T01:34:20.958000+00:00,11227,1279,27.9,,27.9,12,2
2026-03-06T01:34:43.918000+00:00,11227,1279,,,,11,1
2026-03-06T01:37:37.549000+00:00,11227,1279,129.9,,129.9,31,4
2026-03-06T01:41:38.764000+00:00,11227,1279,514.9,,514.9,55,2
2026-03-06T01:42:14.509000+00:00,11227,1279,493.4,,493.4,5,2
2026-03-06T01:44:17.095000+00:00,11227,1279,,,,77,1
2026-03-06T01:44:43.024000+00:00,11227,1279,527.1,,527.1,1,3
2026-03-06T01:45:38.161000+00:00,11227,1279,714.3,,714.3,27,3
2026-03-06T01:48:18.438000+00:00,11227,1279,23.9,,23.9,6,10
2026-03-06T01:48:34.553000+00:00,11227,1279,13.7,,13.7,12,10
2026-03-06T01:49:10.721000+00:00,11227,1279,384.0,,384.0,43,7
2026-03-06T01:49:27.547000+00:00,11227,1279,48.3,,48.3,63,11
2026-03-06T01:49:36.915000+00:00,11227,1279,30.2,,30.2,3,11
2026-03-06T01:50:08.515000+00:00,11227,1279,723.9,,723.9,81,4
2026-03-06T01:51:47.929000+00:00,11227,1279,318.7,,318.7,1,4
2026-03-06T01:52:21.182000+00:00,11227,1279,66.7,,66.7,77,5
2026-03-06T01:52:29.006000+00:00,11227,1279,53.6,,53.6,10,12
2026-03-06T01:54:16.169000+00:00,11227,1279,25.2,,25.2,5,9
2026-03-06T01:55:46.648000+00:00,11227,1279,,,,41,2
2026-03-06T01:57:40.393000+00:00,11227,1279,391.8,,391.8,63,12
2026-03-06T02:01:33.385000+00:00,11227,1279,510.9,,510.9,30,14
2026-03-06T02:02:24.515000+00:00,11227,1279,1121.9,,1121.9,11,6
2026-03-06T02:02:34.680000+00:00,11227,1279,352.3,,352.3,43,12
2026-03-06T02:02:52.383000+00:00,11227,1279,515.4,,515.4,3,14
2026-03-06T02:03:25.506000+00:00,11227,1279,596.2,,596.2,6,13
2026-03-06T02:03:29.656000+00:00,11227,1279,22.2,,22.2,63,15
2026-03-06T02:04:20.202000+00:00,11227,1279,787.8,,787.8,12,11
2026-03-06T02:04:59.868000+00:00,11227,1279,408.5,,408.5,81,9
2026-03-06T02:05:08.970000+00:00,11227,1279,380.7,,380.7,27,11
2026-03-06T02:05:17.188000+00:00,11227,1279,480.4,,480.4,16,17
2026-03-06T02:05:26.486000+00:00,11227,1279,568.8,,568.8,10,14
2026-03-06T02:05:35.485000+00:00,11227,1279,496.7,,496.7,44,17
2026-03-06T02:07:23.747000+00:00,11227,1279,410.9,,410.9,77,10
2026-03-06T02:07:58.703000+00:00,11227,1279,374.6,,374.6,23,19
2026-03-06T02:08:10.059000+00:00,11227,1279,21.1,,21.1,3,17
2026-03-06T02:08:33.258000+00:00,11227,1279,277.9,,277.9,55,16
2026-03-06T02:08:53.629000+00:00,11227,1279,579.0,,579.0,5,12
2026-03-06T02:09:15.333000+00:00,11227,1279,25.6,,25.6,6,16
2026-03-06T02:10:29.954000+00:00,11227,1279,25.1,,25.1,16,20
2026-03-06T02:10:45.501000+00:00,11227,1279,526.9,,526.9,31,19
2026-03-06T02:10:48.939000+00:00,11227,1279,750.1,,750.1,87,17
2026-03-06T02:13:38.107000+00:00,11227,1279,377.3,,377.3,11,9
2026-03-06T02:16:41.041000+00:00,11227,1279,199.0,,199.0,41,13
