position,driver_number,number_of_laps,points,dnf,dns,dsq,duration,gap_to_leader,meeting_key,session_key
1.0,12,57,25.0,False,False,False,5599.273,0,1284,11280
2.0,1,57,18.0,False,False,False,5602.537,3.264,1284,11280
3.0,81,57,15.0,False,False,False,5626.365,27.092,1284,11280
4.0,63,57,12.0,False,False,False,5642.324,43.051,1284,11280
5.0,3,57,10.0,False,False,False,5648.222,48.949,1284,11280
6.0,44,57,8.0,False,False,False,5653.026,53.753,1284,11280
7.0,43,57,6.0,False,False,False,5661.144,61.871,1284,11280
8.0,16,57,4.0,False,False,False,5663.518,64.245,1284,11280
9.0,55,57,2.0,False,False,False,5681.345,82.072,1284,11280
10.0,23,57,1.0,False,False,False,5690.245,90.972,1284,11280
11.0,87,56,0.0,False,False,False,,+1 LAP,1284,11280
12.0,5,56,0.0,False,False,False,,+1 LAP,1284,11280
13.0,31,56,0.0,False,False,False,,+1 LAP,1284,11280
14.0,41,56,0.0,False,False,False,,+1 LAP,1284,11280
15.0,14,56,0.0,False,False,False,,+1 LAP,1284,11280
16.0,11,56,0.0,False,False,False,,+1 LAP,1284,11280
17.0,18,56,0.0,False,False,False,,+1 LAP,1284,11280
18.0,77,55,0.0,False,False,False,,+2 LAPS,1284,11280
,27,7,0.0,True,False,False,,,1284,11280
,30,6,0.0,True,False,False,,,1284,11280
,10,4,0.0,True,False,False,,,1284,11280
,6,4,0.0,True,False,False,,,1284,11280
