date,session_key,wind_speed,humidity,pressure,rainfall,wind_direction,track_temperature,meeting_key,air_temperature
2026-05-03T16:06:48.460000+00:00,11280,1.5,76.2,1016.2,0,162,34.9,1284,25.7
2026-05-03T16:07:48.447000+00:00,11280,0.7,76.4,1016.2,0,95,35.0,1284,25.7
2026-05-03T16:08:48.456000+00:00,11280,0.6,75.9,1016.2,0,33,34.7,1284,25.8
2026-05-03T16:09:48.450000+00:00,11280,1.1,75.9,1016.2,0,30,35.3,1284,25.9
2026-05-03T16:10:48.460000+00:00,11280,0.8,76.7,1016.2,0,79,35.2,1284,25.9
2026-05-03T16:11:48.460000+00:00,11280,1.5,76.3,1016.1,0,76,35.5,1284,26.0
2026-05-03T16:12:48.469000+00:00,11280,0.0,76.0,1016.2,0,0,35.4,1284,25.8
2026-05-03T16:13:48.451000+00:00,11280,1.4,76.6,1016.2,0,139,35.0,1284,25.9
2026-05-03T16:14:48.463000+00:00,11280,0.6,75.9,1016.2,0,92,35.3,1284,25.8
2026-05-03T16:15:48.457000+00:00,11280,0.9,75.9,1016.1,0,57,34.9,1284,25.8
2026-05-03T16:16:48.461000+00:00,11280,0.7,76.4,1016.1,0,144,35.2,1284,25.7
2026-05-03T16:17:48.466000+00:00,11280,0.6,75.8,1016.2,0,150,35.3,1284,25.8
2026-05-03T16:18:48.462000+00:00,11280,3.0,73.4,1016.1,0,151,33.8,1284,26.0
2026-05-03T16:19:48.467000+00:00,11280,2.4,74.1,1016.1,0,155,34.4,1284,26.1
2026-05-03T16:20:48.457000+00:00,11280,1.4,74.6,1016.1,0,162,34.3,1284,26.0
2026-05-03T16:21:48.469000+00:00,11280,0.6,75.1,1016.1,0,166,34.9,1284,26.0
2026-05-03T16:22:48.460000+00:00,11280,0.9,75.7,1016.0,0,128,35.3,1284,26.1
2026-05-03T16:23:48.472000+00:00,11280,0.6,74.6,1016.0,0,149,35.5,1284,26.1
2026-05-03T16:24:48.458000+00:00,11280,1.7,73.9,1016.0,0,134,35.5,1284,26.1
2026-05-03T16:25:48.485000+00:00,11280,0.9,72.5,1016.0,0,53,35.8,1284,26.4
2026-05-03T16:26:48.467000+00:00,11280,0.4,72.9,1016.0,0,44,35.8,1284,26.4
2026-05-03T16:27:48.461000+00:00,11280,0.5,72.4,1016.0,0,42,35.2,1284,26.5
2026-05-03T16:28:48.475000+00:00,11280,0.3,72.6,1016.0,0,26,35.8,1284,26.5
2026-05-03T16:29:48.477000+00:00,11280,0.4,73.7,1016.0,0,141,35.8,1284,26.5
2026-05-03T16:30:48.470000+00:00,11280,2.7,72.6,1015.9,0,125,35.6,1284,26.5
2026-05-03T16:31:48.477000+00:00,11280,2.5,72.0,1015.9,0,117,34.8,1284,26.4
2026-05-03T16:32:48.478000+00:00,11280,1.1,73.6,1015.9,0,141,35.8,1284,26.4
2026-05-03T16:33:48.479000+00:00,11280,1.1,72.3,1015.8,0,145,35.6,1284,26.4
2026-05-03T16:34:48.473000+00:00,11280,0.6,70.9,1015.8,0,78,35.7,1284,26.4
2026-05-03T16:35:48.479000+00:00,11280,3.2,70.4,1015.8,0,152,33.5,1284,26.5
2026-05-03T16:36:48.470000+00:00,11280,1.0,70.5,1015.8,0,139,35.5,1284,26.5
2026-05-03T16:37:48.479000+00:00,11280,2.1,70.7,1015.8,0,134,35.5,1284,26.4
2026-05-03T16:38:48.486000+00:00,11280,1.5,71.2,1015.8,0,166,34.4,1284,26.3
2026-05-03T16:39:48.482000+00:00,11280,0.7,71.4,1015.8,0,161,34.7,1284,26.3
2026-05-03T16:40:48.483000+00:00,11280,0.9,72.6,1015.8,0,121,35.4,1284,26.3
2026-05-03T16:41:48.472000+00:00,11280,0.9,71.9,1015.9,0,161,35.6,1284,26.4
2026-05-03T16:42:48.472000+00:00,11280,0.8,72.0,1016.0,0,92,35.9,1284,26.4
2026-05-03T16:43:48.487000+00:00,11280,1.4,71.8,1015.9,0,85,35.7,1284,26.4
2026-05-03T16:44:48.500000+00:00,11280,0.8,72.2,1015.9,0,72,35.6,1284,26.2
2026-05-03T16:45:48.495000+00:00,11280,1.0,73.0,1015.8,0,15,35.4,1284,26.3
2026-05-03T16:46:48.501000+00:00,11280,0.6,72.7,1015.9,0,135,35.4,1284,26.3
2026-05-03T16:47:48.501000+00:00,11280,0.8,72.9,1015.8,0,57,36.0,1284,26.3
2026-05-03T16:48:48.501000+00:00,11280,0.9,73.8,1015.7,0,165,35.9,1284,26.3
2026-05-03T16:49:48.518000+00:00,11280,1.5,72.5,1015.8,0,145,35.8,1284,26.3
2026-05-03T16:50:48.536000+00:00,11280,0.0,73.1,1015.7,0,0,36.1,1284,26.1
2026-05-03T16:51:48.538000+00:00,11280,1.0,72.1,1015.8,0,114,35.9,1284,26.4
2026-05-03T16:52:48.555000+00:00,11280,1.1,72.7,1015.8,0,75,35.4,1284,26.4
2026-05-03T16:53:48.550000+00:00,11280,0.5,72.8,1015.9,0,271,35.2,1284,26.4
2026-05-03T16:54:48.553000+00:00,11280,0.0,72.3,1015.8,0,0,35.8,1284,26.3
2026-05-03T16:55:48.558000+00:00,11280,1.5,72.0,1015.9,0,269,34.9,1284,26.5
2026-05-03T16:56:48.589000+00:00,11280,1.5,70.6,1015.9,0,299,35.6,1284,26.6
2026-05-03T16:57:48.592000+00:00,11280,1.6,70.9,1015.9,0,279,35.8,1284,26.6
2026-05-03T16:58:48.595000+00:00,11280,0.8,71.8,1015.8,0,310,35.5,1284,26.6
2026-05-03T16:59:48.620000+00:00,11280,0.4,72.2,1015.9,0,41,35.7,1284,26.5
2026-05-03T17:00:48.616000+00:00,11280,0.5,71.9,1015.9,0,69,35.9,1284,26.6
2026-05-03T17:01:48.616000+00:00,11280,0.0,72.5,1015.9,0,0,35.9,1284,26.5
2026-05-03T17:02:48.624000+00:00,11280,0.6,73.0,1015.9,0,268,36.2,1284,26.6
2026-05-03T17:03:48.621000+00:00,11280,0.6,72.8,1015.9,0,18,36.5,1284,26.7
2026-05-03T17:04:48.617000+00:00,11280,1.1,72.8,1015.9,0,264,36.6,1284,26.8
2026-05-03T17:05:48.634000+00:00,11280,0.3,71.7,1016.0,0,356,36.5,1284,26.9
2026-05-03T17:06:48.644000+00:00,11280,0.5,71.3,1015.8,0,93,36.7,1284,26.9
2026-05-03T17:07:48.622000+00:00,11280,0.0,70.4,1015.9,0,0,36.4,1284,27.0
2026-05-03T17:08:48.618000+00:00,11280,2.0,68.9,1015.8,0,273,36.4,1284,27.1
2026-05-03T17:09:48.636000+00:00,11280,1.7,70.1,1015.8,0,335,37.2,1284,27.1
2026-05-03T17:10:48.630000+00:00,11280,1.0,68.6,1015.9,0,301,37.4,1284,27.2
2026-05-03T17:11:48.627000+00:00,11280,1.8,69.0,1016.0,0,296,37.4,1284,27.2
2026-05-03T17:12:48.632000+00:00,11280,0.6,68.8,1016.0,0,295,37.1,1284,27.2
2026-05-03T17:13:48.633000+00:00,11280,0.8,69.1,1015.9,0,239,37.8,1284,27.3
2026-05-03T17:14:48.637000+00:00,11280,0.5,69.1,1015.8,0,85,38.3,1284,27.4
2026-05-03T17:15:48.636000+00:00,11280,0.5,69.7,1015.9,0,215,37.6,1284,27.4
2026-05-03T17:16:48.810000+00:00,11280,0.7,69.1,1016.0,0,14,37.9,1284,27.4
2026-05-03T17:17:48.802000+00:00,11280,0.6,68.5,1015.9,0,253,38.1,1284,27.4
2026-05-03T17:18:48.819000+00:00,11280,0.0,68.6,1016.0,0,0,38.0,1284,27.2
