date,session_key,lap_number,stop_duration,lane_duration,driver_number,meeting_key,pit_duration
2026-06-12T12:11:56.192000+00:00,11300,18,,26.5,16,1287,26.5
2026-06-12T12:12:08.467000+00:00,11300,15,,19.1,43,1287,19.1
2026-06-12T12:12:19.341000+00:00,11300,16,,289.4,72,1287,289.4
2026-06-12T12:13:27.884000+00:00,11300,11,,888.0,77,1287,888.0
2026-06-12T12:14:21.757000+00:00,11300,16,,32.0,14,1287,32.0
2026-06-12T12:14:59.884000+00:00,11300,17,,392.8,3,1287,392.8
2026-06-12T12:15:15.769000+00:00,11300,19,,451.2,38,1287,451.2
2026-06-12T12:15:33.254000+00:00,11300,18,,238.8,41,1287,238.8
2026-06-12T12:15:45.920000+00:00,11300,17,,16.9,5,1287,16.9
2026-06-12T12:16:20.271000+00:00,11300,16,,362.4,31,1287,362.4
2026-06-12T12:17:45.952000+00:00,11300,17,,310.8,55,1287,310.8
2026-06-12T12:17:54.403000+00:00,11300,13,,417.4,67,1287,417.4
2026-06-12T12:18:21.826000+00:00,11300,19,,24.1,30,1287,24.1
2026-06-12T12:18:41.100000+00:00,11300,18,,231.0,25,1287,231.0
2026-06-12T12:19:20.707000+00:00,11300,21,,282.3,10,1287,282.3
2026-06-12T12:21:03.986000+00:00,11300,20,,25.6,5,1287,25.6
2026-06-12T12:21:14.727000+00:00,11300,15,,437.2,36,1287,437.2
2026-06-12T12:21:20.915000+00:00,11300,19,,36.3,18,1287,36.3
2026-06-12T12:21:50.387000+00:00,11300,18,,317.6,87,1287,317.6
2026-06-12T12:22:02.429000+00:00,11300,21,,510.5,81,1287,510.5
2026-06-12T12:22:06.304000+00:00,11300,21,,346.5,16,1287,346.5
2026-06-12T12:22:11.804000+00:00,11300,18,,28.3,97,1287,28.3
2026-06-12T12:23:59.207000+00:00,11300,21,,42.4,31,1287,42.4
2026-06-12T12:24:18.738000+00:00,11300,23,,24.2,3,1287,24.2
2026-06-12T12:25:44.371000+00:00,11300,19,,372.3,14,1287,372.3
2026-06-12T12:26:14.761000+00:00,11300,20,,377.0,30,1287,377.0
2026-06-12T12:26:20.136000+00:00,11300,24,,33.1,43,1287,33.1
2026-06-12T12:27:32.088000+00:00,11300,26,,23.2,41,1287,23.2
2026-06-12T12:28:52.700000+00:00,11300,25,,43.3,63,1287,43.3
2026-06-12T12:29:05.903000+00:00,11300,26,,137.1,72,1287,137.1
2026-06-12T12:29:39.105000+00:00,11300,26,,23.5,81,1287,23.5
